"","oma_id","level","level_name","araID","gene_id","age"
"40",15164038,14,"Arabidopsis","ARATH00072","AT1G01400","MC"
"41",15164039,13,"Brassicaceae","ARATH00073","AT1G01410","MC"
"42",15164040,8,"Magnoliopsida","ARATH00074","AT1G01420","MC"
"43",15164042,5,"Embryophyta","ARATH00076","AT1G01430","MC"
"44",15164043,13,"Brassicaceae","ARATH00077","AT1G01440","MC"
"45",15164047,11,"rosids","ARATH00081","AT1G01460","MC"
"46",15164048,5,"Embryophyta","ARATH00082","AT1G01470","MC"
"47",15164049,2,"Eukaryota","ARATH00083","AT1G01480","UC"
"48",15164053,10,"Pentapetalae","ARATH00087","AT1G01490","MC"
"49",15164060,13,"Brassicaceae","ARATH00094","AT1G01530","MC"
"50",15164061,11,"rosids","ARATH00095","AT1G01540","MC"
"51",15164063,6,"Tracheophyta","ARATH00097","AT1G01550","MC"
"52",15164065,2,"Eukaryota","ARATH00099","AT1G01560","UC"
"53",15164068,5,"Embryophyta","ARATH00102","AT1G01570","MC"
"54",15164070,4,"Streptophyta","ARATH00104","AT1G01580","MC"
"55",15164071,4,"Streptophyta","ARATH00105","AT1G01590","MC"
"56",15164072,2,"Eukaryota","ARATH00106","AT1G01600","UC"
"57",15164073,6,"Tracheophyta","ARATH00107","AT1G01610","MC"
"58",15164074,2,"Eukaryota","ARATH00108","AT1G01620","UC"
"59",15164076,2,"Eukaryota","ARATH00110","AT1G01630","UC"
"60",15164077,5,"Embryophyta","ARATH00111","AT1G01640","MC"
"61",15164080,2,"Eukaryota","ARATH00114","AT1G01650","UC"
"62",15164085,13,"Brassicaceae","ARATH00119","AT1G01680","MC"
"63",15164094,1,"LUCA","ARATH00128","AT1G01710","UC"
"64",15164096,8,"Magnoliopsida","ARATH00130","AT1G01720","MC"
"65",15164097,8,"Magnoliopsida","ARATH00131","AT1G01725","MC"
"66",15164098,9,"Mesangiospermae","ARATH00132","AT1G01730","MC"
"67",15164102,2,"Eukaryota","ARATH00136","AT1G01750","UC"
"68",15164104,2,"Eukaryota","ARATH00138","AT1G01760","UC"
"69",15164107,2,"Eukaryota","ARATH00141","AT1G01770","UC"
"70",15164108,2,"Eukaryota","ARATH00142","AT1G01780","UC"
"71",15164109,5,"Embryophyta","ARATH00143","AT1G01790","MC"
"72",15164110,2,"Eukaryota","ARATH00144","AT1G01800","UC"
"73",15164112,14,"Arabidopsis","ARATH00146","AT1G01810","MC"
"74",15164113,3,"Viridiplantae","ARATH00147","AT1G01820","UC"
"75",15164114,5,"Embryophyta","ARATH00148","AT1G01830","MC"
"76",15164115,10,"Pentapetalae","ARATH00149","AT1G01840","MC"
"77",15164116,2,"Eukaryota","ARATH00150","AT1G01860","UC"
"78",15164121,5,"Embryophyta","ARATH00155","AT1G01880","MC"
"79",15164124,1,"LUCA","ARATH00158","AT1G01900","UC"
"80",15164125,1,"LUCA","ARATH00159","AT1G01910","UC"
"81",15164128,5,"Embryophyta","ARATH00162","AT1G01920","MC"
"82",15164133,2,"Eukaryota","ARATH00167","AT1G01930","UC"
"83",15164134,2,"Eukaryota","ARATH00168","AT1G01940","UC"
"84",15164137,4,"Streptophyta","ARATH00171","AT1G01950","MC"
"85",15164139,2,"Eukaryota","ARATH00173","AT1G01960","UC"
"86",15164140,5,"Embryophyta","ARATH00174","AT1G01970","MC"
"87",15164141,2,"Eukaryota","ARATH00175","AT1G01980","UC"
"88",15164142,13,"Brassicaceae","ARATH00176","AT1G01990","MC"
"89",15164143,2,"Eukaryota","ARATH00177","AT1G02000","UC"
"90",15164145,2,"Eukaryota","ARATH00179","AT1G02010","UC"
"91",15164151,1,"LUCA","ARATH00185","AT1G02020","UC"
"92",15164154,13,"Brassicaceae","ARATH00188","AT1G02040","MC"
"93",15164155,2,"Eukaryota","ARATH00189","AT1G02050","UC"
"94",15164156,7,"Spermatophyta","ARATH00190","AT1G02060","MC"
"95",15164158,11,"rosids","ARATH00192","AT1G02065","MC"
"96",15164160,8,"Magnoliopsida","ARATH00194","AT1G02070","MC"
"97",15164162,2,"Eukaryota","ARATH00196","AT1G02080","UC"
"98",15164165,2,"Eukaryota","ARATH00199","AT1G02090","UC"
"99",15164168,2,"Eukaryota","ARATH00202","AT1G02100","UC"
"100",15164169,8,"Magnoliopsida","ARATH00203","AT1G02110","MC"
"101",15164172,6,"Tracheophyta","ARATH00206","AT1G02120","MC"
"102",15164173,2,"Eukaryota","ARATH00207","AT1G02130","UC"
"103",15164174,2,"Eukaryota","ARATH00208","AT1G02140","UC"
"104",15164176,2,"Eukaryota","ARATH00210","AT1G02145","UC"
"105",15164179,6,"Tracheophyta","ARATH00213","AT1G02150","MC"
"106",15164180,5,"Embryophyta","ARATH00214","AT1G02160","MC"
"107",15164182,2,"Eukaryota","ARATH00216","AT1G02170","UC"
"108",15164183,7,"Spermatophyta","ARATH00217","AT1G02180","MC"
"109",15164184,5,"Embryophyta","ARATH00218","AT1G02190","MC"
"110",15164188,5,"Embryophyta","ARATH00222","AT1G02205","MC"
"111",15164192,13,"Brassicaceae","ARATH00226","AT1G02220","MC"
"112",15164193,13,"Brassicaceae","ARATH00227","AT1G02230","MC"
"113",15164195,2,"Eukaryota","ARATH00229","AT1G02260","UC"
"114",15164196,2,"Eukaryota","ARATH00230","AT1G02270","UC"
"115",15164198,3,"Viridiplantae","ARATH00232","AT1G02280","UC"
"116",15164199,14,"Arabidopsis","ARATH00233","AT1G02290","MC"
"117",15164200,2,"Eukaryota","ARATH00234","AT1G02300","UC"
"118",15164201,2,"Eukaryota","ARATH00235","AT1G02305","UC"
"119",15164202,1,"LUCA","ARATH00236","AT1G02310","UC"
"120",15164205,2,"Eukaryota","ARATH00239","AT1G02330","UC"
"121",15164206,7,"Spermatophyta","ARATH00240","AT1G02335","MC"
"122",15164207,13,"Brassicaceae","ARATH00241","AT1G02340","MC"
"123",15164210,2,"Eukaryota","ARATH00244","AT1G02360","UC"
"124",15164213,9,"Mesangiospermae","ARATH00247","AT1G02370","MC"
"125",15164214,13,"Brassicaceae","ARATH00248","AT1G02380","MC"
"126",15164215,9,"Mesangiospermae","ARATH00249","AT1G02390","MC"
"127",15164216,9,"Mesangiospermae","ARATH00250","AT1G02400","MC"
"128",15164218,11,"rosids","ARATH00252","AT1G02405","MC"
"129",15164219,2,"Eukaryota","ARATH00253","AT1G02410","UC"
"130",15164220,7,"Spermatophyta","ARATH00254","AT1G02420","MC"
"131",15164221,13,"Brassicaceae","ARATH00255","AT1G02430","MC"
"132",15164224,13,"Brassicaceae","ARATH00258","AT1G02440","MC"
"133",15164225,13,"Brassicaceae","ARATH00259","AT1G02450","MC"
"134",15164226,8,"Magnoliopsida","ARATH00260","AT1G02460","MC"
"135",15164227,2,"Eukaryota","ARATH00261","AT1G02470","UC"
"136",15164229,4,"Streptophyta","ARATH00263","AT1G02475","MC"
"137",15164231,1,"LUCA","ARATH00265","AT1G02500","UC"
"138",15164232,11,"rosids","ARATH00266","AT1G02510","MC"
"139",15164233,2,"Eukaryota","ARATH00267","AT1G02520","UC"
"140",15164234,2,"Eukaryota","ARATH00268","AT1G02530","UC"
"141",15164237,12,"malvids","ARATH00271","AT1G02550","MC"
"142",15164238,3,"Viridiplantae","ARATH00272","AT1G02560","UC"
"143",15164239,10,"Pentapetalae","ARATH00273","AT1G02570","MC"
"144",15164240,10,"Pentapetalae","ARATH00274","AT1G02575","MC"
"145",15164241,2,"Eukaryota","ARATH00275","AT1G02580","UC"
"146",15164244,9,"Mesangiospermae","ARATH00278","AT1G02610","MC"
"147",15164248,2,"Eukaryota","ARATH00282","AT1G02630","UC"
"148",15164250,2,"Eukaryota","ARATH00284","AT1G02640","UC"
"149",15164251,5,"Embryophyta","ARATH00285","AT1G02650","MC"
"150",15164253,6,"Tracheophyta","ARATH00287","AT1G02660","MC"
"151",15164261,2,"Eukaryota","ARATH00295","AT1G02680","UC"
"152",15164263,2,"Eukaryota","ARATH00297","AT1G02690","UC"
"153",15164264,10,"Pentapetalae","ARATH00298","AT1G02700","MC"
"154",15164266,14,"Arabidopsis","ARATH00300","AT1G02710","MC"
"155",15164267,2,"Eukaryota","ARATH00301","AT1G02720","UC"
"156",15164268,9,"Mesangiospermae","ARATH00302","AT1G02730","MC"
"157",15164269,2,"Eukaryota","ARATH00303","AT1G02740","UC"
"158",15164270,11,"rosids","ARATH00304","AT1G02750","MC"
"159",15164273,1,"LUCA","ARATH00307","AT1G02780","UC"
"160",15164274,9,"Mesangiospermae","ARATH00308","AT1G02790","MC"
"161",15164275,2,"Eukaryota","ARATH00309","AT1G02800","UC"
"162",15164276,9,"Mesangiospermae","ARATH00310","AT1G02810","MC"
"163",15164277,7,"Spermatophyta","ARATH00311","AT1G02813","MC"
"164",15164278,7,"Spermatophyta","ARATH00312","AT1G02816","MC"
"165",15164279,10,"Pentapetalae","ARATH00313","AT1G02820","MC"
"166",15164280,2,"Eukaryota","ARATH00314","AT1G02830","UC"
"167",15164281,2,"Eukaryota","ARATH00315","AT1G02840","UC"
"168",15164287,1,"LUCA","ARATH00321","AT1G02850","UC"
"169",15164290,4,"Streptophyta","ARATH00324","AT1G02860","MC"
"170",15164292,3,"Viridiplantae","ARATH00326","AT1G02870","UC"
"171",15164294,2,"Eukaryota","ARATH00328","AT1G02880","UC"
"172",15164299,4,"Streptophyta","ARATH00333","AT1G02890","MC"
"173",15164300,9,"Mesangiospermae","ARATH00334","AT1G02900","MC"
"174",15164302,3,"Viridiplantae","ARATH00336","AT1G02910","UC"
"175",15164303,2,"Eukaryota","ARATH00337","AT1G02920","UC"
"176",15164304,2,"Eukaryota","ARATH00338","AT1G02930","UC"
"177",15164307,2,"Eukaryota","ARATH00341","AT1G02940","UC"
"178",15164309,2,"Eukaryota","ARATH00343","AT1G02950","UC"
"179",15164315,11,"rosids","ARATH00349","AT1G02960","MC"
"180",15164318,5,"Embryophyta","ARATH00352","AT1G02970","MC"
"181",15164321,13,"Brassicaceae","ARATH00355","AT1G02990","MC"
"182",15164324,5,"Embryophyta","ARATH00358","AT1G03000","MC"
"183",15164326,4,"Streptophyta","ARATH00360","AT1G03010","MC"
"184",15164328,10,"Pentapetalae","ARATH00362","AT1G03020","MC"
"185",15164329,1,"LUCA","ARATH00363","AT1G03030","UC"
"186",15164332,8,"Magnoliopsida","ARATH00366","AT1G03040","MC"
"187",15164334,8,"Magnoliopsida","ARATH00368","AT1G03050","MC"
"188",15164335,9,"Mesangiospermae","ARATH00369","AT1G03055","MC"
"189",15164338,2,"Eukaryota","ARATH00372","AT1G03060","UC"
"190",15164341,2,"Eukaryota","ARATH00375","AT1G03070","UC"
"191",15164342,8,"Magnoliopsida","ARATH00376","AT1G03080","MC"
"192",15164343,2,"Eukaryota","ARATH00377","AT1G03090","UC"
"193",15164346,10,"Pentapetalae","ARATH00380","AT1G03103","MC"
"194",15164348,5,"Embryophyta","ARATH00382","AT1G03110","MC"
"195",15164349,7,"Spermatophyta","ARATH00383","AT1G03120","MC"
"196",15164351,2,"Eukaryota","ARATH00385","AT1G03130","UC"
"197",15164352,2,"Eukaryota","ARATH00386","AT1G03140","UC"
"198",15164353,2,"Eukaryota","ARATH00387","AT1G03150","UC"
"199",15164355,3,"Viridiplantae","ARATH00389","AT1G03160","UC"
"200",15164359,13,"Brassicaceae","ARATH00393","AT1G03170","MC"
"201",15164360,3,"Viridiplantae","ARATH00394","AT1G03180","UC"
"202",15164363,2,"Eukaryota","ARATH00397","AT1G03190","UC"
"203",15164365,1,"LUCA","ARATH00399","AT1G03210","UC"
"204",15164367,7,"Spermatophyta","ARATH00401","AT1G03220","MC"
"205",15164368,7,"Spermatophyta","ARATH00402","AT1G03230","MC"
"206",15164373,4,"Streptophyta","ARATH00407","AT1G03250","MC"
"207",15164374,2,"Eukaryota","ARATH00408","AT1G03260","UC"
"208",15164375,2,"Eukaryota","ARATH00409","AT1G03270","UC"
"209",15164376,3,"Viridiplantae","ARATH00410","AT1G03280","UC"
"210",15164379,13,"Brassicaceae","ARATH00413","AT1G03290","MC"
"211",15164380,11,"rosids","ARATH00414","AT1G03300","MC"
"212",15164381,4,"Streptophyta","ARATH00415","AT1G03310","MC"
"213",15164382,13,"Brassicaceae","ARATH00416","AT1G03320","MC"
"214",15164384,2,"Eukaryota","ARATH00418","AT1G03330","UC"
"215",15164385,13,"Brassicaceae","ARATH00419","AT1G03340","MC"
"216",15164386,11,"rosids","ARATH00420","AT1G03350","MC"
"217",15164387,2,"Eukaryota","ARATH00421","AT1G03360","UC"
"218",15164391,6,"Tracheophyta","ARATH00425","AT1G03380","MC"
"219",15164392,6,"Tracheophyta","ARATH00426","AT1G03390","MC"
"220",15164399,5,"Embryophyta","ARATH00433","AT1G03430","MC"
"221",15164400,5,"Embryophyta","ARATH00434","AT1G03440","MC"
"222",15164401,2,"Eukaryota","ARATH00435","AT1G03445","UC"
"223",15164405,2,"Eukaryota","ARATH00439","AT1G03457","UC"
"224",15164406,8,"Magnoliopsida","ARATH00440","AT1G03470","MC"
"225",15164407,1,"LUCA","ARATH00441","AT1G03475","UC"
"226",15164408,14,"Arabidopsis","ARATH00442","AT1G03490","MC"
"227",15164409,11,"rosids","ARATH00443","AT1G03495","MC"
"228",15164410,8,"Magnoliopsida","ARATH00444","AT1G03510","MC"
"229",15164412,5,"Embryophyta","ARATH00446","AT1G03520","MC"
"230",15164413,13,"Brassicaceae","ARATH00447","AT1G03530","MC"
"231",15164414,8,"Magnoliopsida","ARATH00448","AT1G03540","MC"
"232",15164415,2,"Eukaryota","ARATH00449","AT1G03550","UC"
"233",15164422,8,"Magnoliopsida","ARATH00456","AT1G03560","MC"
"234",15164423,7,"Spermatophyta","ARATH00457","AT1G03590","MC"
"235",15164424,4,"Streptophyta","ARATH00458","AT1G03600","MC"
"236",15164426,7,"Spermatophyta","ARATH00460","AT1G03610","MC"
"237",15164427,5,"Embryophyta","ARATH00461","AT1G03620","MC"
"238",15164431,2,"Eukaryota","ARATH00465","AT1G03630","UC"
"239",15164432,2,"Eukaryota","ARATH00466","AT1G03650","UC"
"240",15164435,10,"Pentapetalae","ARATH00469","AT1G03680","MC"
"241",15164437,2,"Eukaryota","ARATH00471","AT1G03687","UC"
"242",15164438,5,"Embryophyta","ARATH00472","AT1G03700","MC"
"243",15164439,13,"Brassicaceae","ARATH00473","AT1G03710","MC"
"244",15164441,13,"Brassicaceae","ARATH00475","AT1G03720","MC"
"245",15164442,8,"Magnoliopsida","ARATH00476","AT1G03730","MC"
"246",15164445,2,"Eukaryota","ARATH00479","AT1G03750","UC"
"247",15164446,10,"Pentapetalae","ARATH00480","AT1G03760","MC"
"248",15164450,7,"Spermatophyta","ARATH00484","AT1G03770","MC"
"249",15164453,5,"Embryophyta","ARATH00487","AT1G03780","MC"
"250",15164455,13,"Brassicaceae","ARATH00489","AT1G03790","MC"
"251",15164456,13,"Brassicaceae","ARATH00490","AT1G03800","MC"
"252",15164457,2,"Eukaryota","ARATH00491","AT1G03810","UC"
"253",15164458,12,"malvids","ARATH00492","AT1G03820","MC"
"254",15164461,10,"Pentapetalae","ARATH00495","AT1G03840","MC"
"255",15164465,13,"Brassicaceae","ARATH00499","AT1G03850","MC"
"256",15164466,2,"Eukaryota","ARATH00500","AT1G03860","UC"
"257",15164468,8,"Magnoliopsida","ARATH00502","AT1G03870","MC"
"258",15164469,4,"Streptophyta","ARATH00503","AT1G03880","MC"
"259",15164470,4,"Streptophyta","ARATH00504","AT1G03890","MC"
"260",15164474,2,"Eukaryota","ARATH00508","AT1G03910","UC"
"261",15164477,2,"Eukaryota","ARATH00511","AT1G03920","UC"
"262",15164478,2,"Eukaryota","ARATH00512","AT1G03930","UC"
"263",15164479,11,"rosids","ARATH00513","AT1G03940","MC"
"264",15164480,2,"Eukaryota","ARATH00514","AT1G03950","UC"
"265",15164484,2,"Eukaryota","ARATH00518","AT1G03960","UC"
"266",15164486,10,"Pentapetalae","ARATH00520","AT1G03970","MC"
"267",15164487,5,"Embryophyta","ARATH00521","AT1G03980","MC"
"268",15164491,10,"Pentapetalae","ARATH00525","AT1G03982","MC"
"269",15164492,2,"Eukaryota","ARATH00526","AT1G03990","UC"
"270",15164493,11,"rosids","ARATH00527","AT1G04000","MC"
"271",15164494,2,"Eukaryota","ARATH00528","AT1G04010","UC"
"272",15164495,2,"Eukaryota","ARATH00529","AT1G04020","UC"
"273",15164497,8,"Magnoliopsida","ARATH00531","AT1G04030","MC"
"274",15164498,8,"Magnoliopsida","ARATH00532","AT1G04040","MC"
"275",15164499,10,"Pentapetalae","ARATH00533","AT1G04050","MC"
"276",15164501,5,"Embryophyta","ARATH00535","AT1G04070","MC"
"277",15164507,13,"Brassicaceae","ARATH00541","AT1G04100","MC"
"278",15164509,1,"LUCA","ARATH00543","AT1G04110","UC"
"279",15164511,2,"Eukaryota","ARATH00545","AT1G04120","UC"
"280",15164513,2,"Eukaryota","ARATH00547","AT1G04130","UC"
"281",15164515,3,"Viridiplantae","ARATH00549","AT1G04140","UC"
"282",15164518,3,"Viridiplantae","ARATH00552","AT1G04160","UC"
"283",15164520,1,"LUCA","ARATH00554","AT1G04170","UC"
"284",15164521,2,"Eukaryota","ARATH00555","AT1G04180","UC"
"285",15164524,2,"Eukaryota","ARATH00558","AT1G04200","UC"
"286",15164526,4,"Streptophyta","ARATH00560","AT1G04210","MC"
"287",15164527,2,"Eukaryota","ARATH00561","AT1G04220","UC"
"288",15164528,6,"Tracheophyta","ARATH00562","AT1G04230","MC"
"289",15164531,9,"Mesangiospermae","ARATH00565","AT1G04240","MC"
"290",15164532,13,"Brassicaceae","ARATH00566","AT1G04250","MC"
"291",15164533,11,"rosids","ARATH00567","AT1G04260","MC"
"292",15164534,1,"LUCA","ARATH00568","AT1G04270","UC"
"293",15164536,5,"Embryophyta","ARATH00570","AT1G04280","MC"
"294",15164538,2,"Eukaryota","ARATH00572","AT1G04290","UC"
"295",15164544,9,"Mesangiospermae","ARATH00578","AT1G04300","MC"
"296",15164546,13,"Brassicaceae","ARATH00580","AT1G04310","MC"
"297",15164547,10,"Pentapetalae","ARATH00581","AT1G04330","MC"
"298",15164548,4,"Streptophyta","ARATH00582","AT1G04340","MC"
"299",15164549,11,"rosids","ARATH00583","AT1G04350","MC"
"300",15164550,8,"Magnoliopsida","ARATH00584","AT1G04360","MC"
"301",15164551,10,"Pentapetalae","ARATH00585","AT1G04370","MC"
"302",15164553,11,"rosids","ARATH00587","AT1G04380","MC"
"303",15164554,5,"Embryophyta","ARATH00588","AT1G04390","MC"
"304",15164555,1,"LUCA","ARATH00589","AT1G04400","UC"
"305",15164556,2,"Eukaryota","ARATH00590","AT1G04410","UC"
"306",15164557,2,"Eukaryota","ARATH00591","AT1G04420","UC"
"307",15164558,5,"Embryophyta","ARATH00592","AT1G04430","MC"
"308",15164559,10,"Pentapetalae","ARATH00593","AT1G04440","MC"
"309",15164560,13,"Brassicaceae","ARATH00594","AT1G04445","MC"
"310",15164562,13,"Brassicaceae","ARATH00596","AT1G04450","MC"
"311",15164564,3,"Viridiplantae","ARATH00598","AT1G04470","UC"
"312",15164565,1,"LUCA","ARATH00599","AT1G04480","UC"
"313",15164566,9,"Mesangiospermae","ARATH00600","AT1G04490","MC"
"314",15164568,10,"Pentapetalae","ARATH00602","AT1G04500","MC"
"315",15164571,2,"Eukaryota","ARATH00605","AT1G04510","UC"
"316",15164573,8,"Magnoliopsida","ARATH00607","AT1G04520","MC"
"317",15164574,10,"Pentapetalae","ARATH00608","AT1G04530","MC"
"318",15164575,10,"Pentapetalae","ARATH00609","AT1G04540","MC"
"319",15164576,11,"rosids","ARATH00610","AT1G04550","MC"
"320",15164578,6,"Tracheophyta","ARATH00612","AT1G04555","MC"
"321",15164579,4,"Streptophyta","ARATH00613","AT1G04560","MC"
"322",15164580,8,"Magnoliopsida","ARATH00614","AT1G04570","MC"
"323",15164582,2,"Eukaryota","ARATH00616","AT1G04580","UC"
"324",15164584,13,"Brassicaceae","ARATH00618","AT1G04590","MC"
"325",15164585,3,"Viridiplantae","ARATH00619","AT1G04600","UC"
"326",15164586,2,"Eukaryota","ARATH00620","AT1G04610","UC"
"327",15164587,2,"Eukaryota","ARATH00621","AT1G04620","UC"
"328",15164589,2,"Eukaryota","ARATH00623","AT1G04630","UC"
"329",15164591,2,"Eukaryota","ARATH00625","AT1G04640","UC"
"330",15164592,12,"malvids","ARATH00626","AT1G04645","MC"
"331",15164593,4,"Streptophyta","ARATH00627","AT1G04650","MC"
"332",15164595,13,"Brassicaceae","ARATH00629","AT1G04660","MC"
"333",15164596,10,"Pentapetalae","ARATH00630","AT1G04670","MC"
"334",15164597,5,"Embryophyta","ARATH00631","AT1G04680","MC"
"335",15164598,2,"Eukaryota","ARATH00632","AT1G04690","UC"
"336",15164600,10,"Pentapetalae","ARATH00634","AT1G04700","MC"
"337",15164601,1,"LUCA","ARATH00635","AT1G04710","UC"
"338",15164603,2,"Eukaryota","ARATH00637","AT1G04730","UC"
"339",15164604,2,"Eukaryota","ARATH00638","AT1G04750","UC"
"340",15164606,2,"Eukaryota","ARATH00640","AT1G04760","UC"
"341",15164607,9,"Mesangiospermae","ARATH00641","AT1G04770","MC"
"342",15164609,2,"Eukaryota","ARATH00643","AT1G04780","UC"
"343",15164610,10,"Pentapetalae","ARATH00644","AT1G04790","MC"
"344",15164611,13,"Brassicaceae","ARATH00645","AT1G04800","MC"
"345",15164612,2,"Eukaryota","ARATH00646","AT1G04810","UC"
"346",15164613,2,"Eukaryota","ARATH00647","AT1G04820","UC"
"347",15164614,2,"Eukaryota","ARATH00648","AT1G04830","UC"
"348",15164617,10,"Pentapetalae","ARATH00651","AT1G04840","MC"
"349",15164618,2,"Eukaryota","ARATH00652","AT1G04850","UC"
"350",15164620,2,"Eukaryota","ARATH00654","AT1G04860","UC"
"351",15164621,2,"Eukaryota","ARATH00655","AT1G04870","UC"
"352",15164623,6,"Tracheophyta","ARATH00657","AT1G04880","MC"
"353",15164624,13,"Brassicaceae","ARATH00658","AT1G04890","MC"
"354",15164626,2,"Eukaryota","ARATH00660","AT1G04900","UC"
"355",15164627,5,"Embryophyta","ARATH00661","AT1G04910","MC"
"356",15164628,4,"Streptophyta","ARATH00662","AT1G04920","MC"
"357",15164630,8,"Magnoliopsida","ARATH00664","AT1G04930","MC"
"358",15164633,5,"Embryophyta","ARATH00667","AT1G04945","MC"
"359",15164636,5,"Embryophyta","ARATH00670","AT1G04940","MC"
"360",15164637,2,"Eukaryota","ARATH00671","AT1G04950","UC"
"361",15164639,4,"Streptophyta","ARATH00673","AT1G04960","MC"
"362",15164640,2,"Eukaryota","ARATH00674","AT1G04970","UC"
"363",15164642,2,"Eukaryota","ARATH00676","AT1G04980","UC"
"364",15164644,7,"Spermatophyta","ARATH00678","AT1G04985","MC"
"365",15164645,10,"Pentapetalae","ARATH00679","AT1G04990","MC"
"366",15164649,2,"Eukaryota","ARATH00683","AT1G05000","UC"
"367",15164652,14,"Arabidopsis","ARATH00686","AT1G05005","MC"
"368",15164653,9,"Mesangiospermae","ARATH00687","AT1G05010","MC"
"369",15164654,13,"Brassicaceae","ARATH00688","AT1G05020","MC"
"370",15164656,2,"Eukaryota","ARATH00690","AT1G05030","UC"
"371",15164658,13,"Brassicaceae","ARATH00692","AT1G05040","MC"
"372",15164660,2,"Eukaryota","ARATH00694","AT1G05055","UC"
"373",15164661,4,"Streptophyta","ARATH00695","AT1G05060","MC"
"374",15164662,13,"Brassicaceae","ARATH00696","AT1G05065","MC"
"375",15164663,5,"Embryophyta","ARATH00697","AT1G05070","MC"
"376",15164664,13,"Brassicaceae","ARATH00698","AT1G05080","MC"
"377",15164669,8,"Magnoliopsida","ARATH00703","AT1G05100","MC"
"378",15164670,2,"Eukaryota","ARATH00704","AT1G05120","UC"
"379",15164673,1,"LUCA","ARATH00707","AT1G05140","UC"
"380",15164674,4,"Streptophyta","ARATH00708","AT1G05150","MC"
"381",15164675,2,"Eukaryota","ARATH00709","AT1G05160","UC"
"382",15164676,3,"Viridiplantae","ARATH00710","AT1G05170","UC"
"383",15164679,2,"Eukaryota","ARATH00713","AT1G05180","UC"
"384",15164681,1,"LUCA","ARATH00715","AT1G05190","UC"
"385",15164684,5,"Embryophyta","ARATH00718","AT1G05200","MC"
"386",15164686,9,"Mesangiospermae","ARATH00720","AT1G05205","MC"
"387",15164687,3,"Viridiplantae","ARATH00721","AT1G05210","UC"
"388",15164688,3,"Viridiplantae","ARATH00722","AT1G05220","UC"
"389",15164692,10,"Pentapetalae","ARATH00726","AT1G05240","MC"
"390",15164693,10,"Pentapetalae","ARATH00727","AT1G05250","MC"
"391",15164694,8,"Magnoliopsida","ARATH00728","AT1G05260","MC"
"392",15164695,2,"Eukaryota","ARATH00729","AT1G05270","UC"
"393",15164697,10,"Pentapetalae","ARATH00731","AT1G05280","MC"
"394",15164698,13,"Brassicaceae","ARATH00732","AT1G05290","MC"
"395",15164699,13,"Brassicaceae","ARATH00733","AT1G05291","MC"
