"gene" "hog" "phylostrata" "age"
"46" "TRINITY_DN10056_c0_g1" "HOG:A0232594" "Tracheophyta" "MC"
"47" "TRINITY_DN1006_c0_g1" "HOG:A0562527" "Eukaryota" "UC"
"48" "TRINITY_DN10060_c0_g1" "HOG:A0167817" "asterids" "MC"
"49" "TRINITY_DN10062_c0_g1" "HOG:A0757210" "Bacteria" "MC"
"50" "TRINITY_DN10063_c0_g1" "HOG:A0570604" "Eukaryota" "UC"
"51" "TRINITY_DN10064_c0_g2" "HOG:A0236553" "Embryophyta" "MC"
"52" "TRINITY_DN10065_c0_g1" "HOG:A0202953" "Pentapetalae" "MC"
"53" "TRINITY_DN10066_c0_g1" "HOG:A0785660" "LUCA" "UC"
"54" "TRINITY_DN10067_c0_g1" "HOG:A0562351" "Eukaryota" "UC"
"55" "TRINITY_DN10068_c0_g1" "HOG:A0223397" "Spermatophyta" "MC"
"56" "TRINITY_DN10069_c0_g1" "HOG:A0167836" "asterids" "MC"
"57" "TRINITY_DN1007_c0_g1" "HOG:A0220377" "Magnoliopsida" "MC"
"58" "TRINITY_DN10070_c0_g1" "HOG:A0223990" "Spermatophyta" "MC"
"59" "TRINITY_DN10072_c0_g1" "HOG:A0203071" "Pentapetalae" "MC"
"60" "TRINITY_DN10073_c1_g1" "HOG:A0567091" "Eukaryota" "UC"
"61" "TRINITY_DN10074_c0_g1" "HOG:A0562342" "Eukaryota" "UC"
"62" "TRINITY_DN10075_c0_g1" "HOG:A0234539" "Embryophyta" "MC"
"63" "TRINITY_DN10076_c0_g1" "HOG:A0563499" "Eukaryota" "UC"
"64" "TRINITY_DN10077_c0_g1" "HOG:A0211889" "Mesangiospermae" "MC"
"65" "TRINITY_DN10078_c0_g1" "HOG:A0235906" "Embryophyta" "MC"
"66" "TRINITY_DN1008_c0_g1" "HOG:A0780172" "LUCA" "UC"
"67" "TRINITY_DN10080_c0_g1" "HOG:A0234581" "Embryophyta" "MC"
"68" "TRINITY_DN10080_c1_g1" "HOG:A0234581" "Embryophyta" "MC"
"69" "TRINITY_DN10081_c0_g1" "HOG:A0564644" "Eukaryota" "UC"
"70" "TRINITY_DN10083_c0_g1" "HOG:A0567127" "Eukaryota" "UC"
"71" "TRINITY_DN10083_c1_g1" "HOG:A0567127" "Eukaryota" "UC"
"72" "TRINITY_DN10084_c0_g1" "HOG:A0223340" "Spermatophyta" "MC"
"73" "TRINITY_DN10087_c0_g1" "HOG:A0564044" "Eukaryota" "UC"
"74" "TRINITY_DN10088_c0_g1" "HOG:A0202792" "Pentapetalae" "MC"
"75" "TRINITY_DN10088_c1_g1" "HOG:A0202792" "Pentapetalae" "MC"
"76" "TRINITY_DN10089_c0_g1" "HOG:A0566940" "Eukaryota" "UC"
"77" "TRINITY_DN1009_c0_g1" "HOG:A0562395" "Eukaryota" "UC"
"78" "TRINITY_DN10090_c0_g1" "HOG:A0564356" "Eukaryota" "UC"
"79" "TRINITY_DN10091_c0_g1" "HOG:A0570445" "Eukaryota" "UC"
"80" "TRINITY_DN10093_c0_g1" "HOG:A0554823" "Opisthokonta" "MC"
"81" "TRINITY_DN10093_c0_g3" "HOG:A0563175" "Eukaryota" "UC"
"82" "TRINITY_DN10094_c0_g1" "HOG:A0567031" "Eukaryota" "UC"
"83" "TRINITY_DN10096_c0_g1" "HOG:A0586560" "Eukaryota" "UC"
"84" "TRINITY_DN10097_c0_g1" "HOG:A0757611" "Bacteria" "MC"
"85" "TRINITY_DN10098_c0_g1" "HOG:A0233974" "Embryophyta" "MC"
"86" "TRINITY_DN10099_c0_g1" "HOG:A0562754" "Eukaryota" "UC"
"87" "TRINITY_DN101_c0_g1" "HOG:A0234544" "Embryophyta" "MC"
"88" "TRINITY_DN1010_c0_g1" "HOG:A0206053" "Pentapetalae" "MC"
"89" "TRINITY_DN10100_c0_g1" "HOG:A0219835" "Magnoliopsida" "MC"
"90" "TRINITY_DN10101_c0_g1" "HOG:A0222273" "Magnoliopsida" "MC"
"91" "TRINITY_DN10102_c0_g1" "HOG:A0233658" "Embryophyta" "MC"
"92" "TRINITY_DN10106_c0_g1" "HOG:A0563716" "Eukaryota" "UC"
"93" "TRINITY_DN10107_c0_g1" "HOG:A0563323" "Eukaryota" "UC"
"94" "TRINITY_DN10108_c0_g1" "HOG:A0564173" "Eukaryota" "UC"
"95" "TRINITY_DN10109_c0_g1" "HOG:A0564596" "Eukaryota" "UC"
"96" "TRINITY_DN1011_c0_g1" "HOG:A0211733" "Mesangiospermae" "MC"
"97" "TRINITY_DN10111_c0_g1" "HOG:A0566673" "Eukaryota" "UC"
"98" "TRINITY_DN10112_c0_g1" "HOG:A0238073" "Streptophyta" "MC"
"99" "TRINITY_DN10113_c0_g1" "HOG:A0203173" "Pentapetalae" "MC"
"100" "TRINITY_DN10114_c0_g1" "HOG:A0570412" "Eukaryota" "UC"
"101" "TRINITY_DN10117_c0_g1" "HOG:A0202799" "Pentapetalae" "MC"
"102" "TRINITY_DN10119_c0_g1" "HOG:A0563808" "Eukaryota" "UC"
"103" "TRINITY_DN1012_c0_g1" "HOG:A0206172" "Pentapetalae" "MC"
"104" "TRINITY_DN10120_c0_g1" "HOG:A0567013" "Eukaryota" "UC"
"105" "TRINITY_DN10121_c0_g1" "HOG:A0220116" "Magnoliopsida" "MC"
"106" "TRINITY_DN10124_c0_g1" "HOG:A0232056" "Tracheophyta" "MC"
"107" "TRINITY_DN10126_c0_g1" "HOG:A0167746" "asterids" "MC"
"108" "TRINITY_DN10127_c0_g1" "HOG:A0237409" "Streptophyta" "MC"
"109" "TRINITY_DN10128_c0_g1" "HOG:A0237732" "Streptophyta" "MC"
"110" "TRINITY_DN10129_c0_g1" "HOG:A0207325" "Pentapetalae" "MC"
"111" "TRINITY_DN1013_c0_g1" "HOG:A0226987" "Spermatophyta" "MC"
"112" "TRINITY_DN10130_c0_g1" "HOG:A0238882" "Viridiplantae" "UC"
"113" "TRINITY_DN10135_c0_g1" "HOG:A0572322" "Eukaryota" "UC"
"114" "TRINITY_DN10136_c0_g1" "HOG:A0238261" "Streptophyta" "MC"
"115" "TRINITY_DN10137_c0_g1" "HOG:A0238900" "Viridiplantae" "UC"
"116" "TRINITY_DN10139_c1_g1" "HOG:A0203251" "Pentapetalae" "MC"
"117" "TRINITY_DN1014_c0_g1" "HOG:A0570996" "Eukaryota" "UC"
"118" "TRINITY_DN10140_c0_g1" "HOG:A0785992" "LUCA" "UC"
"119" "TRINITY_DN10143_c0_g1" "HOG:A0571006" "Eukaryota" "UC"
"120" "TRINITY_DN10144_c0_g1" "HOG:A0234380" "Embryophyta" "MC"
"121" "TRINITY_DN10145_c0_g1" "HOG:A0780432" "LUCA" "UC"
"122" "TRINITY_DN10146_c0_g1" "HOG:A0205035" "Pentapetalae" "MC"
"123" "TRINITY_DN10147_c0_g1" "HOG:A0203760" "Pentapetalae" "MC"
"124" "TRINITY_DN10148_c0_g1" "HOG:A0563280" "Eukaryota" "UC"
"125" "TRINITY_DN10149_c0_g1" "HOG:A0226698" "Spermatophyta" "MC"
"126" "TRINITY_DN1015_c0_g1" "HOG:A0238265" "Streptophyta" "MC"
"127" "TRINITY_DN10150_c0_g1" "HOG:A0234465" "Embryophyta" "MC"
"128" "TRINITY_DN10151_c0_g1" "HOG:A0564162" "Eukaryota" "UC"
"129" "TRINITY_DN10152_c0_g1" "HOG:A0567987" "Eukaryota" "UC"
"130" "TRINITY_DN10153_c0_g1" "HOG:A0584487" "Eukaryota" "UC"
"131" "TRINITY_DN10155_c0_g1" "HOG:A0174108" "fabids" "MC"
"132" "TRINITY_DN10158_c0_g1" "HOG:A0781188" "LUCA" "UC"
"133" "TRINITY_DN10160_c0_g1" "HOG:A0566944" "Eukaryota" "UC"
"134" "TRINITY_DN10161_c0_g1" "HOG:A0206606" "Pentapetalae" "MC"
"135" "TRINITY_DN10161_c1_g1" "HOG:A0219616" "Magnoliopsida" "MC"
"136" "TRINITY_DN10162_c0_g1" "HOG:A0220632" "Magnoliopsida" "MC"
"137" "TRINITY_DN10163_c0_g1" "HOG:A0238985" "Viridiplantae" "UC"
"138" "TRINITY_DN10164_c0_g1" "HOG:A0237127" "Streptophyta" "MC"
"139" "TRINITY_DN10166_c0_g1" "HOG:A0585317" "Eukaryota" "UC"
"140" "TRINITY_DN10169_c0_g1" "HOG:A0202394" "Pentapetalae" "MC"
"141" "TRINITY_DN1017_c0_g1" "HOG:A0206022" "Pentapetalae" "MC"
"142" "TRINITY_DN1017_c0_g2" "HOG:A0206199" "Pentapetalae" "MC"
"143" "TRINITY_DN10171_c0_g1" "HOG:A0220504" "Magnoliopsida" "MC"
"144" "TRINITY_DN10173_c0_g1" "HOG:A0562827" "Eukaryota" "UC"
"145" "TRINITY_DN10174_c0_g1" "HOG:A0780450" "LUCA" "UC"
"146" "TRINITY_DN10175_c0_g1" "HOG:A0221195" "Magnoliopsida" "MC"
"147" "TRINITY_DN10176_c0_g1" "HOG:A0223397" "Spermatophyta" "MC"
"148" "TRINITY_DN10179_c0_g1" "HOG:A0562749" "Eukaryota" "UC"
"149" "TRINITY_DN1018_c0_g1" "HOG:A0566917" "Eukaryota" "UC"
"150" "TRINITY_DN10180_c0_g1" "HOG:A0233752" "Embryophyta" "MC"
"151" "TRINITY_DN10181_c0_g1" "HOG:A0562807" "Eukaryota" "UC"
"152" "TRINITY_DN10183_c0_g1" "HOG:A0236726" "Embryophyta" "MC"
"153" "TRINITY_DN10183_c1_g1" "HOG:A0236726" "Embryophyta" "MC"
"154" "TRINITY_DN10184_c0_g1" "HOG:A0779781" "LUCA" "UC"
"155" "TRINITY_DN10186_c0_g1" "HOG:A0237729" "Streptophyta" "MC"
"156" "TRINITY_DN10187_c0_g1" "HOG:A0562187" "Eukaryota" "UC"
"157" "TRINITY_DN10188_c0_g1" "HOG:A0757233" "Bacteria" "MC"
"158" "TRINITY_DN10189_c0_g1" "HOG:A0237191" "Streptophyta" "MC"
"159" "TRINITY_DN10190_c0_g1" "HOG:A0206387" "Pentapetalae" "MC"
"160" "TRINITY_DN10192_c0_g1" "HOG:A0203448" "Pentapetalae" "MC"
"161" "TRINITY_DN10193_c0_g1" "HOG:A0202925" "Pentapetalae" "MC"
"162" "TRINITY_DN10194_c0_g1" "HOG:A0573801" "Eukaryota" "UC"
"163" "TRINITY_DN10197_c0_g1" "HOG:A0780123" "LUCA" "UC"
"164" "TRINITY_DN10198_c0_g1" "HOG:A0223341" "Spermatophyta" "MC"
"165" "TRINITY_DN10198_c1_g1" "HOG:A0223341" "Spermatophyta" "MC"
"166" "TRINITY_DN10198_c1_g2" "HOG:A0168330" "asterids" "MC"
"167" "TRINITY_DN102_c0_g1" "HOG:A0202378" "Pentapetalae" "MC"
"168" "TRINITY_DN1020_c0_g1" "HOG:A0222108" "Magnoliopsida" "MC"
"169" "TRINITY_DN10201_c0_g1" "HOG:A0574726" "Eukaryota" "UC"
"170" "TRINITY_DN10203_c0_g1" "HOG:A0563152" "Eukaryota" "UC"
"171" "TRINITY_DN10204_c0_g1" "HOG:A0567987" "Eukaryota" "UC"
"172" "TRINITY_DN10205_c0_g1" "HOG:A0785668" "LUCA" "UC"
"173" "TRINITY_DN10209_c0_g1" "HOG:A0568419" "Eukaryota" "UC"
"174" "TRINITY_DN1021_c0_g1" "HOG:A0220821" "Magnoliopsida" "MC"
"175" "TRINITY_DN1021_c1_g1" "HOG:A0198391" "rosids" "MC"
"176" "TRINITY_DN10210_c0_g1" "HOG:A0566720" "Eukaryota" "UC"
"177" "TRINITY_DN10211_c0_g1" "HOG:A0232754" "Tracheophyta" "MC"
"178" "TRINITY_DN10213_c0_g1" "HOG:A0238839" "Viridiplantae" "UC"
"179" "TRINITY_DN10215_c0_g1" "HOG:A0564015" "Eukaryota" "UC"
"180" "TRINITY_DN10216_c0_g1" "HOG:A0219966" "Magnoliopsida" "MC"
"181" "TRINITY_DN10217_c0_g1" "HOG:A0570537" "Eukaryota" "UC"
"182" "TRINITY_DN10218_c0_g1" "HOG:A0237812" "Streptophyta" "MC"
"183" "TRINITY_DN1022_c0_g1" "HOG:A0167651" "asterids" "MC"
"184" "TRINITY_DN10220_c0_g1" "HOG:A0223868" "Spermatophyta" "MC"
"185" "TRINITY_DN10223_c0_g1" "HOG:A0211667" "Mesangiospermae" "MC"
"186" "TRINITY_DN10227_c0_g1" "HOG:A0569041" "Eukaryota" "UC"
"187" "TRINITY_DN10228_c0_g1" "HOG:A0238997" "Viridiplantae" "UC"
"188" "TRINITY_DN1023_c0_g1" "HOG:A0213545" "Mesangiospermae" "MC"
"189" "TRINITY_DN10230_c0_g1" "HOG:A0562240" "Eukaryota" "UC"
"190" "TRINITY_DN10232_c0_g1" "HOG:A0213028" "Mesangiospermae" "MC"
"191" "TRINITY_DN10236_c0_g1" "HOG:A0786442" "LUCA" "UC"
"192" "TRINITY_DN10238_c0_g1" "HOG:A0233753" "Embryophyta" "MC"
"193" "TRINITY_DN10239_c0_g1" "HOG:A0779978" "LUCA" "UC"
"194" "TRINITY_DN1024_c0_g1" "HOG:A0779810" "LUCA" "UC"
"195" "TRINITY_DN10240_c0_g1" "HOG:A0562480" "Eukaryota" "UC"
"196" "TRINITY_DN10241_c0_g1" "HOG:A0167898" "asterids" "MC"
"197" "TRINITY_DN10242_c0_g1" "HOG:A0237505" "Streptophyta" "MC"
"198" "TRINITY_DN10243_c0_g1" "HOG:A0224233" "Spermatophyta" "MC"
"199" "TRINITY_DN10245_c0_g1" "HOG:A0234051" "Embryophyta" "MC"
"200" "TRINITY_DN10246_c0_g1" "HOG:A0570869" "Eukaryota" "UC"
"201" "TRINITY_DN10247_c0_g1" "HOG:A0583006" "Eukaryota" "UC"
"202" "TRINITY_DN10249_c0_g1" "HOG:A0238835" "Viridiplantae" "UC"
"203" "TRINITY_DN1025_c0_g1" "HOG:A0571991" "Eukaryota" "UC"
"204" "TRINITY_DN10251_c0_g1" "HOG:A0582431" "Eukaryota" "UC"
"205" "TRINITY_DN10252_c0_g1" "HOG:A0569200" "Eukaryota" "UC"
"206" "TRINITY_DN10255_c0_g1" "HOG:A0233245" "Tracheophyta" "MC"
"207" "TRINITY_DN10257_c0_g2" "HOG:A0563351" "Eukaryota" "UC"
"208" "TRINITY_DN10259_c0_g1" "HOG:A0220485" "Magnoliopsida" "MC"
"209" "TRINITY_DN1026_c0_g1" "HOG:A0234910" "Embryophyta" "MC"
"210" "TRINITY_DN10260_c0_g1" "HOG:A0569123" "Eukaryota" "UC"
"211" "TRINITY_DN10261_c0_g1" "HOG:A0576893" "Eukaryota" "UC"
"212" "TRINITY_DN10262_c0_g1" "HOG:A0202996" "Pentapetalae" "MC"
"213" "TRINITY_DN10263_c0_g1" "HOG:A0161673" "campanulids" "MC"
"214" "TRINITY_DN10264_c0_g1" "HOG:A0234059" "Embryophyta" "MC"
"215" "TRINITY_DN10265_c0_g1" "HOG:A0572358" "Eukaryota" "UC"
"216" "TRINITY_DN10266_c0_g1" "HOG:A0238360" "Streptophyta" "MC"
"217" "TRINITY_DN10267_c0_g1" "HOG:A0198248" "rosids" "MC"
"218" "TRINITY_DN10268_c0_g1" "HOG:A0234052" "Embryophyta" "MC"
"219" "TRINITY_DN10269_c0_g1" "HOG:A0223986" "Spermatophyta" "MC"
"220" "TRINITY_DN1027_c0_g1" "HOG:A0167967" "asterids" "MC"
"221" "TRINITY_DN10270_c0_g2" "HOG:A0202889" "Pentapetalae" "MC"
"222" "TRINITY_DN10271_c0_g1" "HOG:A0235138" "Embryophyta" "MC"
"223" "TRINITY_DN10272_c0_g1" "HOG:A0235913" "Embryophyta" "MC"
"224" "TRINITY_DN10273_c0_g1" "HOG:A0220213" "Magnoliopsida" "MC"
"225" "TRINITY_DN10274_c0_g1" "HOG:A0234236" "Embryophyta" "MC"
"226" "TRINITY_DN10275_c0_g1" "HOG:A0574973" "Eukaryota" "UC"
"227" "TRINITY_DN10276_c0_g1" "HOG:A0569336" "Eukaryota" "UC"
"228" "TRINITY_DN10277_c0_g1" "HOG:A0564601" "Eukaryota" "UC"
"229" "TRINITY_DN10278_c0_g1" "HOG:A0577644" "Eukaryota" "UC"
"230" "TRINITY_DN10279_c0_g1" "HOG:A0232766" "Tracheophyta" "MC"
"231" "TRINITY_DN1028_c0_g1" "HOG:A0573782" "Eukaryota" "UC"
"232" "TRINITY_DN10280_c0_g1" "HOG:A0219954" "Magnoliopsida" "MC"
"233" "TRINITY_DN10281_c0_g1" "HOG:A0220487" "Magnoliopsida" "MC"
"234" "TRINITY_DN10283_c0_g1" "HOG:A0212064" "Mesangiospermae" "MC"
"235" "TRINITY_DN10284_c0_g1" "HOG:A0575929" "Eukaryota" "UC"
"236" "TRINITY_DN10285_c0_g1" "HOG:A0202744" "Pentapetalae" "MC"
"237" "TRINITY_DN10286_c0_g1" "HOG:A0233734" "Embryophyta" "MC"
"238" "TRINITY_DN10287_c0_g1" "HOG:A0204905" "Pentapetalae" "MC"
"239" "TRINITY_DN10288_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"240" "TRINITY_DN1029_c0_g1" "HOG:A0202782" "Pentapetalae" "MC"
"241" "TRINITY_DN10290_c0_g1" "HOG:A0566680" "Eukaryota" "UC"
"242" "TRINITY_DN10291_c0_g1" "HOG:A0566767" "Eukaryota" "UC"
"243" "TRINITY_DN10292_c0_g1" "HOG:A0237592" "Streptophyta" "MC"
"244" "TRINITY_DN10294_c0_g1" "HOG:A0562267" "Eukaryota" "UC"
"245" "TRINITY_DN10294_c1_g1" "HOG:A0562267" "Eukaryota" "UC"
"246" "TRINITY_DN10295_c0_g1" "HOG:A0563965" "Eukaryota" "UC"
"247" "TRINITY_DN10296_c0_g1" "HOG:A0198046" "rosids" "MC"
"248" "TRINITY_DN10297_c0_g1" "HOG:A0237388" "Streptophyta" "MC"
"249" "TRINITY_DN1030_c0_g1" "HOG:A0567363" "Eukaryota" "UC"
"250" "TRINITY_DN10300_c0_g1" "HOG:A0565956" "Eukaryota" "UC"
"251" "TRINITY_DN10302_c0_g1" "HOG:A0562351" "Eukaryota" "UC"
"252" "TRINITY_DN10303_c0_g1" "HOG:A0220647" "Magnoliopsida" "MC"
"253" "TRINITY_DN10304_c0_g1" "HOG:A0234908" "Embryophyta" "MC"
"254" "TRINITY_DN10304_c0_g2" "HOG:A0234908" "Embryophyta" "MC"
"255" "TRINITY_DN10304_c1_g1" "HOG:A0237219" "Streptophyta" "MC"
"256" "TRINITY_DN10305_c0_g1" "HOG:A0562529" "Eukaryota" "UC"
"257" "TRINITY_DN10306_c0_g1" "HOG:A0219899" "Magnoliopsida" "MC"
"258" "TRINITY_DN10307_c0_g1" "HOG:A0222608" "Magnoliopsida" "MC"
"259" "TRINITY_DN10308_c1_g1" "HOG:A0780103" "LUCA" "UC"
"260" "TRINITY_DN10309_c0_g1" "HOG:A0207937" "Pentapetalae" "MC"
"261" "TRINITY_DN1031_c0_g1" "HOG:A0779815" "LUCA" "UC"
"262" "TRINITY_DN10310_c0_g1" "HOG:A0203253" "Pentapetalae" "MC"
"263" "TRINITY_DN10312_c0_g1" "HOG:A0222425" "Magnoliopsida" "MC"
"264" "TRINITY_DN10313_c0_g1" "HOG:A0234281" "Embryophyta" "MC"
"265" "TRINITY_DN10314_c0_g1" "HOG:A0573191" "Eukaryota" "UC"
"266" "TRINITY_DN10315_c0_g1" "HOG:A0223440" "Spermatophyta" "MC"
"267" "TRINITY_DN10316_c0_g1" "HOG:A0211945" "Mesangiospermae" "MC"
"268" "TRINITY_DN10317_c0_g1" "HOG:A0203177" "Pentapetalae" "MC"
"269" "TRINITY_DN10319_c0_g1" "HOG:A0167732" "asterids" "MC"
"270" "TRINITY_DN1032_c0_g1" "HOG:A0563585" "Eukaryota" "UC"
"271" "TRINITY_DN10322_c0_g1" "HOG:A0780114" "LUCA" "UC"
"272" "TRINITY_DN10323_c0_g1" "HOG:A0570329" "Eukaryota" "UC"
"273" "TRINITY_DN10325_c0_g1" "HOG:A0563258" "Eukaryota" "UC"
"274" "TRINITY_DN10326_c0_g1" "HOG:A0202565" "Pentapetalae" "MC"
"275" "TRINITY_DN10328_c0_g1" "HOG:A0562554" "Eukaryota" "UC"
"276" "TRINITY_DN10329_c0_g1" "HOG:A0212951" "Mesangiospermae" "MC"
"277" "TRINITY_DN1033_c0_g1" "HOG:A0563477" "Eukaryota" "UC"
"278" "TRINITY_DN1033_c0_g2" "HOG:A0563477" "Eukaryota" "UC"
"279" "TRINITY_DN10330_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"280" "TRINITY_DN10331_c0_g1" "HOG:A0235536" "Embryophyta" "MC"
"281" "TRINITY_DN10332_c0_g1" "HOG:A0237601" "Streptophyta" "MC"
"282" "TRINITY_DN10333_c0_g1" "HOG:A0211944" "Mesangiospermae" "MC"
"283" "TRINITY_DN10335_c0_g1" "HOG:A0235454" "Embryophyta" "MC"
"284" "TRINITY_DN10336_c0_g1" "HOG:A0222244" "Magnoliopsida" "MC"
"285" "TRINITY_DN1034_c0_g1" "HOG:A0562583" "Eukaryota" "UC"
"286" "TRINITY_DN10340_c0_g1" "HOG:A0168068" "asterids" "MC"
"287" "TRINITY_DN10342_c0_g1" "HOG:A0203122" "Pentapetalae" "MC"
"288" "TRINITY_DN10345_c0_g1" "HOG:A0564079" "Eukaryota" "UC"
"289" "TRINITY_DN10346_c0_g1" "HOG:A0211573" "Mesangiospermae" "MC"
"290" "TRINITY_DN1035_c0_g1" "HOG:A0779833" "LUCA" "UC"
"291" "TRINITY_DN10351_c0_g1" "HOG:A0567091" "Eukaryota" "UC"
"292" "TRINITY_DN10352_c0_g1" "HOG:A0562312" "Eukaryota" "UC"
"293" "TRINITY_DN10353_c3_g1" "HOG:A0757329" "Bacteria" "MC"
"294" "TRINITY_DN10354_c0_g1" "HOG:A0220613" "Magnoliopsida" "MC"
"295" "TRINITY_DN10356_c0_g1" "HOG:A0234130" "Embryophyta" "MC"
"296" "TRINITY_DN10357_c0_g1" "HOG:A0168397" "asterids" "MC"
"297" "TRINITY_DN10359_c0_g1" "HOG:A0203509" "Pentapetalae" "MC"
"298" "TRINITY_DN1036_c1_g1" "HOG:A0562498" "Eukaryota" "UC"
"299" "TRINITY_DN10362_c0_g2" "HOG:A0237862" "Streptophyta" "MC"
"300" "TRINITY_DN10364_c0_g1" "HOG:A0785691" "LUCA" "UC"
"301" "TRINITY_DN10368_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"302" "TRINITY_DN1037_c0_g1" "HOG:A0562266" "Eukaryota" "UC"
"303" "TRINITY_DN10370_c0_g1" "HOG:A0168401" "asterids" "MC"
"304" "TRINITY_DN10373_c0_g1" "HOG:A0212151" "Mesangiospermae" "MC"
"305" "TRINITY_DN10376_c0_g1" "HOG:A0224406" "Spermatophyta" "MC"
"306" "TRINITY_DN10378_c0_g1" "HOG:A0233748" "Embryophyta" "MC"
"307" "TRINITY_DN10379_c0_g1" "HOG:A0168412" "asterids" "MC"
"308" "TRINITY_DN1038_c0_g1" "HOG:A0202841" "Pentapetalae" "MC"
"309" "TRINITY_DN10380_c0_g1" "HOG:A0206586" "Pentapetalae" "MC"
"310" "TRINITY_DN10381_c0_g1" "HOG:A0564640" "Eukaryota" "UC"
"311" "TRINITY_DN10382_c0_g1" "HOG:A0562233" "Eukaryota" "UC"
"312" "TRINITY_DN10383_c0_g1" "HOG:A0240089" "Viridiplantae" "UC"
"313" "TRINITY_DN10385_c0_g1" "HOG:A0167579" "asterids" "MC"
"314" "TRINITY_DN10388_c1_g1" "HOG:A0562525" "Eukaryota" "UC"
"315" "TRINITY_DN1039_c0_g1" "HOG:A0234263" "Embryophyta" "MC"
"316" "TRINITY_DN10390_c0_g1" "HOG:A0781807" "LUCA" "UC"
