"gene" "hog" "phylostrata" "age"
"61" "TRINITY_DN10095_c0_g1" "HOG:A0566959" "Eukaryota" "UC"
"62" "TRINITY_DN10096_c0_g1" "HOG:A0217948" "Mesangiospermae" "MC"
"63" "TRINITY_DN101_c0_g1" "HOG:A0787851" "LUCA" "UC"
"64" "TRINITY_DN1010_c0_g1" "HOG:A0224573" "Spermatophyta" "MC"
"65" "TRINITY_DN10100_c0_g1" "HOG:A0220565" "Magnoliopsida" "MC"
"66" "TRINITY_DN10102_c0_g1" "HOG:A0563572" "Eukaryota" "UC"
"67" "TRINITY_DN10103_c0_g1" "HOG:A0233657" "Embryophyta" "MC"
"68" "TRINITY_DN10105_c0_g1" "HOG:A0570424" "Eukaryota" "UC"
"69" "TRINITY_DN10107_c0_g1" "HOG:A0779781" "LUCA" "UC"
"70" "TRINITY_DN10108_c0_g1" "HOG:A0233834" "Embryophyta" "MC"
"71" "TRINITY_DN10109_c0_g1" "HOG:A0234558" "Embryophyta" "MC"
"72" "TRINITY_DN10110_c0_g1" "HOG:A0174108" "fabids" "MC"
"73" "TRINITY_DN10111_c0_g1" "HOG:A0234295" "Embryophyta" "MC"
"74" "TRINITY_DN10112_c0_g1" "HOG:A0174471" "fabids" "MC"
"75" "TRINITY_DN10113_c0_g1" "HOG:A0233734" "Embryophyta" "MC"
"76" "TRINITY_DN10114_c0_g1" "HOG:A0202956" "Pentapetalae" "MC"
"77" "TRINITY_DN10116_c0_g1" "HOG:A0216008" "Mesangiospermae" "MC"
"78" "TRINITY_DN10121_c0_g1" "HOG:A0567074" "Eukaryota" "UC"
"79" "TRINITY_DN10123_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"80" "TRINITY_DN10124_c0_g1" "HOG:A0781664" "LUCA" "UC"
"81" "TRINITY_DN10126_c0_g1" "HOG:A0203125" "Pentapetalae" "MC"
"82" "TRINITY_DN10127_c0_g1" "HOG:A0234078" "Embryophyta" "MC"
"83" "TRINITY_DN10129_c0_g1" "HOG:A0223629" "Spermatophyta" "MC"
"84" "TRINITY_DN1013_c0_g1" "HOG:A0785710" "LUCA" "UC"
"85" "TRINITY_DN10131_c0_g1" "HOG:A0220446" "Magnoliopsida" "MC"
"86" "TRINITY_DN10136_c0_g1" "HOG:A0232538" "Tracheophyta" "MC"
"87" "TRINITY_DN10138_c0_g1" "HOG:A0240396" "Viridiplantae" "UC"
"88" "TRINITY_DN10139_c0_g1" "HOG:A0576987" "Eukaryota" "UC"
"89" "TRINITY_DN1014_c0_g1" "HOG:A0563999" "Eukaryota" "UC"
"90" "TRINITY_DN10143_c0_g1" "HOG:A0562735" "Eukaryota" "UC"
"91" "TRINITY_DN10144_c0_g1" "HOG:A0237684" "Streptophyta" "MC"
"92" "TRINITY_DN10145_c0_g1" "HOG:A0220636" "Magnoliopsida" "MC"
"93" "TRINITY_DN10151_c0_g1" "HOG:A0220609" "Magnoliopsida" "MC"
"94" "TRINITY_DN10152_c0_g1" "HOG:A0212067" "Mesangiospermae" "MC"
"95" "TRINITY_DN10157_c0_g1" "HOG:A0563251" "Eukaryota" "UC"
"96" "TRINITY_DN10159_c0_g1" "HOG:A0239017" "Viridiplantae" "UC"
"97" "TRINITY_DN10160_c0_g1" "HOG:A0167535" "asterids" "MC"
"98" "TRINITY_DN10161_c0_g1" "HOG:A0228988" "Spermatophyta" "MC"
"99" "TRINITY_DN10164_c0_g1" "HOG:A0563894" "Eukaryota" "UC"
"100" "TRINITY_DN1017_c0_g1" "HOG:A0213269" "Mesangiospermae" "MC"
"101" "TRINITY_DN10172_c0_g1" "HOG:A0293657" "Agaricomycetes" "MC"
"102" "TRINITY_DN10173_c0_g1" "HOG:A0237398" "Streptophyta" "MC"
"103" "TRINITY_DN10177_c0_g1" "HOG:A0567252" "Eukaryota" "UC"
"104" "TRINITY_DN10179_c0_g1" "HOG:A0238660" "Viridiplantae" "UC"
"105" "TRINITY_DN10180_c0_g1" "HOG:A0583369" "Eukaryota" "UC"
"106" "TRINITY_DN10182_c0_g1" "HOG:A0237737" "Streptophyta" "MC"
"107" "TRINITY_DN10185_c0_g1" "HOG:A0219659" "Magnoliopsida" "MC"
"108" "TRINITY_DN10186_c0_g1" "HOG:A0568990" "Eukaryota" "UC"
"109" "TRINITY_DN10187_c0_g1" "HOG:A0566767" "Eukaryota" "UC"
"110" "TRINITY_DN10188_c0_g1" "HOG:A0570457" "Eukaryota" "UC"
"111" "TRINITY_DN10190_c0_g1" "HOG:A0168330" "asterids" "MC"
"112" "TRINITY_DN10191_c0_g1" "HOG:A0562380" "Eukaryota" "UC"
"113" "TRINITY_DN10193_c0_g1" "HOG:A0236525" "Embryophyta" "MC"
"114" "TRINITY_DN10199_c0_g1" "HOG:A0212657" "Mesangiospermae" "MC"
"115" "TRINITY_DN10206_c0_g1" "HOG:A0757271" "Bacteria" "MC"
"116" "TRINITY_DN10207_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"117" "TRINITY_DN1021_c0_g1" "HOG:A0788167" "LUCA" "UC"
"118" "TRINITY_DN10210_c0_g1" "HOG:A0220503" "Magnoliopsida" "MC"
"119" "TRINITY_DN10214_c0_g1" "HOG:A0198761" "rosids" "MC"
"120" "TRINITY_DN10215_c0_g1" "HOG:A0235425" "Embryophyta" "MC"
"121" "TRINITY_DN10219_c0_g1" "HOG:A0562201" "Eukaryota" "UC"
"122" "TRINITY_DN1022_c0_g1" "HOG:A0562163" "Eukaryota" "UC"
"123" "TRINITY_DN10222_c0_g1" "HOG:A0780592" "LUCA" "UC"
"124" "TRINITY_DN10225_c0_g1" "HOG:A0237438" "Streptophyta" "MC"
"125" "TRINITY_DN10227_c0_g1" "HOG:A0562417" "Eukaryota" "UC"
"126" "TRINITY_DN10228_c0_g1" "HOG:A0237067" "Streptophyta" "MC"
"127" "TRINITY_DN10229_c0_g1" "HOG:A0203145" "Pentapetalae" "MC"
"128" "TRINITY_DN10233_c0_g1" "HOG:A0200591" "rosids" "MC"
"129" "TRINITY_DN10234_c0_g1" "HOG:A0562194" "Eukaryota" "UC"
"130" "TRINITY_DN1024_c0_g1" "HOG:A0238736" "Viridiplantae" "UC"
"131" "TRINITY_DN10241_c0_g1" "HOG:A0563841" "Eukaryota" "UC"
"132" "TRINITY_DN10246_c0_g1" "HOG:A0219884" "Magnoliopsida" "MC"
"133" "TRINITY_DN10249_c0_g1" "HOG:A0562696" "Eukaryota" "UC"
"134" "TRINITY_DN1025_c0_g1" "HOG:A0167701" "asterids" "MC"
"135" "TRINITY_DN10250_c0_g1" "HOG:A0634517" "Streptomyces" "MC"
"136" "TRINITY_DN10251_c0_g1" "HOG:A0566928" "Eukaryota" "UC"
"137" "TRINITY_DN10254_c0_g1" "HOG:A0206709" "Pentapetalae" "MC"
"138" "TRINITY_DN10255_c0_g1" "HOG:A0234560" "Embryophyta" "MC"
"139" "TRINITY_DN10256_c0_g1" "HOG:A0564682" "Eukaryota" "UC"
"140" "TRINITY_DN10257_c0_g1" "HOG:A0167660" "asterids" "MC"
"141" "TRINITY_DN10259_c0_g1" "HOG:A0234198" "Embryophyta" "MC"
"142" "TRINITY_DN10261_c0_g1" "HOG:A0562999" "Eukaryota" "UC"
"143" "TRINITY_DN10263_c0_g1" "HOG:A0779759" "LUCA" "UC"
"144" "TRINITY_DN10264_c0_g1" "HOG:A0220460" "Magnoliopsida" "MC"
"145" "TRINITY_DN10265_c0_g1" "HOG:A0234221" "Embryophyta" "MC"
"146" "TRINITY_DN10266_c0_g1" "HOG:A0211807" "Mesangiospermae" "MC"
"147" "TRINITY_DN10272_c0_g1" "HOG:A0212967" "Mesangiospermae" "MC"
"148" "TRINITY_DN10277_c0_g1" "HOG:A0233601" "Embryophyta" "MC"
"149" "TRINITY_DN10278_c0_g2" "HOG:A0562172" "Eukaryota" "UC"
"150" "TRINITY_DN10281_c0_g1" "HOG:A0202501" "Pentapetalae" "MC"
"151" "TRINITY_DN10283_c0_g1" "HOG:A0563281" "Eukaryota" "UC"
"152" "TRINITY_DN10285_c1_g1" "HOG:A0563021" "Eukaryota" "UC"
"153" "TRINITY_DN10287_c0_g1" "HOG:A0234657" "Embryophyta" "MC"
"154" "TRINITY_DN10288_c0_g1" "HOG:A0567129" "Eukaryota" "UC"
"155" "TRINITY_DN10289_c0_g1" "HOG:A0202920" "Pentapetalae" "MC"
"156" "TRINITY_DN1029_c0_g1" "HOG:A0780977" "LUCA" "UC"
"157" "TRINITY_DN10290_c0_g1" "HOG:A0562820" "Eukaryota" "UC"
"158" "TRINITY_DN10291_c0_g1" "HOG:A0239459" "Viridiplantae" "UC"
"159" "TRINITY_DN10295_c0_g1" "HOG:A0237720" "Streptophyta" "MC"
"160" "TRINITY_DN10296_c0_g1" "HOG:A0562198" "Eukaryota" "UC"
"161" "TRINITY_DN10297_c0_g1" "HOG:A0562708" "Eukaryota" "UC"
"162" "TRINITY_DN10298_c0_g1" "HOG:A0567550" "Eukaryota" "UC"
"163" "TRINITY_DN10299_c0_g1" "HOG:A0567145" "Eukaryota" "UC"
"164" "TRINITY_DN10300_c0_g1" "HOG:A0234355" "Embryophyta" "MC"
"165" "TRINITY_DN10301_c0_g1" "HOG:A0237262" "Streptophyta" "MC"
"166" "TRINITY_DN10302_c0_g1" "HOG:A0167641" "asterids" "MC"
"167" "TRINITY_DN10304_c0_g1" "HOG:A0779809" "LUCA" "UC"
"168" "TRINITY_DN10305_c0_g1" "HOG:A0564257" "Eukaryota" "UC"
"169" "TRINITY_DN10306_c0_g1" "HOG:A0233861" "Embryophyta" "MC"
"170" "TRINITY_DN10314_c0_g1" "HOG:A0567069" "Eukaryota" "UC"
"171" "TRINITY_DN10315_c0_g1" "HOG:A0202937" "Pentapetalae" "MC"
"172" "TRINITY_DN10317_c0_g1" "HOG:A0237464" "Streptophyta" "MC"
"173" "TRINITY_DN10318_c0_g1" "HOG:A0576330" "Eukaryota" "UC"
"174" "TRINITY_DN1032_c0_g1" "HOG:A0562533" "Eukaryota" "UC"
"175" "TRINITY_DN10320_c0_g1" "HOG:A0167634" "asterids" "MC"
"176" "TRINITY_DN10322_c0_g1" "HOG:A0213142" "Mesangiospermae" "MC"
"177" "TRINITY_DN10325_c0_g1" "HOG:A0206130" "Pentapetalae" "MC"
"178" "TRINITY_DN10326_c0_g1" "HOG:A0563951" "Eukaryota" "UC"
"179" "TRINITY_DN10328_c0_g1" "HOG:A0566691" "Eukaryota" "UC"
"180" "TRINITY_DN10329_c0_g1" "HOG:A0562422" "Eukaryota" "UC"
"181" "TRINITY_DN1033_c0_g1" "HOG:A0234380" "Embryophyta" "MC"
"182" "TRINITY_DN10331_c0_g1" "HOG:A0233562" "Embryophyta" "MC"
"183" "TRINITY_DN10332_c0_g1" "HOG:A0515656" "Euteleostomi" "MC"
"184" "TRINITY_DN10335_c0_g1" "HOG:A0563647" "Eukaryota" "UC"
"185" "TRINITY_DN10337_c0_g1" "HOG:A0220634" "Magnoliopsida" "MC"
"186" "TRINITY_DN1034_c0_g1" "HOG:A0211722" "Mesangiospermae" "MC"
"187" "TRINITY_DN10340_c0_g1" "HOG:A0761990" "Bacteria" "MC"
"188" "TRINITY_DN10342_c0_g1" "HOG:A0562172" "Eukaryota" "UC"
"189" "TRINITY_DN10344_c0_g1" "HOG:A0563867" "Eukaryota" "UC"
"190" "TRINITY_DN10345_c0_g1" "HOG:A0203042" "Pentapetalae" "MC"
"191" "TRINITY_DN10346_c0_g1" "HOG:A0785732" "LUCA" "UC"
"192" "TRINITY_DN10347_c0_g1" "HOG:A0235310" "Embryophyta" "MC"
"193" "TRINITY_DN10349_c0_g1" "HOG:A0562279" "Eukaryota" "UC"
"194" "TRINITY_DN1035_c0_g1" "HOG:A0167020" "lamiids" "MC"
"195" "TRINITY_DN10351_c0_g1" "HOG:A0168180" "asterids" "MC"
"196" "TRINITY_DN10353_c0_g1" "HOG:A0571116" "Eukaryota" "UC"
"197" "TRINITY_DN10354_c0_g1" "HOG:A0233742" "Embryophyta" "MC"
"198" "TRINITY_DN10357_c0_g1" "HOG:A0780674" "LUCA" "UC"
"199" "TRINITY_DN1036_c1_g1" "HOG:A0780592" "LUCA" "UC"
"200" "TRINITY_DN10362_c0_g1" "HOG:A0200624" "rosids" "MC"
"201" "TRINITY_DN10363_c0_g1" "HOG:A0232868" "Tracheophyta" "MC"
"202" "TRINITY_DN10364_c0_g1" "HOG:A0220815" "Magnoliopsida" "MC"
"203" "TRINITY_DN10366_c0_g1" "HOG:A0239324" "Viridiplantae" "UC"
"204" "TRINITY_DN10369_c0_g1" "HOG:A0566687" "Eukaryota" "UC"
"205" "TRINITY_DN1037_c0_g1" "HOG:A0212923" "Mesangiospermae" "MC"
"206" "TRINITY_DN10370_c0_g1" "HOG:A0168007" "asterids" "MC"
"207" "TRINITY_DN10373_c0_g1" "HOG:A0780208" "LUCA" "UC"
"208" "TRINITY_DN10376_c0_g1" "HOG:A0235399" "Embryophyta" "MC"
"209" "TRINITY_DN10377_c0_g1" "HOG:A0235211" "Embryophyta" "MC"
"210" "TRINITY_DN10379_c0_g1" "HOG:A0219737" "Magnoliopsida" "MC"
"211" "TRINITY_DN10381_c0_g1" "HOG:A0563540" "Eukaryota" "UC"
"212" "TRINITY_DN10384_c0_g1" "HOG:A0234501" "Embryophyta" "MC"
"213" "TRINITY_DN10388_c0_g1" "HOG:A0219734" "Magnoliopsida" "MC"
"214" "TRINITY_DN10389_c0_g1" "HOG:A0220839" "Magnoliopsida" "MC"
"215" "TRINITY_DN1039_c0_g1" "HOG:A0779772" "LUCA" "UC"
"216" "TRINITY_DN10393_c0_g1" "HOG:A0203408" "Pentapetalae" "MC"
"217" "TRINITY_DN10394_c0_g1" "HOG:A0238676" "Viridiplantae" "UC"
"218" "TRINITY_DN10396_c0_g1" "HOG:A0205322" "Pentapetalae" "MC"
"219" "TRINITY_DN10401_c0_g1" "HOG:A0563683" "Eukaryota" "UC"
"220" "TRINITY_DN10403_c0_g1" "HOG:A0224590" "Spermatophyta" "MC"
"221" "TRINITY_DN10409_c0_g1" "HOG:A0563708" "Eukaryota" "UC"
"222" "TRINITY_DN1041_c0_g1" "HOG:A0788131" "LUCA" "UC"
"223" "TRINITY_DN10411_c0_g1" "HOG:A0213402" "Mesangiospermae" "MC"
"224" "TRINITY_DN10413_c0_g1" "HOG:A0222143" "Magnoliopsida" "MC"
"225" "TRINITY_DN10416_c0_g1" "HOG:A0233626" "Embryophyta" "MC"
"226" "TRINITY_DN10417_c0_g1" "HOG:A0224291" "Spermatophyta" "MC"
"227" "TRINITY_DN10419_c0_g1" "HOG:A0202906" "Pentapetalae" "MC"
"228" "TRINITY_DN1042_c0_g1" "HOG:A0562279" "Eukaryota" "UC"
"229" "TRINITY_DN10421_c0_g1" "HOG:A0570608" "Eukaryota" "UC"
"230" "TRINITY_DN10428_c0_g1" "HOG:A0562467" "Eukaryota" "UC"
"231" "TRINITY_DN10429_c0_g1" "HOG:A0220577" "Magnoliopsida" "MC"
"232" "TRINITY_DN1043_c0_g1" "HOG:A0780900" "LUCA" "UC"
"233" "TRINITY_DN10431_c0_g1" "HOG:A0575125" "Eukaryota" "UC"
"234" "TRINITY_DN10432_c0_g1" "HOG:A0167813" "asterids" "MC"
"235" "TRINITY_DN10433_c0_g1" "HOG:A0229117" "Spermatophyta" "MC"
"236" "TRINITY_DN10434_c0_g1" "HOG:A0575012" "Eukaryota" "UC"
"237" "TRINITY_DN10439_c0_g1" "HOG:A0238116" "Streptophyta" "MC"
"238" "TRINITY_DN10442_c0_g1" "HOG:A0212032" "Mesangiospermae" "MC"
"239" "TRINITY_DN10444_c0_g1" "HOG:A0167505" "asterids" "MC"
"240" "TRINITY_DN10448_c0_g1" "HOG:A0563421" "Eukaryota" "UC"
"241" "TRINITY_DN10450_c0_g1" "HOG:A0202502" "Pentapetalae" "MC"
"242" "TRINITY_DN10453_c0_g1" "HOG:A0785772" "LUCA" "UC"
"243" "TRINITY_DN10455_c0_g1" "HOG:A0563881" "Eukaryota" "UC"
"244" "TRINITY_DN10457_c0_g1" "HOG:A0785586" "LUCA" "UC"
"245" "TRINITY_DN10458_c0_g1" "HOG:A0167911" "asterids" "MC"
"246" "TRINITY_DN10459_c0_g1" "HOG:A0202863" "Pentapetalae" "MC"
"247" "TRINITY_DN1046_c0_g1" "HOG:A0577690" "Eukaryota" "UC"
"248" "TRINITY_DN10461_c0_g1" "HOG:A0235500" "Embryophyta" "MC"
"249" "TRINITY_DN10462_c0_g1" "HOG:A0212714" "Mesangiospermae" "MC"
"250" "TRINITY_DN10464_c0_g1" "HOG:A0220353" "Magnoliopsida" "MC"
"251" "TRINITY_DN10466_c0_g1" "HOG:A0211657" "Mesangiospermae" "MC"
"252" "TRINITY_DN1047_c0_g1" "HOG:A0569713" "Eukaryota" "UC"
"253" "TRINITY_DN10470_c0_g1" "HOG:A0222114" "Magnoliopsida" "MC"
"254" "TRINITY_DN10474_c0_g1" "HOG:A0566668" "Eukaryota" "UC"
"255" "TRINITY_DN10477_c0_g1" "HOG:A0562542" "Eukaryota" "UC"
"256" "TRINITY_DN10482_c0_g1" "HOG:A0563364" "Eukaryota" "UC"
"257" "TRINITY_DN10487_c0_g1" "HOG:A0233707" "Embryophyta" "MC"
"258" "TRINITY_DN10488_c0_g1" "HOG:A0212369" "Mesangiospermae" "MC"
"259" "TRINITY_DN1049_c0_g1" "HOG:A0567079" "Eukaryota" "UC"
"260" "TRINITY_DN10495_c0_g1" "HOG:A0167839" "asterids" "MC"
"261" "TRINITY_DN105_c0_g1" "HOG:A0781066" "LUCA" "UC"
"262" "TRINITY_DN10500_c0_g1" "HOG:A0563437" "Eukaryota" "UC"
"263" "TRINITY_DN10502_c0_g1" "HOG:A0564567" "Eukaryota" "UC"
"264" "TRINITY_DN10505_c0_g1" "HOG:A0167584" "asterids" "MC"
"265" "TRINITY_DN10508_c0_g1" "HOG:A0223717" "Spermatophyta" "MC"
"266" "TRINITY_DN10509_c0_g1" "HOG:A0220352" "Magnoliopsida" "MC"
"267" "TRINITY_DN10513_c0_g1" "HOG:A0220193" "Magnoliopsida" "MC"
"268" "TRINITY_DN10516_c0_g1" "HOG:A0206197" "Pentapetalae" "MC"
"269" "TRINITY_DN10517_c0_g1" "HOG:A0233888" "Embryophyta" "MC"
"270" "TRINITY_DN10519_c0_g1" "HOG:A0213010" "Mesangiospermae" "MC"
"271" "TRINITY_DN1052_c0_g1" "HOG:A0211729" "Mesangiospermae" "MC"
"272" "TRINITY_DN10520_c0_g1" "HOG:A0211777" "Mesangiospermae" "MC"
"273" "TRINITY_DN10521_c0_g1" "HOG:A0213001" "Mesangiospermae" "MC"
"274" "TRINITY_DN10523_c0_g1" "HOG:A0237924" "Streptophyta" "MC"
"275" "TRINITY_DN10526_c0_g1" "HOG:A0197029" "malvids" "MC"
"276" "TRINITY_DN10528_c0_g1" "HOG:A0202735" "Pentapetalae" "MC"
"277" "TRINITY_DN10530_c0_g1" "HOG:A0205217" "Pentapetalae" "MC"
"278" "TRINITY_DN10538_c0_g1" "HOG:A0231933" "Tracheophyta" "MC"
"279" "TRINITY_DN1054_c0_g1" "HOG:A0565958" "Eukaryota" "UC"
"280" "TRINITY_DN10542_c0_g1" "HOG:A0219599" "Magnoliopsida" "MC"
"281" "TRINITY_DN10543_c0_g1" "HOG:A0224253" "Spermatophyta" "MC"
"282" "TRINITY_DN10545_c0_g1" "HOG:A0567171" "Eukaryota" "UC"
"283" "TRINITY_DN10546_c0_g1" "HOG:A0234358" "Embryophyta" "MC"
"284" "TRINITY_DN10549_c0_g1" "HOG:A0232804" "Tracheophyta" "MC"
"285" "TRINITY_DN10550_c0_g1" "HOG:A0232720" "Tracheophyta" "MC"
"286" "TRINITY_DN10551_c0_g1" "HOG:A0562646" "Eukaryota" "UC"
"287" "TRINITY_DN10553_c0_g1" "HOG:A0211778" "Mesangiospermae" "MC"
"288" "TRINITY_DN10554_c0_g1" "HOG:A0220545" "Magnoliopsida" "MC"
"289" "TRINITY_DN10555_c0_g1" "HOG:A0206634" "Pentapetalae" "MC"
"290" "TRINITY_DN1056_c0_g1" "HOG:A0219938" "Magnoliopsida" "MC"
"291" "TRINITY_DN10561_c0_g1" "HOG:A0203114" "Pentapetalae" "MC"
"292" "TRINITY_DN10562_c0_g1" "HOG:A0202909" "Pentapetalae" "MC"
"293" "TRINITY_DN10565_c0_g1" "HOG:A0219796" "Magnoliopsida" "MC"
"294" "TRINITY_DN10567_c0_g1" "HOG:A0563610" "Eukaryota" "UC"
"295" "TRINITY_DN10571_c0_g1" "HOG:A0203034" "Pentapetalae" "MC"
"296" "TRINITY_DN10572_c0_g1" "HOG:A0786990" "LUCA" "UC"
"297" "TRINITY_DN10577_c0_g1" "HOG:A0211616" "Mesangiospermae" "MC"
"298" "TRINITY_DN10579_c0_g1" "HOG:A0226696" "Spermatophyta" "MC"
"299" "TRINITY_DN10584_c0_g1" "HOG:A0174443" "fabids" "MC"
"300" "TRINITY_DN10584_c0_g2" "HOG:A0203273" "Pentapetalae" "MC"
"301" "TRINITY_DN10586_c0_g1" "HOG:A0237884" "Streptophyta" "MC"
"302" "TRINITY_DN10588_c0_g1" "HOG:A0224163" "Spermatophyta" "MC"
"303" "TRINITY_DN1059_c0_g1" "HOG:A0563993" "Eukaryota" "UC"
"304" "TRINITY_DN10592_c0_g1" "HOG:A0781930" "LUCA" "UC"
"305" "TRINITY_DN10597_c0_g1" "HOG:A0237681" "Streptophyta" "MC"
"306" "TRINITY_DN106_c0_g1" "HOG:A0779804" "LUCA" "UC"
"307" "TRINITY_DN1060_c0_g1" "HOG:A0205112" "Pentapetalae" "MC"
"308" "TRINITY_DN10601_c0_g1" "HOG:A0563307" "Eukaryota" "UC"
"309" "TRINITY_DN10603_c0_g1" "HOG:A0780175" "LUCA" "UC"
"310" "TRINITY_DN10608_c0_g1" "HOG:A0206421" "Pentapetalae" "MC"
"311" "TRINITY_DN10609_c0_g1" "HOG:A0555206" "Opisthokonta" "MC"
"312" "TRINITY_DN10611_c0_g1" "HOG:A0212919" "Mesangiospermae" "MC"
"313" "TRINITY_DN10613_c0_g1" "HOG:A0229031" "Spermatophyta" "MC"
"314" "TRINITY_DN10615_c0_g1" "HOG:A0211637" "Mesangiospermae" "MC"
"315" "TRINITY_DN10617_c0_g1" "HOG:A0232748" "Tracheophyta" "MC"
"316" "TRINITY_DN1062_c0_g1" "HOG:A0780358" "LUCA" "UC"
