"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID","age"
"35","AT1G02360","259443_at",0.000393,1.87e-05,8.317725,3.1525215,1.64246,"AT1G02360","putative chitinase","GO:0002239; GO:0005975; GO:0006032; GO:0016998; GO:0071456; GO:0005576; GO:0005739; GO:0004568",NA,15164210,2,"Eukaryota","ARATH00244","UC"
"36","AT1G02400","259445_at",0.0153,0.00309,4.0360742,-2.2932621,0.4892325,"GA2OX6","gibberellin 2-oxidase 6","GO:0009416; GO:0009639; GO:0009686; GO:0045487; GO:0005737; GO:0009507; GO:0051213; GO:0052634",NA,15164216,9,"Mesangiospermae","ARATH00250","MC"
"37","AT1G02460","260903_at",0.00799,0.00132,-4.6259316,-1.3960072,-0.5151325,"AT1G02460","pectin lyase-like superfamily protein","GO:0005975; GO:0005576; GO:0004650",NA,15164226,8,"Magnoliopsida","ARATH00260","MC"
"38","AT1G02475","260916_at",2.91e-05,2.09e-07,-14.3685041,7.8551081,-1.4930025,"AT1G02475","SRPBCC ligand-binding domain-containing protein","GO:0008150; GO:0005634; GO:0003674",NA,15164229,4,"Streptophyta","ARATH00263","MC"
"39","AT1G02560","260912_at",0.000115,2.66e-06,-10.5933657,5.2183756,-1.1654225,"CLPP5","ATP-dependent Clp protease proteolytic subunit 5","GO:0006515; GO:0018119; GO:0005576; GO:0009368; GO:0009507; GO:0009532; GO:0009534; GO:0009570; GO:0009579; GO:0009840; GO:0009941; GO:0004176; GO:0004252; GO:0051117",NA,15164238,3,"Viridiplantae","ARATH00272","UC"
"40","AT1G02640","260914_at",0.00221,0.000231,5.9693211,0.4659407,1.6336175,"BXL2","probable beta-D-xylosidase 2","GO:0031222; GO:0045493; GO:0005576; GO:0009505; GO:0004553; GO:0009044; GO:0046556","00460; 00500; 00940; 01110",15164250,2,"Eukaryota","ARATH00284","UC"
"41","AT1G02660","260915_at",0.00817,0.00136,-4.6037981,-1.428829,-0.3856875,"AT1G02660","alpha/beta-Hydrolases superfamily protein","GO:0002213; GO:0009628; GO:0031349; GO:0005576; GO:0009507; GO:0047714",NA,15164253,6,"Tracheophyta","ARATH00287","MC"
"42","AT1G02690","260910_at",0.00335,0.000407,5.5106946,-0.1409319,0.7912275,"IMPA-6","importin alpha isoform 6","GO:0006607; GO:0005643; GO:0005654; GO:0005737; GO:0005829; GO:0042025; GO:0008139; GO:0061608",NA,15164263,2,"Eukaryota","ARATH00297","UC"
"43","AT1G02730","262109_at",0.000106,2.31e-06,10.7739601,5.3644389,2.3458075,"CSLD5","cellulose synthase-like protein D5","GO:0000919; GO:0006970; GO:0009414; GO:0009651; GO:0009833; GO:0010583; GO:0030244; GO:0042546; GO:0048367; GO:0005794; GO:0005802; GO:0005886; GO:0016760; GO:0046527; GO:0051753","00500; 00520; 01100",15164268,9,"Mesangiospermae","ARATH00302","MC"
"44","AT1G02780","262117_at",0.0258,0.0061,3.5859321,-3.0064008,0.38615,"emb2386","60S ribosomal protein L19-1","GO:0006412; GO:0009793; GO:0005576; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0009506; GO:0022625; GO:0022626; GO:0003723; GO:0003729; GO:0003735","03010",15164273,1,"LUCA","ARATH00307","UC"
"45","AT1G02820","262113_at",0.00174,0.000166,-6.2438953,0.8153997,-0.504735,"AT1G02820","late embryogenesis abundant 3-like protein","GO:0006950; GO:0009414; GO:0009651; GO:0005634; GO:0005739; GO:0005829; GO:0009507; GO:0003674",NA,15164279,10,"Pentapetalae","ARATH00313","MC"
"46","AT1G02840","262110_at",0.0201,0.00443,3.7962972,-2.6704418,0.7704,"SR1","Pre-mRNA-splicing factor SF2","GO:0000381; GO:0045292; GO:0005634; GO:0005737; GO:0016607; GO:0035061; GO:0003723; GO:0003729; GO:0005515","03040",15164281,2,"Eukaryota","ARATH00315","UC"
"47","AT1G02850","262118_at",0.000686,4.35e-05,7.4642333,2.2512265,1.796045,"BGLU11","beta glucosidase 11","GO:0005975; GO:0005576; GO:0005886; GO:0008422; GO:0102483",NA,15164287,1,"LUCA","ARATH00321","UC"
"48","AT1G02870","262112_at",0.0115,0.00214,4.2858313,-1.9077525,0.8997225,"AT1G02870","hypothetical protein","GO:0042273; GO:0005634; GO:0005730; GO:0003674",NA,15164292,3,"Viridiplantae","ARATH00326","UC"
"49","AT1G02900","262131_at",0.00732,0.00117,4.7145734,-1.2652463,0.8897725,"RALF1","rapid alkalinization factor 1","GO:0007267; GO:0019722; GO:0030308; GO:0048364; GO:0005576; GO:0009506; GO:0048046; GO:0005515",NA,15164300,9,"Mesangiospermae","ARATH00334","MC"
"50","AT1G02950","262120_at",0.00496,0.000695,5.0987539,-0.7113842,0.7673175,"GSTF4","glutathione S-transferase F4","GO:0006749; GO:0009407; GO:0005737; GO:0009507; GO:0004364; GO:0043295","00480",15164309,2,"Eukaryota","ARATH00343","UC"
"51","AT1G03090","263118_at",0.00745,0.0012,4.6967069,-1.2915135,1.69324,"MCCA","methylcrotonoyl-CoA carboxylase subunit alpha","GO:0006552; GO:0005576; GO:0005739; GO:0022626; GO:0004485; GO:0016421; GO:0050897","00280; 01100",15164343,2,"Eukaryota","ARATH00377","UC"
"52","AT1G03110","263119_at",0.00479,0.000666,5.1313697,-0.6653335,0.4408875,"AT1G03110","tRNA modification protein 82","GO:0006400; GO:0008618; GO:0005634; GO:0005737; GO:0005829; GO:0043527; GO:0008176",NA,15164348,5,"Embryophyta","ARATH00382","MC"
"53","AT1G03130","263114_at",0.00134,0.000114,-6.5698731,1.2172455,-1.5447375,"PSAD-2","photosystem I reaction center subunit D-2","GO:0005576; GO:0009507; GO:0009534; GO:0009535; GO:0009538; GO:0009579; GO:0009941; GO:0003674","00195; 01100",15164351,2,"Eukaryota","ARATH00385","UC"
"54","AT1G03160","263163_at",0.0125,0.00237,-4.2160275,-2.0146987,-0.7011525,"FZL","FZO-like protein","GO:0010027; GO:0010228; GO:0034051; GO:1902478; GO:0009507; GO:0009707; GO:0031969",NA,15164355,3,"Viridiplantae","ARATH00389","UC"
"55","AT1G03210","264355_at",0.00461,0.000633,5.1699684,-0.6110325,0.57087,"AT1G03210","Phenazine biosynthesis PhzC/PhzF protein","GO:0008150; GO:0009058; GO:0005575; GO:0003674; GO:0003824",NA,15164365,1,"LUCA","ARATH00399","UC"
"56","AT1G03330","264364_at",0.00301,0.000353,5.6244642,0.0123604,0.703075,"AT1G03330","Small nuclear ribonucleoprotein family protein","GO:0000398; GO:0000932; GO:0005634; GO:0005688; GO:0005829; GO:0046540; GO:0071011; GO:0071013; GO:1990726","03018; 03040",15164384,2,"Eukaryota","ARATH00418","UC"
"57","AT1G03430","264838_at",0.0346,0.00889,-3.3439428,-3.3976551,-0.3746425,"AHP5","histidine-containing phosphotransfer protein 5","GO:0000160; GO:0007165; GO:0009557; GO:0009560; GO:0009736; GO:0016310; GO:0080036; GO:0005634; GO:0005737; GO:0009927; GO:0043424","04075",15164399,5,"Embryophyta","ARATH00433","MC"
"58","AT1G03457","264822_at",0.0051,0.000723,5.0690681,-0.7534304,0.406665,"AT1G03457","RNA recognition motif-containing protein","GO:0006402; GO:0048573; GO:2000028; GO:0005634; GO:0005737; GO:1990904; GO:0003723; GO:0003729",NA,15164405,2,"Eukaryota","ARATH00439","UC"
"59","AT1G03475","264820_at",0.0173,0.00363,-3.9277025,-2.4629219,-0.7416025,"LIN2","coproporphyrinogen III oxidase","GO:0006782; GO:0033014; GO:0005576; GO:0005737; GO:0009507; GO:0009536; GO:0009570; GO:0048046; GO:0004109","00860; 01100; 01110",15164407,1,"LUCA","ARATH00441","UC"
"60","AT1G03520","264844_at",0.0101,0.00179,-4.4111331,-1.717388,-0.4134175,"AT1G03520","core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein","GO:0005634; GO:0005794; GO:0016757",NA,15164412,5,"Embryophyta","ARATH00446","MC"
"61","AT1G03550","264835_at",0.000142,4e-06,-10.0794625,4.789544,-0.9493225,"AT1G03550","secretory carrier-associated membrane protein 2","GO:0015031; GO:0000139; GO:0005794; GO:0005886; GO:0032588; GO:0055038",NA,15164415,2,"Eukaryota","ARATH00449","UC"
"62","AT1G03590","264833_at",0.0141,0.00279,4.1047128,-2.186535,0.41604,"AT1G03590","putative protein phosphatase 2C 1","GO:0006470; GO:0005886; GO:0004722; GO:0004724",NA,15164423,7,"Spermatophyta","ARATH00457","MC"
"63","AT1G03610","264836_at",0.0105,0.00189,4.3738628,-1.7737921,1.29754,"AT1G03610","hypothetical protein","GO:0071456; GO:0005634; GO:0003674",NA,15164426,7,"Spermatophyta","ARATH00460","MC"
"64","AT1G03620","264815_at",3.63e-05,3.52e-07,13.5039977,7.3199531,2.1515525,"AT1G03620","ELMO/CED-12 family protein","GO:0005634; GO:0005737; GO:0003674",NA,15164427,5,"Embryophyta","ARATH00461","MC"
"65","AT1G03630","264839_at",6.3e-05,9.38e-07,-12.014803,6.3083392,-2.0668875,"POR C","protochlorophyllide reductase C","GO:0015995; GO:0005576; GO:0009507; GO:0009534; GO:0009535; GO:0009941; GO:0003959; GO:0016630","00860; 01100; 01110",15164431,2,"Eukaryota","ARATH00465","UC"
"66","AT1G03680","264845_at",4.01e-06,5.95e-09,-21.7615408,11.3216418,-2.3201575,"THM1","thioredoxin M1","GO:0006109; GO:0006662; GO:0006979; GO:0009409; GO:0043085; GO:0043086; GO:0045454; GO:0005576; GO:0005737; GO:0009507; GO:0009570; GO:0009579; GO:0009941; GO:0010319; GO:0048046; GO:0004857; GO:0005515; GO:0008047; GO:0015035; GO:0016671; GO:0047134",NA,15164435,10,"Pentapetalae","ARATH00469","MC"
"67","AT1G03687","264831_at",0.00942,0.00164,4.4712988,-1.6267306,0.328995,"AT1G03687","DTW domain-containing protein","GO:0008150; GO:0003674",NA,15164437,2,"Eukaryota","ARATH00471","UC"
"68","AT1G03780","265085_at",0.000806,5.48e-05,7.2422167,2.0035277,0.9986625,"TPX2","protein TPX2","GO:0051225; GO:0005634; GO:0005874; GO:0009941; GO:0008017",NA,15164453,5,"Embryophyta","ARATH00487","MC"
"69","AT1G03850","265067_at",0.0315,0.00789,3.4204954,-3.2734078,2.106285,"AT1G03850","glutaredoxin ATGRXS13","GO:0000122; GO:0009735; GO:0045454; GO:0050832; GO:0080183; GO:0005737; GO:0005515; GO:0009055; GO:0015035",NA,15164465,13,"Brassicaceae","ARATH00499","MC"
"70","AT1G03970","265040_at",0.0121,0.00228,-4.2422893,-1.9743889,-0.535715,"GBF4","G-box binding factor 4","GO:0006355; GO:0005634; GO:0003677; GO:0003700; GO:0005515; GO:0043565","04075",15164486,10,"Pentapetalae","ARATH00520","MC"
"71","AT1G04010","265098_at",0.0448,0.0124,-3.1326572,-3.7423031,-0.4048675,"PSAT1","phospholipid sterol acyl transferase 1","GO:0010150; GO:0016127; GO:0034434; GO:0043231; GO:0004607; GO:0080095; GO:0080096",NA,15164494,2,"Eukaryota","ARATH00528","UC"
"72","AT1G04020","265097_at",0.00102,7.7e-05,6.925894,1.6405352,0.6552325,"BARD1","BRCT-associated RING-finger domain-containing protein","GO:0006281; GO:0009934; GO:0048366; GO:0005634; GO:0003677",NA,15164495,2,"Eukaryota","ARATH00529","UC"
"73","AT1G04100","264328_at",0.0395,0.0105,3.2359219,-3.5735879,0.379235,"IAA10","auxin-responsive protein IAA10","GO:0006355; GO:0009733; GO:0010200; GO:0005634; GO:0003700; GO:0005515",NA,15164507,13,"Brassicaceae","ARATH00541","MC"
"74","AT1G04240","263656_at",0.0117,0.00219,-4.272052,-1.9288135,-1.130065,"SHY2","auxin-responsive protein IAA3","GO:0006355; GO:0009733; GO:0010583; GO:0005634; GO:0003700; GO:0005515","04075",15164531,9,"Mesangiospermae","ARATH00565","MC"
"75","AT1G04250","263664_at",0.000136,3.71e-06,10.1715841,4.8678927,2.29192,"AXR3","auxin-responsive protein IAA17","GO:0006355; GO:0009733; GO:0009734; GO:1900057; GO:0000502; GO:0005634; GO:0008180; GO:0019005; GO:0003700; GO:0005515; GO:0042802","04075",15164532,13,"Brassicaceae","ARATH00566","MC"
"76","AT1G04270","263667_at",0.000622,3.79e-05,7.5988334,2.3986427,0.90405,"RPS15","40S ribosomal protein S15-1","GO:0000028; GO:0006412; GO:0005576; GO:0005737; GO:0005774; GO:0005829; GO:0005886; GO:0009506; GO:0009507; GO:0022626; GO:0022627; GO:0003723; GO:0003735",NA,15164534,1,"LUCA","ARATH00568","UC"
"77","AT1G04310","263653_at",0.0151,0.00306,4.0436367,-2.2814749,0.8653775,"ERS2","ethylene response sensor 2","GO:0010105; GO:0005576; GO:0005783; GO:0000155; GO:0004673; GO:0004674; GO:0005515; GO:0038199; GO:0042802; GO:0051740","04075",15164546,13,"Brassicaceae","ARATH00580","MC"
"78","AT1G04350","263668_at",3.36e-05,2.94e-07,-13.7965704,7.505045,-2.9570525,"AT1G04350","1-aminocyclopropane-1-carboxylate oxidase-like 6","GO:0005576; GO:0005737; GO:0016706; GO:0051213",NA,15164549,11,"rosids","ARATH00583","MC"
"79","AT1G04420","263678_at",0.000126,3.14e-06,-10.3807268,5.0433482,-1.0247075,"AT1G04420","NAD(P)-linked oxidoreductase superfamily protein","GO:0005576; GO:0009507; GO:0009570; GO:0009941",NA,15164557,2,"Eukaryota","ARATH00591","UC"
"80","AT1G04430","263662_at",0.00924,0.00161,4.4876556,-1.6021695,0.768485,"AT1G04430","putative methyltransferase PMT8","GO:0000138; GO:0005737; GO:0005768; GO:0005774; GO:0005794; GO:0005802",NA,15164558,5,"Embryophyta","ARATH00592","MC"
"81","AT1G04480","263665_at",0.00767,0.00125,4.6675036,-1.3345447,0.492325,"AT1G04480///emb2171///AT2G33370","60S ribosomal protein L23///60S ribosomal protein L23///60S ribosomal protein L23B","GO:0005576; GO:0009507; GO:0022625; GO:0003735; GO:0070180",NA,15164565,1,"LUCA","ARATH00599","UC"
"82","AT1G04510","263666_at",0.0285,0.00694,3.5026701,-3.1405053,0.45004,"MAC3A","MOS4-associated complex 3A","GO:0000349; GO:0042742; GO:0046686; GO:0000974; GO:0005576; GO:0005634; GO:0005730; GO:0071006; GO:0071013; GO:0080008; GO:0004842","03040; 04120",15164571,2,"Eukaryota","ARATH00605","UC"
"83","AT1G04520","263677_at",0.0217,0.0049,3.7287765,-2.7777961,0.4763225,"PDLP2","plasmodesmata-located protein 2","GO:0010497; GO:0046739; GO:0005576; GO:0009506; GO:0003674",NA,15164573,8,"Magnoliopsida","ARATH00607","MC"
"84","AT1G04640","264613_at",0.00439,0.000592,-5.2204226,-0.5403745,-0.8793625,"LIP2","lipoyltransferase 2","GO:0009106; GO:0009249; GO:0005576; GO:0005737; GO:0005739; GO:0017118; GO:0033819; GO:0102555","00785; 01100",15164591,2,"Eukaryota","ARATH00625","UC"
"85","AT1G04660","264606_at",0.000201,6.81e-06,9.4390342,4.2260243,1.10079,"AT1G04660","glycine-rich protein","GO:0008150; GO:0003674",NA,15164595,13,"Brassicaceae","ARATH00629","MC"
"86","AT1G04680","264611_at",0.0298,0.00737,3.4641597,-3.2027244,2.15943,"AT1G04680","putative pectate lyase 1","GO:0045490; GO:0005576; GO:0016829; GO:0030570","00040",15164597,5,"Embryophyta","ARATH00631","MC"
"87","AT1G04710","264608_at",0.00765,0.00124,-4.6698534,-1.3310778,-0.668995,"PKT4","3-ketoacyl-CoA thiolase 1","GO:0006635; GO:0010124; GO:0005773; GO:0005777; GO:0009507; GO:0003988","00071; 00280; 01040; 01100; 01110; 04146",15164601,1,"LUCA","ARATH00635","UC"
"88","AT1G04730","264600_at",0.047,0.0132,3.0931855,-3.8068946,0.3305675,"CTF18","chromosome transmission fidelity protein 18","GO:0007062; GO:0005634; GO:0005657",NA,15164603,2,"Eukaryota","ARATH00637","UC"
"89","AT1G04750","264595_at",0.00903,0.00156,4.5103794,-1.5681083,0.512475,"VAMP721","vesicle-associated membrane protein 7B","GO:0009920; GO:0016192; GO:0034976; GO:0005768; GO:0005886; GO:0009504; GO:0009506; GO:0005515",NA,15164604,2,"Eukaryota","ARATH00638","UC"
"90","AT1G04850","261153_at",0.00331,0.000401,5.5218296,-0.1258479,0.65305,"AT1G04850","ubiquitin-associated (UBA)/TS-N domain-containing protein","GO:0008150; GO:0005576; GO:0005737; GO:0005829; GO:0003676",NA,15164618,2,"Eukaryota","ARATH00652","UC"
"91","AT1G04870","261130_at",0.0194,0.00423,3.8259548,-2.6234397,0.7095575,"PRMT10","arginine methyltransferase 10","GO:0010228; GO:0019919; GO:0005634; GO:0005829; GO:0008469; GO:0016277; GO:0035241; GO:0035242",NA,15164621,2,"Eukaryota","ARATH00655","UC"
"92","AT1G04960","261155_at",0.00269,0.000304,-5.7451476,0.172976,-0.476175,"AT1G04960","hypothetical protein","GO:0008150; GO:0005576; GO:0003674",NA,15164639,4,"Streptophyta","ARATH00673","MC"
"93","AT1G04970","261154_at",0.000686,4.35e-05,-7.4644479,2.2514631,-0.825565,"AT1G04970","lipid-binding serum glycoprotein family protein","GO:0010468; GO:1903409; GO:0005576; GO:0005615; GO:0005773; GO:0005774; GO:0001530",NA,15164640,2,"Eukaryota","ARATH00674","UC"
"94","AT1G05010","265194_at",0.0072,0.00114,-4.7313933,-1.2405588,-1.814225,"EFE","1-aminocyclopropane-1-carboxylate oxidase","GO:0009620; GO:0009693; GO:0055114; GO:0071398; GO:0005576; GO:0005737; GO:0005829; GO:0009815; GO:0051213","00270; 01100; 01110",15164653,9,"Mesangiospermae","ARATH00687","MC"
"95","AT1G05030","265212_at",0.0166,0.00345,-3.9618683,-2.4092852,-0.4180225,"AT1G05030","putative plastidic glucose transporter 1","GO:0055085; GO:0009507; GO:0015144; GO:0022857",NA,15164656,2,"Eukaryota","ARATH00690","UC"
"96","AT1G05140","264584_at",0.000764,5.05e-05,-7.3198116,2.0907499,-0.77731,"AT1G05140","peptidase M50 family protein","GO:0009409; GO:0009507; GO:0004222",NA,15164673,1,"LUCA","ARATH00707","UC"
"97","AT1G05190","264575_at",0.000236,8.9e-06,-9.130534,3.9422116,-1.650785,"emb2394","50S ribosomal protein L6","GO:0006412; GO:0009793; GO:0005576; GO:0009507; GO:0009570; GO:0009941; GO:0003735",NA,15164681,1,"LUCA","ARATH00715","UC"
