"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID"
"12","AT1G01140","261581_at",0.081395,0.0192,-3.05,-3.922559,-0.246,"CIPK9","CBL-interacting serine/threonine-protein kinase 9","GO:0006468; GO:0007165; GO:0009409; GO:0009611; GO:0009651; GO:0010555; GO:0043266; GO:0051365; GO:0055075; GO:0005737; GO:0005515",NA,15163995,2,"Eukaryota","ARATH00029"
"13","AT1G01150","261571_at",0.927643,0.837,0.214,-7.232459,0.00731,"AT1G01150","homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain","GO:0005634",NA,15163998,13,"Brassicaceae","ARATH00032"
"14","AT1G01160","261582_at",0.751821,0.551,-0.627,-7.040477,-0.0661,"GIF2","GRF1-interacting factor 2","GO:0008283; GO:0045787; GO:0045893; GO:0045944; GO:0048366; GO:0005634; GO:0003713; GO:0005515",NA,15163999,10,"Pentapetalae","ARATH00033"
"15","AT1G01170","261572_at",0.344641,0.148,1.63,-5.981136,0.148,"AT1G01170","hypothetical protein","GO:0005576; GO:0005739; GO:0003674",NA,15164001,4,"Streptophyta","ARATH00035"
"16","AT1G01190","261574_at",0.792894,0.61,-0.535,-7.098637,-0.0436,"CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","GO:0008150; GO:0005575; GO:0003674","00903; 00945; 01100; 01110",15164003,8,"Magnoliopsida","ARATH00037"
"17","AT1G01200","261042_at",0.195334,0.0653,2.19,-5.18431,0.0757,"RABA3","RAB GTPase homolog A3","GO:0006886; GO:0032482; GO:0042546; GO:0005576; GO:0005634; GO:0005768; GO:0009504; GO:0012505; GO:0003924",NA,15164005,2,"Eukaryota","ARATH00039"
"18","AT1G01220","261043_at",0.32727,0.137,1.68,-5.907334,0.123,"FKGP","bifunctional fucokinase/fucose pyrophosphorylase","GO:0016310; GO:0042352; GO:0005737; GO:0047341; GO:0050201","00051; 00520; 01100",15164009,2,"Eukaryota","ARATH00043"
"19","AT1G01225","261025_at",0.247176,0.0911,1.97,-5.514035,0.165,"AT1G01225","NC domain-containing protein-like protein","GO:0005634",NA,15164011,7,"Spermatophyta","ARATH00045"
"20","AT1G01230","261057_at",0.535808,0.298,1.13,-6.596203,0.0423,"AT1G01230","ORMDL family protein","GO:0006672; GO:0006979; GO:0010150; GO:0030148; GO:0034976; GO:0042742; GO:0090156; GO:1900060; GO:0005739; GO:0005783; GO:0035339; GO:0005515",NA,15164012,2,"Eukaryota","ARATH00046"
"21","AT1G01240","261026_at",0.051732,0.01,-3.53,-3.233237,-0.31,"AT1G01240","hypothetical protein","GO:0005739",NA,15164013,9,"Mesangiospermae","ARATH00047"
"22","AT1G01250","261059_at",0.73514,0.529,0.663,-7.015134,0.0498,"AT1G01250","ethylene-responsive transcription factor ERF023","GO:0006355; GO:0005634; GO:0003700",NA,15164014,11,"rosids","ARATH00048"
"23","AT1G01260","261050_at",0.509095,0.275,1.19,-6.526985,0.0423,"AT1G01260","transcription factor bHLH13","GO:0006355; GO:0010629; GO:0005634; GO:0005737; GO:0003700; GO:0005515; GO:0046983",NA,15164015,7,"Spermatophyta","ARATH00049"
"24","AT1G01280","261051_at",0.914385,0.812,-0.247,-7.223858,-0.00807,"CYP703A2","cytochrome P450, family 703, subfamily A, polypeptide 2","GO:0009555; GO:0010208; GO:0010584; GO:0051791; GO:0051792; GO:0080110; GO:0016020; GO:0005506; GO:0016709; GO:0020037",NA,15164016,2,"Eukaryota","ARATH00050"
"25","AT1G01290","261044_at",0.900289,0.788,0.279,-7.214263,0.0122,"CNX3","cyclic pyranopterin monophosphate synthase accessory protein","GO:0006777; GO:0005739; GO:0009507; GO:0003824; GO:0061799","04122",15164017,1,"LUCA","ARATH00051"
"26","AT1G01300","261055_at",0.002566,9.99e-05,8.05,1.767273,0.621,"AT1G01300","aspartyl protease family protein","GO:0006508; GO:0030163; GO:0080167; GO:0005576; GO:0009505; GO:0004190",NA,15164018,5,"Embryophyta","ARATH00052"
"27","AT1G01310","261045_at",0.957235,0.902,-0.128,-7.249073,-0.0049,"AT1G01310","allergen V5/Tpx-1-related family protein","GO:0008150; GO:0005576; GO:0005615; GO:0003674",NA,15164020,13,"Brassicaceae","ARATH00054"
"28","AT1G01320","261054_at",0.895142,0.777,0.295,-7.209134,0.0193,"AT1G01320","tetratricopeptide repeat-containing protein","GO:0005576; GO:0005634; GO:0005829",NA,15164023,9,"Mesangiospermae","ARATH00057"
"29","AT1G01340","261027_at",0.967544,0.927,0.0954,-7.253241,0.00356,"CNGC10","cyclic nucleotide gated channel 10","GO:0005739; GO:0005216","04626",15164026,11,"rosids","ARATH00060"
"30","AT1G01360","261056_at",0.020454,0.00264,-4.6,-1.793217,-0.623,"RCAR1","regulatory component of ABA receptor 1","GO:0009738; GO:0080163; GO:0005634; GO:0005737; GO:0004864; GO:0005515; GO:0010427; GO:0038023","04075",15164031,6,"Tracheophyta","ARATH00065"
"31","AT1G01370","261058_at",0.027569,0.00404,4.24,-2.253295,0.221,"HTR12","Histone H3-like centromeric protein HTR12","GO:0009567; GO:0034508; GO:0051301; GO:0051307; GO:0051321; GO:0000775; GO:0000785; GO:0005634; GO:0005515; GO:0046982",NA,15164032,10,"Pentapetalae","ARATH00066"
"32","AT1G01380","257490_x_at",0.224266,0.0791,-2.06,-5.374803,-0.0719,"ETC1","MYB-like transcription factor ETC1","GO:0030154; GO:0080147; GO:1900033; GO:0005634; GO:0003700; GO:0043565",NA,15164034,13,"Brassicaceae","ARATH00068"
"33","AT1G01390","261046_at",0.353834,0.155,-1.6,-6.019371,-0.0629,"AT1G01390","UDP-glycosyltransferase 72B2","GO:0005783; GO:0009507; GO:0043231; GO:0008194; GO:0016757; GO:0016758",NA,15164037,8,"Magnoliopsida","ARATH00071"
"34","AT1G01410","261047_at",0.559484,0.322,-1.07,-6.656744,-0.0383,"PUM22","pumilio 22","GO:0010608; GO:0005737; GO:0003729",NA,15164039,13,"Brassicaceae","ARATH00073"
"35","AT1G01420","261048_at",0.019732,0.00251,-4.65,-1.736749,-0.25,"UGT72B3","UDP-glucosyltransferase 72B3","GO:0005783; GO:0009507; GO:0043231; GO:0008194; GO:0016757; GO:0080043",NA,15164040,8,"Magnoliopsida","ARATH00074"
"36","AT1G01430","261049_at",0.033992,0.00549,-3.99,-2.585058,-0.263,"TBL25","protein trichome birefringence-like 25","GO:0005794; GO:0016413",NA,15164042,5,"Embryophyta","ARATH00076"
"37","AT1G01440","261052_at",0.396178,0.183,-1.48,-6.172806,-0.0492,"AT1G01440","hypothetical protein","GO:0008150; GO:0005634; GO:0003674",NA,15164043,13,"Brassicaceae","ARATH00077"
"38","AT1G01460","259425_at",0.947681,0.88,0.157,-7.244348,0.00514,"PIPK11","phosphatidylinositol-4-phosphate 5-kinase 10","GO:0046854; GO:0005634; GO:0016308","00562; 01100; 04070; 04144",15164047,11,"rosids","ARATH00081"
"39","AT1G01470","259426_at",0.004072,0.000215,-7.11,0.937286,-0.353,"LEA14","putative desiccation-related protein LEA14","GO:0009269; GO:0009611; GO:0009644; GO:0050832; GO:0005829; GO:0003674",NA,15164048,5,"Embryophyta","ARATH00082"
"40","AT1G01480","259439_at",0.263599,0.1,1.9,-5.608311,0.151,"ACS2","1-aminocyclopropane-1-carboxylate synthase 2","GO:0009693; GO:0042218; GO:0005737; GO:0005515; GO:0016847; GO:0030170","00270; 01100; 01110",15164049,2,"Eukaryota","ARATH00083"
"41","AT1G01490","259434_at",0.902104,0.792,0.275,-7.21558,0.0251,"AT1G01490","heavy-metal-associated domain-containing protein","GO:0030001; GO:0005634; GO:0009507",NA,15164053,10,"Pentapetalae","ARATH00087"
"42","AT1G01530","259427_at",0.985791,0.967,-0.0424,-7.257403,-0.00245,"AGL28","protein agamous-like 28","GO:0009911; GO:0045944; GO:0005634; GO:0000976; GO:0000977; GO:0000981; GO:0003700; GO:0008134; GO:0043565; GO:0046983",NA,15164060,13,"Brassicaceae","ARATH00094"
"43","AT1G01540","259437_at",0.030606,0.00472,4.12,-2.422445,0.201,"AT1G01540","putative serine/threonine-protein kinase","GO:0006468; GO:0046777; GO:0005886; GO:0009507; GO:0004674; GO:0004675",NA,15164061,11,"rosids","ARATH00095"
"44","AT1G01550","259440_at",0.041516,0.00735,-3.77,-2.898487,-0.35,"BPS1","protein BPS1","GO:0009793; GO:0048364; GO:0048367; GO:0005634; GO:0005886; GO:0003674",NA,15164063,6,"Tracheophyta","ARATH00097"
"45","AT1G01560","259428_at",0.187338,0.0616,-2.23,-5.126449,-0.14,"MPK11","mitogen-activated protein kinase 11","GO:0007165; GO:0009737; GO:0010468; GO:0035556; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0004707; GO:0005515","04650",15164065,2,"Eukaryota","ARATH00099"
"46","AT1G01570","259433_at",0.004653,0.00027,-6.85,0.69199,-0.305,"AT1G01570","hypothetical protein","GO:0008150; GO:0005783; GO:0005794; GO:0008375; GO:0016757",NA,15164068,5,"Embryophyta","ARATH00102"
"47","AT1G01600","259429_at",0.245219,0.0901,-1.97,-5.503457,-0.0931,"CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4","GO:0006631; GO:0055114; GO:0005739; GO:0005506; GO:0018685; GO:0020037; GO:0070330","00903; 00945; 01100; 01110",15164072,2,"Eukaryota","ARATH00106"
"48","AT1G01610","259430_at",0.000389,1.72e-06,-15.1,5.983174,-0.918,"GPAT4","bifunctional sn-glycerol-3-phosphate 2-O-acyltransferase/phosphatase","GO:0010143; GO:0009507; GO:0016020; GO:0016791; GO:0090447; GO:0102419","00561; 00564; 01100",15164073,6,"Tracheophyta","ARATH00107"
"49","AT1G01620","259431_at",0.078196,0.0181,3.09,-3.861288,0.259,"PIP1C","aquaporin PIP1-3","GO:0006833; GO:0009414; GO:0009651; GO:0055085; GO:0005576; GO:0005773; GO:0005886; GO:0009506; GO:0005515; GO:0015250",NA,15164074,2,"Eukaryota","ARATH00108"
"50","AT1G01630","261563_at",0.044164,0.008,-3.7,-2.98963,-0.266,"AT1G01630","protein sec fourteen-like protein-20","GO:0005634",NA,15164076,2,"Eukaryota","ARATH00110"
"51","AT1G01640","261586_at",0.111353,0.0299,-2.73,-4.38423,-0.17,"AT1G01640","BTB/POZ domain-containing protein","GO:0009908; GO:0016567; GO:0005737; GO:0005515",NA,15164077,5,"Embryophyta","ARATH00111"
"52","AT1G01650","257484_at",0.473082,0.244,-1.28,-6.426062,-0.0634,"SPPL4","signal peptide peptidase-like 4","GO:0005886",NA,15164080,2,"Eukaryota","ARATH00114"
"53","AT1G01710","261560_at",0.233574,0.0841,-2.02,-5.435873,-0.189,"AT1G01710","acyl-CoA thioesterase family protein","GO:0006637; GO:0009062; GO:0005777; GO:0047617","01040",15164094,1,"LUCA","ARATH00128"
"54","AT1G01720","261564_at",0.560325,0.323,-1.07,-6.6594,-0.0825,"ATAF1","putative transcriptional activator with NAC domain","GO:0006355; GO:0009611; GO:0009788; GO:0071456; GO:0005634; GO:0003700; GO:0005515",NA,15164096,8,"Magnoliopsida","ARATH00130"
"55","AT1G01725","261535_at",0.028006,0.00415,-4.22,-2.280962,-0.247,"AT1G01725","hypothetical protein","GO:0008150; GO:0003674",NA,15164097,8,"Magnoliopsida","ARATH00131"
"56","AT1G01730","261561_at",0.60043,0.365,-0.969,-6.756498,-0.103,"AT1G01730","hypothetical protein","GO:0008150; GO:0005634; GO:0003674",NA,15164098,9,"Mesangiospermae","ARATH00132"
"57","AT1G01750","261562_at",0.873171,0.739,0.347,-7.190169,0.0178,"ADF11","actin depolymerizing factor 11","GO:0030042; GO:0005737; GO:0015629; GO:0051015",NA,15164102,2,"Eukaryota","ARATH00136"
"58","AT1G01760","261592_at",0.286199,0.113,-1.82,-5.722214,-0.0763,"AT1G01760","adenosine-deaminase","GO:0005634",NA,15164104,2,"Eukaryota","ARATH00138"
"59","AT1G01770","261558_at",0.152011,0.0464,-2.43,-4.839245,-0.245,"AT1G01770","hypothetical protein","GO:0008150; GO:0005634",NA,15164107,2,"Eukaryota","ARATH00141"
"60","AT1G01780","261559_at",0.356433,0.156,-1.59,-6.029132,-0.211,"AT1G01780","LIM family protein","GO:0051017; GO:0005737; GO:0005886; GO:0015629; GO:0051015",NA,15164108,2,"Eukaryota","ARATH00142"
"61","AT1G01790","261536_at",0.182529,0.0595,-2.26,-5.09018,-0.198,"KEA1","K efflux antiporter KEA1","GO:0009658; GO:0010109; GO:0005576; GO:0009507; GO:0009941; GO:0016020; GO:0031969; GO:0015079; GO:0015386",NA,15164109,5,"Embryophyta","ARATH00143"
"62","AT1G01800","261537_at",0.325137,0.136,1.69,-5.897238,0.14,"AT1G01800","Rossmann-fold NAD(P)-binding domain-containing protein","GO:0055114; GO:0005737; GO:0005829; GO:0009505; GO:0009507; GO:0016020",NA,15164110,2,"Eukaryota","ARATH00144"
"63","AT1G01820","261534_at",0.590128,0.354,-0.993,-6.732752,-0.0732,"PEX11C","peroxin 11C","GO:0007031; GO:0016559; GO:0044375; GO:0005576; GO:0005777; GO:0005778; GO:0005779; GO:0009506; GO:0005515; GO:0042802",NA,15164113,3,"Viridiplantae","ARATH00147"
"64","AT1G01830","261538_at",0.136531,0.0399,-2.53,-4.683323,-0.0977,"AT1G01830","armadillo/beta-catenin-like repeat-containing protein","GO:0008150; GO:0005575; GO:0003674",NA,15164114,5,"Embryophyta","ARATH00148"
"65","AT1G01840","261539_at",0.461228,0.234,-1.31,-6.389436,-0.0714,"AT1G01840","hypothetical protein","GO:0008150; GO:0009507; GO:0003674",NA,15164115,10,"Pentapetalae","ARATH00149"
"66","AT1G01860","261652_at",0.509184,0.275,-1.19,-6.527809,-0.0728,"PFC1","dimethyladenosine transferase","GO:0009409; GO:0031167; GO:0080009; GO:0005739; GO:0009507; GO:0000179; GO:0016422",NA,15164116,2,"Eukaryota","ARATH00150"
"67","AT1G01900","261653_at",0.103888,0.0271,-2.8,-4.283134,-0.15,"SBTI1.1","subtilisin-like serine protease SBT1.1","GO:0006508; GO:0005576; GO:0005618; GO:0031012; GO:0048046; GO:0004252",NA,15164124,1,"LUCA","ARATH00158"
"68","AT1G01910","261627_at",0.211646,0.073,2.12,-5.295359,0.152,"AT1G01910","putative anion-transporting ATPase","GO:0006620; GO:0048767; GO:0005576; GO:0005829; GO:0009507; GO:0043529; GO:0005515; GO:0016887; GO:0043621",NA,15164125,1,"LUCA","ARATH00159"
"69","AT1G01920","261654_at",0.943719,0.871,0.169,-7.242263,0.00821,"AT1G01920","SET domain-containing protein","GO:0005634; GO:0009507; GO:0005515",NA,15164128,5,"Embryophyta","ARATH00162"
"70","AT1G01930","261625_at",0.640147,0.41,-0.877,-6.842586,-0.0385,"AT1G01930","zinc finger protein-like protein","GO:0030433; GO:0071630; GO:0072671; GO:0005737; GO:0036266",NA,15164133,2,"Eukaryota","ARATH00167"
"71","AT1G01940","261655_at",0.031159,0.00487,4.09,-2.455495,0.328,"AT1G01940","peptidyl-prolyl cis-trans isomerase-like 3","GO:0000413; GO:0006457; GO:0005634; GO:0003755",NA,15164134,2,"Eukaryota","ARATH00168"
"72","AT1G01950","261656_at",0.416586,0.199,1.42,-6.247431,0.0959,"ARK2","armadillo repeat-containing kinesin-like protein 2","GO:0007018; GO:0032886; GO:0048364; GO:0005634; GO:0005737; GO:0005871; GO:0005874; GO:0009507; GO:0003777; GO:0008017; GO:0016887",NA,15164137,4,"Streptophyta","ARATH00171"
"73","AT1G01960","261621_at",0.44082,0.217,1.36,-6.323773,0.0944,"EDA10","brefeldin A-inhibited guanine nucleotide-exchange protein 3","GO:0009561; GO:0016192; GO:0032012; GO:0005634; GO:0005802; GO:0005829; GO:0032588; GO:0005086",NA,15164139,2,"Eukaryota","ARATH00173"
"74","AT1G01970","261622_at",0.719537,0.506,-0.702,-6.987125,-0.029,"AT1G01970","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739; GO:0003674",NA,15164140,5,"Embryophyta","ARATH00174"
"75","AT1G01980","261623_at",0.782334,0.593,0.56,-7.08343,0.0267,"ATSEC1A","reticuline oxidase-like family protein","GO:0055114; GO:0005794; GO:0005886; GO:0009505; GO:0009507; GO:0016899; GO:0071949",NA,15164141,2,"Eukaryota","ARATH00175"
"76","AT1G01990","261626_at",0.841642,0.684,0.425,-7.156918,0.031,"AT1G01990","hypothetical protein","GO:0008150; GO:0005575; GO:0003674",NA,15164142,13,"Brassicaceae","ARATH00176"
"77","AT1G02000","261624_at",0.696259,0.475,-0.756,-6.945655,-0.0617,"GAE2","UDP-D-glucuronate 4-epimerase 2","GO:0050378; GO:0050662","00500; 00520; 01100",15164143,2,"Eukaryota","ARATH00177"
"78","AT1G02020","264169_at",0.785368,0.598,-0.553,-7.088062,-0.0216,"AT1G02020","nitroreductase family protein","GO:0005634; GO:0005739; GO:0009507; GO:0016491",NA,15164151,1,"LUCA","ARATH00185"
"79","AT1G02050","264175_at",0.838419,0.678,-0.433,-7.152896,-0.0173,"LAP6","polyketide synthase A","GO:0009813; GO:0010584; GO:0030639; GO:0080110; GO:0005737; GO:0005783; GO:0005515; GO:0090439",NA,15164155,2,"Eukaryota","ARATH00189"
"80","AT1G02060","264167_at",0.578326,0.342,1.02,-6.70437,0.0434,"AT1G02060","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739",NA,15164156,7,"Spermatophyta","ARATH00190"
"81","AT1G02070","264151_at",0.179495,0.058,-2.27,-5.065522,-0.21,"AT1G02070","hypothetical protein","GO:0005575",NA,15164160,8,"Magnoliopsida","ARATH00194"
"82","AT1G02080","264168_at",0.366317,0.163,-1.56,-6.065746,-0.183,"AT1G02080","CCR4-NOT transcription complex subunit 1 domain protein","GO:0005576; GO:0005829; GO:0005515","03018",15164162,2,"Eukaryota","ARATH00196"
"83","AT1G02090","264150_at",0.079021,0.0184,3.08,-3.87635,0.149,"FUS5","COP9 signalosome complex subunit 7","GO:0000338; GO:0009640; GO:0010387; GO:0005737; GO:0005829; GO:0008180; GO:0005515",NA,15164165,2,"Eukaryota","ARATH00199"
"84","AT1G02100","264171_at",0.857084,0.711,0.387,-7.173932,0.036,"AT1G02100","Leucine carboxyl methyltransferase","GO:0032259; GO:1900458; GO:0005634; GO:0005737; GO:0008757",NA,15164168,2,"Eukaryota","ARATH00202"
"85","AT1G02110","264176_at",0.002398,9e-05,8.19,1.879727,0.455,"AT1G02110","hypothetical protein","GO:0006499; GO:0005634; GO:0005886; GO:0003674",NA,15164169,8,"Magnoliopsida","ARATH00203"
"86","AT1G02120","264172_at",0.511031,0.276,1.18,-6.532342,0.0538,"VAD1","protein Vascular Associated Death1","GO:0042742; GO:0043069; GO:0005576; GO:0005634; GO:0005783",NA,15164172,6,"Tracheophyta","ARATH00206"
"87","AT1G02130","264122_at",0.891864,0.771,-0.303,-7.206247,-0.0259,"RA-5","Ras-related protein RABD2A","GO:0006886; GO:0006888; GO:0032482; GO:0046686; GO:0000139; GO:0005576; GO:0005773; GO:0005886; GO:0012505; GO:0032588; GO:0003924",NA,15164173,2,"Eukaryota","ARATH00207"
"88","AT1G02140","264152_at",0.471104,0.242,1.28,-6.42107,0.26,"MAGO","protein mago nashi","GO:0008380; GO:0009793; GO:0010183; GO:0010628; GO:0005634; GO:0005654; GO:0005730; GO:0016607; GO:0035145; GO:0005515","03013; 03015; 03040",15164174,2,"Eukaryota","ARATH00208"
"89","AT1G02150","264177_at",0.03912,0.00673,3.83,-2.803492,0.153,"AT1G02150","pentatricopeptide repeat-containing protein","GO:0005739; GO:0009507; GO:0003729",NA,15164179,6,"Tracheophyta","ARATH00213"
"90","AT1G02160","264173_at",0.715935,0.501,0.71,-6.981049,0.044,"AT1G02160","Cox19 family protein (CHCH motif)","GO:0008150; GO:0005739; GO:0003674",NA,15164180,5,"Embryophyta","ARATH00214"
"91","AT1G02170","264178_at",0.327386,0.137,-1.68,-5.907866,-0.22,"AMC1","metacaspase 1","GO:0043068; GO:0004197; GO:0005515",NA,15164182,2,"Eukaryota","ARATH00216"
"92","AT1G02180","264179_at",0.682839,0.459,0.784,-6.92286,0.0392,"AT1G02180","ferredoxin-like protein","GO:0008150; GO:0003674",NA,15164183,7,"Spermatophyta","ARATH00217"
"93","AT1G02190","264180_at",0.899739,0.787,0.282,-7.213489,0.0122,"AT1G02190","protein CER1-like 1","GO:0005739; GO:0016020; GO:0016491",NA,15164184,5,"Embryophyta","ARATH00218"
"94","AT1G02205","264146_at",0.008201,0.000673,-5.88,-0.303575,-0.222,"CER1","protein ECERIFERUM 1","GO:0009414; GO:0010025; GO:0042335; GO:0042742; GO:0043447; GO:0046185; GO:0050832; GO:0005739; GO:0016020; GO:0016491; GO:0071771",NA,15164188,5,"Embryophyta","ARATH00222"
"95","AT1G02220","264148_at",0.966308,0.923,0.0999,-7.252744,0.00671,"NAC003","NAC domain-containing protein 3","GO:0006355; GO:0005634; GO:0005886; GO:0003700; GO:0005515",NA,15164192,13,"Brassicaceae","ARATH00226"
"96","AT1G02260","264170_at",0.502081,0.268,-1.2,-6.508114,-0.0627,"AT1G02260","divalent ion symporter","GO:0055085; GO:0016021",NA,15164195,2,"Eukaryota","ARATH00229"
"97","AT1G02270","264123_at",0.96522,0.921,0.103,-7.252374,0.00626,"AT1G02270","calcium-binding endonuclease/exonuclease/phosphatase family protein","GO:0009409; GO:0005634; GO:0009507; GO:0000175; GO:0005509",NA,15164196,2,"Eukaryota","ARATH00230"
"98","AT1G02280","264121_at",0.080825,0.019,3.06,-3.911823,0.199,"TOC33","translocase of chloroplast 33","GO:0045036; GO:0005576; GO:0005622; GO:0005623; GO:0009507; GO:0009707; GO:0009941; GO:0003924; GO:0005515; GO:0005525; GO:0015450; GO:0042802; GO:0042803",NA,15164198,3,"Viridiplantae","ARATH00232"
"99","AT1G02300","259441_at",0.04449,0.00807,-3.69,-2.99922,-0.407,"AT1G02300","putative cathepsin B-like cysteine protease","GO:0006508; GO:0051603; GO:0005576; GO:0005615; GO:0005764; GO:0004197",NA,15164200,2,"Eukaryota","ARATH00234"
"100","AT1G02305","259416_at",0.068424,0.015,-3.23,-3.664152,-0.354,"AT1G02305","putative cathepsin B-like cysteine protease","GO:0006508; GO:0050790; GO:0051603; GO:0005576; GO:0005615; GO:0005764; GO:0005773; GO:0004197",NA,15164201,2,"Eukaryota","ARATH00235"
"101","AT1G02310","259442_at",0.037091,0.00621,-3.9,-2.716646,-0.21,"MAN1","mannan endo-1,4-beta-mannosidase 1","GO:0005975; GO:0005576; GO:0016985",NA,15164202,1,"LUCA","ARATH00236"
"102","AT1G02330","259415_at",0.830373,0.666,-0.452,-7.143801,-0.0518,"AT1G02330","hypothetical protein","GO:0010099; GO:0048024; GO:0055121; GO:0080022; GO:1904667; GO:0005634; GO:0005681; GO:0016607; GO:0003674; GO:0005515",NA,15164205,2,"Eukaryota","ARATH00239"
"103","AT1G02340","259417_at",0.499756,0.267,-1.21,-6.502209,-0.0505,"HFR1","transcription factor HFR1","GO:0000209; GO:0007165; GO:0009585; GO:0009642; GO:0009738; GO:0009785; GO:0010218; GO:0005634; GO:0005829; GO:0003700; GO:0003712; GO:0005515; GO:0046983",NA,15164207,13,"Brassicaceae","ARATH00241"
"104","AT1G02360","259443_at",0.001024,1.78e-05,10.6,3.603481,0.812,"AT1G02360","putative chitinase","GO:0002239; GO:0005975; GO:0006032; GO:0016998; GO:0071456; GO:0005576; GO:0005739; GO:0004568",NA,15164210,2,"Eukaryota","ARATH00244"
"105","AT1G02370","259444_at",0.101804,0.0264,2.82,-4.254368,0.159,"AT1G02370","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739; GO:0009507; GO:0003674",NA,15164213,9,"Mesangiospermae","ARATH00247"
"106","AT1G02390","259418_at",0.919557,0.822,-0.234,-7.227219,-0.00924,"GPAT2","glycerol-3-phosphate sn-2-acyltransferase 2","GO:0010143; GO:0016024; GO:0005739; GO:0016020; GO:0004366; GO:0016791; GO:0090447; GO:0102420","00561; 00564; 01100",15164215,9,"Mesangiospermae","ARATH00249"
