"transcript" "hog" "id" "phylostrata" "gene"
"35" "TRINITY_DN10043_c0_g1_i2" "HOG:A0786220" 786220 "LUCA" "TRINITY_DN10043_c0_g1"
"36" "TRINITY_DN10044_c0_g1_i11" "HOG:A0779757" 779757 "LUCA" "TRINITY_DN10044_c0_g1"
"37" "TRINITY_DN10045_c0_g1_i2" "HOG:A0562287" 562287 "Eukaryota" "TRINITY_DN10045_c0_g1"
"38" "TRINITY_DN10045_c0_g1_i4" "HOG:A0562287" 562287 "Eukaryota" "TRINITY_DN10045_c0_g1"
"39" "TRINITY_DN10046_c0_g1_i1" "HOG:A0233937" 233937 "Embryophyta" "TRINITY_DN10046_c0_g1"
"40" "TRINITY_DN10047_c0_g1_i2" "HOG:A0220667" 220667 "Magnoliopsida" "TRINITY_DN10047_c0_g1"
"41" "TRINITY_DN1005_c0_g1_i5" "HOG:A0238266" 238266 "Streptophyta" "TRINITY_DN1005_c0_g1"
"42" "TRINITY_DN1005_c0_g1_i8" "HOG:A0238266" 238266 "Streptophyta" "TRINITY_DN1005_c0_g1"
"43" "TRINITY_DN10050_c0_g1_i1" "HOG:A0226601" 226601 "Spermatophyta" "TRINITY_DN10050_c0_g1"
"44" "TRINITY_DN10051_c0_g1_i1" "HOG:A0220271" 220271 "Magnoliopsida" "TRINITY_DN10051_c0_g1"
"45" "TRINITY_DN10052_c0_g1_i1" "HOG:A0206366" 206366 "Pentapetalae" "TRINITY_DN10052_c0_g1"
"46" "TRINITY_DN10053_c0_g1_i1" "HOG:A0563075" 563075 "Eukaryota" "TRINITY_DN10053_c0_g1"
"47" "TRINITY_DN10054_c0_g1_i1" "HOG:A0223305" 223305 "Spermatophyta" "TRINITY_DN10054_c0_g1"
"48" "TRINITY_DN10055_c0_g1_i1" "HOG:A0214450" 214450 "Mesangiospermae" "TRINITY_DN10055_c0_g1"
"49" "TRINITY_DN10056_c0_g1_i2" "HOG:A0232594" 232594 "Tracheophyta" "TRINITY_DN10056_c0_g1"
"50" "TRINITY_DN1006_c0_g1_i10" "HOG:A0562527" 562527 "Eukaryota" "TRINITY_DN1006_c0_g1"
"51" "TRINITY_DN10060_c0_g1_i1" "HOG:A0167817" 167817 "asterids" "TRINITY_DN10060_c0_g1"
"52" "TRINITY_DN10062_c0_g1_i1" "HOG:A0757210" 757210 "Bacteria" "TRINITY_DN10062_c0_g1"
"53" "TRINITY_DN10063_c0_g1_i1" "HOG:A0570604" 570604 "Eukaryota" "TRINITY_DN10063_c0_g1"
"54" "TRINITY_DN10064_c0_g2_i1" "HOG:A0236553" 236553 "Embryophyta" "TRINITY_DN10064_c0_g2"
"55" "TRINITY_DN10065_c0_g1_i11" "HOG:A0202953" 202953 "Pentapetalae" "TRINITY_DN10065_c0_g1"
"56" "TRINITY_DN10066_c0_g1_i1" "HOG:A0785660" 785660 "LUCA" "TRINITY_DN10066_c0_g1"
"57" "TRINITY_DN10067_c0_g1_i1" "HOG:A0562351" 562351 "Eukaryota" "TRINITY_DN10067_c0_g1"
"58" "TRINITY_DN10068_c0_g1_i1" "HOG:A0223397" 223397 "Spermatophyta" "TRINITY_DN10068_c0_g1"
"59" "TRINITY_DN10069_c0_g1_i1" "HOG:A0167836" 167836 "asterids" "TRINITY_DN10069_c0_g1"
"60" "TRINITY_DN1007_c0_g1_i1" "HOG:A0220377" 220377 "Magnoliopsida" "TRINITY_DN1007_c0_g1"
"61" "TRINITY_DN10070_c0_g1_i1" "HOG:A0223990" 223990 "Spermatophyta" "TRINITY_DN10070_c0_g1"
"62" "TRINITY_DN10072_c0_g1_i1" "HOG:A0203071" 203071 "Pentapetalae" "TRINITY_DN10072_c0_g1"
"63" "TRINITY_DN10073_c1_g1_i1" "HOG:A0567091" 567091 "Eukaryota" "TRINITY_DN10073_c1_g1"
"64" "TRINITY_DN10074_c0_g1_i3" "HOG:A0562342" 562342 "Eukaryota" "TRINITY_DN10074_c0_g1"
"65" "TRINITY_DN10075_c0_g1_i1" "HOG:A0234539" 234539 "Embryophyta" "TRINITY_DN10075_c0_g1"
"66" "TRINITY_DN10076_c0_g1_i1" "HOG:A0563499" 563499 "Eukaryota" "TRINITY_DN10076_c0_g1"
"67" "TRINITY_DN10077_c0_g1_i1" "HOG:A0211889" 211889 "Mesangiospermae" "TRINITY_DN10077_c0_g1"
"68" "TRINITY_DN10078_c0_g1_i12" "HOG:A0235906" 235906 "Embryophyta" "TRINITY_DN10078_c0_g1"
"69" "TRINITY_DN1008_c0_g1_i1" "HOG:A0780172" 780172 "LUCA" "TRINITY_DN1008_c0_g1"
"70" "TRINITY_DN10080_c0_g1_i2" "HOG:A0234581" 234581 "Embryophyta" "TRINITY_DN10080_c0_g1"
"71" "TRINITY_DN10080_c1_g1_i1" "HOG:A0234581" 234581 "Embryophyta" "TRINITY_DN10080_c1_g1"
"72" "TRINITY_DN10081_c0_g1_i2" "HOG:A0564644" 564644 "Eukaryota" "TRINITY_DN10081_c0_g1"
"73" "TRINITY_DN10083_c0_g1_i1" "HOG:A0567127" 567127 "Eukaryota" "TRINITY_DN10083_c0_g1"
"74" "TRINITY_DN10083_c0_g1_i2" "HOG:A0567127" 567127 "Eukaryota" "TRINITY_DN10083_c0_g1"
"75" "TRINITY_DN10083_c1_g1_i1" "HOG:A0567127" 567127 "Eukaryota" "TRINITY_DN10083_c1_g1"
"76" "TRINITY_DN10084_c0_g1_i15" "HOG:A0168138" 168138 "asterids" "TRINITY_DN10084_c0_g1"
"77" "TRINITY_DN10084_c0_g1_i22" "HOG:A0223340" 223340 "Spermatophyta" "TRINITY_DN10084_c0_g1"
"78" "TRINITY_DN10087_c0_g1_i1" "HOG:A0564044" 564044 "Eukaryota" "TRINITY_DN10087_c0_g1"
"79" "TRINITY_DN10088_c0_g1_i1" "HOG:A0202792" 202792 "Pentapetalae" "TRINITY_DN10088_c0_g1"
"80" "TRINITY_DN10088_c1_g1_i1" "HOG:A0202792" 202792 "Pentapetalae" "TRINITY_DN10088_c1_g1"
"81" "TRINITY_DN10089_c0_g1_i1" "HOG:A0566940" 566940 "Eukaryota" "TRINITY_DN10089_c0_g1"
"82" "TRINITY_DN1009_c0_g1_i1" "HOG:A0562395" 562395 "Eukaryota" "TRINITY_DN1009_c0_g1"
"83" "TRINITY_DN10090_c0_g1_i1" "HOG:A0564356" 564356 "Eukaryota" "TRINITY_DN10090_c0_g1"
"84" "TRINITY_DN10091_c0_g1_i1" "HOG:A0570445" 570445 "Eukaryota" "TRINITY_DN10091_c0_g1"
"85" "TRINITY_DN10093_c0_g1_i13" "HOG:A0554823" 554823 "Opisthokonta" "TRINITY_DN10093_c0_g1"
"86" "TRINITY_DN10093_c0_g3_i1" "HOG:A0563175" 563175 "Eukaryota" "TRINITY_DN10093_c0_g3"
"87" "TRINITY_DN10094_c0_g1_i4" "HOG:A0567031" 567031 "Eukaryota" "TRINITY_DN10094_c0_g1"
"88" "TRINITY_DN10096_c0_g1_i1" "HOG:A0586560" 586560 "Eukaryota" "TRINITY_DN10096_c0_g1"
"89" "TRINITY_DN10097_c0_g1_i14" "HOG:A0757611" 757611 "Bacteria" "TRINITY_DN10097_c0_g1"
"90" "TRINITY_DN10098_c0_g1_i1" "HOG:A0233974" 233974 "Embryophyta" "TRINITY_DN10098_c0_g1"
"91" "TRINITY_DN10099_c0_g1_i3" "HOG:A0562754" 562754 "Eukaryota" "TRINITY_DN10099_c0_g1"
"92" "TRINITY_DN101_c0_g1_i10" "HOG:A0234544" 234544 "Embryophyta" "TRINITY_DN101_c0_g1"
"93" "TRINITY_DN101_c0_g1_i14" "HOG:A0234544" 234544 "Embryophyta" "TRINITY_DN101_c0_g1"
"94" "TRINITY_DN101_c0_g1_i21" "HOG:A0238853" 238853 "Viridiplantae" "TRINITY_DN101_c0_g1"
"95" "TRINITY_DN1010_c0_g1_i1" "HOG:A0206053" 206053 "Pentapetalae" "TRINITY_DN1010_c0_g1"
"96" "TRINITY_DN10100_c0_g1_i1" "HOG:A0219835" 219835 "Magnoliopsida" "TRINITY_DN10100_c0_g1"
"97" "TRINITY_DN10101_c0_g1_i1" "HOG:A0222273" 222273 "Magnoliopsida" "TRINITY_DN10101_c0_g1"
"98" "TRINITY_DN10101_c0_g1_i2" "HOG:A0577062" 577062 "Eukaryota" "TRINITY_DN10101_c0_g1"
"99" "TRINITY_DN10101_c0_g1_i5" "HOG:A0222273" 222273 "Magnoliopsida" "TRINITY_DN10101_c0_g1"
"100" "TRINITY_DN10102_c0_g1_i1" "HOG:A0233658" 233658 "Embryophyta" "TRINITY_DN10102_c0_g1"
"101" "TRINITY_DN10106_c0_g1_i1" "HOG:A0563716" 563716 "Eukaryota" "TRINITY_DN10106_c0_g1"
"102" "TRINITY_DN10107_c0_g1_i1" "HOG:A0563323" 563323 "Eukaryota" "TRINITY_DN10107_c0_g1"
"103" "TRINITY_DN10108_c0_g1_i1" "HOG:A0564173" 564173 "Eukaryota" "TRINITY_DN10108_c0_g1"
"104" "TRINITY_DN10108_c0_g1_i2" "HOG:A0564173" 564173 "Eukaryota" "TRINITY_DN10108_c0_g1"
"105" "TRINITY_DN10109_c0_g1_i1" "HOG:A0564596" 564596 "Eukaryota" "TRINITY_DN10109_c0_g1"
"106" "TRINITY_DN1011_c0_g1_i10" "HOG:A0211733" 211733 "Mesangiospermae" "TRINITY_DN1011_c0_g1"
"107" "TRINITY_DN10111_c0_g1_i1" "HOG:A0566673" 566673 "Eukaryota" "TRINITY_DN10111_c0_g1"
"108" "TRINITY_DN10112_c0_g1_i1" "HOG:A0238073" 238073 "Streptophyta" "TRINITY_DN10112_c0_g1"
"109" "TRINITY_DN10113_c0_g1_i1" "HOG:A0203173" 203173 "Pentapetalae" "TRINITY_DN10113_c0_g1"
"110" "TRINITY_DN10114_c0_g1_i2" "HOG:A0570412" 570412 "Eukaryota" "TRINITY_DN10114_c0_g1"
"111" "TRINITY_DN10117_c0_g1_i1" "HOG:A0202799" 202799 "Pentapetalae" "TRINITY_DN10117_c0_g1"
"112" "TRINITY_DN10119_c0_g1_i1" "HOG:A0563808" 563808 "Eukaryota" "TRINITY_DN10119_c0_g1"
"113" "TRINITY_DN1012_c0_g1_i10" "HOG:A0206172" 206172 "Pentapetalae" "TRINITY_DN1012_c0_g1"
"114" "TRINITY_DN1012_c0_g1_i11" "HOG:A0206172" 206172 "Pentapetalae" "TRINITY_DN1012_c0_g1"
"115" "TRINITY_DN10120_c0_g1_i2" "HOG:A0567013" 567013 "Eukaryota" "TRINITY_DN10120_c0_g1"
"116" "TRINITY_DN10121_c0_g1_i1" "HOG:A0220116" 220116 "Magnoliopsida" "TRINITY_DN10121_c0_g1"
"117" "TRINITY_DN10124_c0_g1_i1" "HOG:A0232056" 232056 "Tracheophyta" "TRINITY_DN10124_c0_g1"
"118" "TRINITY_DN10126_c0_g1_i1" "HOG:A0167746" 167746 "asterids" "TRINITY_DN10126_c0_g1"
"119" "TRINITY_DN10127_c0_g1_i1" "HOG:A0237409" 237409 "Streptophyta" "TRINITY_DN10127_c0_g1"
"120" "TRINITY_DN10128_c0_g1_i1" "HOG:A0237732" 237732 "Streptophyta" "TRINITY_DN10128_c0_g1"
"121" "TRINITY_DN10128_c0_g1_i12" "HOG:A0237732" 237732 "Streptophyta" "TRINITY_DN10128_c0_g1"
"122" "TRINITY_DN10129_c0_g1_i1" "HOG:A0207325" 207325 "Pentapetalae" "TRINITY_DN10129_c0_g1"
"123" "TRINITY_DN1013_c0_g1_i1" "HOG:A0226987" 226987 "Spermatophyta" "TRINITY_DN1013_c0_g1"
"124" "TRINITY_DN10130_c0_g1_i2" "HOG:A0238882" 238882 "Viridiplantae" "TRINITY_DN10130_c0_g1"
"125" "TRINITY_DN10135_c0_g1_i11" "HOG:A0572322" 572322 "Eukaryota" "TRINITY_DN10135_c0_g1"
"126" "TRINITY_DN10135_c0_g1_i12" "HOG:A0572322" 572322 "Eukaryota" "TRINITY_DN10135_c0_g1"
"127" "TRINITY_DN10136_c0_g1_i1" "HOG:A0238261" 238261 "Streptophyta" "TRINITY_DN10136_c0_g1"
"128" "TRINITY_DN10136_c0_g1_i2" "HOG:A0238261" 238261 "Streptophyta" "TRINITY_DN10136_c0_g1"
"129" "TRINITY_DN10137_c0_g1_i1" "HOG:A0238900" 238900 "Viridiplantae" "TRINITY_DN10137_c0_g1"
"130" "TRINITY_DN10139_c1_g1_i1" "HOG:A0203251" 203251 "Pentapetalae" "TRINITY_DN10139_c1_g1"
"131" "TRINITY_DN1014_c0_g1_i1" "HOG:A0570996" 570996 "Eukaryota" "TRINITY_DN1014_c0_g1"
"132" "TRINITY_DN1014_c0_g1_i2" "HOG:A0570996" 570996 "Eukaryota" "TRINITY_DN1014_c0_g1"
"133" "TRINITY_DN10140_c0_g1_i5" "HOG:A0785992" 785992 "LUCA" "TRINITY_DN10140_c0_g1"
"134" "TRINITY_DN10143_c0_g1_i1" "HOG:A0571006" 571006 "Eukaryota" "TRINITY_DN10143_c0_g1"
"135" "TRINITY_DN10144_c0_g1_i1" "HOG:A0234380" 234380 "Embryophyta" "TRINITY_DN10144_c0_g1"
"136" "TRINITY_DN10145_c0_g1_i1" "HOG:A0780432" 780432 "LUCA" "TRINITY_DN10145_c0_g1"
"137" "TRINITY_DN10146_c0_g1_i1" "HOG:A0205035" 205035 "Pentapetalae" "TRINITY_DN10146_c0_g1"
"138" "TRINITY_DN10147_c0_g1_i1" "HOG:A0203760" 203760 "Pentapetalae" "TRINITY_DN10147_c0_g1"
"139" "TRINITY_DN10148_c0_g1_i1" "HOG:A0563280" 563280 "Eukaryota" "TRINITY_DN10148_c0_g1"
"140" "TRINITY_DN10149_c0_g1_i1" "HOG:A0226698" 226698 "Spermatophyta" "TRINITY_DN10149_c0_g1"
"141" "TRINITY_DN1015_c0_g1_i2" "HOG:A0238265" 238265 "Streptophyta" "TRINITY_DN1015_c0_g1"
"142" "TRINITY_DN10150_c0_g1_i2" "HOG:A0234465" 234465 "Embryophyta" "TRINITY_DN10150_c0_g1"
"143" "TRINITY_DN10151_c0_g1_i1" "HOG:A0564162" 564162 "Eukaryota" "TRINITY_DN10151_c0_g1"
"144" "TRINITY_DN10152_c0_g1_i1" "HOG:A0567987" 567987 "Eukaryota" "TRINITY_DN10152_c0_g1"
"145" "TRINITY_DN10153_c0_g1_i2" "HOG:A0584487" 584487 "Eukaryota" "TRINITY_DN10153_c0_g1"
"146" "TRINITY_DN10155_c0_g1_i1" "HOG:A0174108" 174108 "fabids" "TRINITY_DN10155_c0_g1"
"147" "TRINITY_DN10158_c0_g1_i1" "HOG:A0781188" 781188 "LUCA" "TRINITY_DN10158_c0_g1"
"148" "TRINITY_DN10160_c0_g1_i1" "HOG:A0566944" 566944 "Eukaryota" "TRINITY_DN10160_c0_g1"
"149" "TRINITY_DN10161_c0_g1_i1" "HOG:A0206606" 206606 "Pentapetalae" "TRINITY_DN10161_c0_g1"
"150" "TRINITY_DN10161_c1_g1_i1" "HOG:A0219616" 219616 "Magnoliopsida" "TRINITY_DN10161_c1_g1"
"151" "TRINITY_DN10162_c0_g1_i1" "HOG:A0220632" 220632 "Magnoliopsida" "TRINITY_DN10162_c0_g1"
"152" "TRINITY_DN10163_c0_g1_i2" "HOG:A0238985" 238985 "Viridiplantae" "TRINITY_DN10163_c0_g1"
"153" "TRINITY_DN10164_c0_g1_i1" "HOG:A0237127" 237127 "Streptophyta" "TRINITY_DN10164_c0_g1"
"154" "TRINITY_DN10164_c0_g1_i5" "HOG:A0644847" 644847 "Actinobacteria" "TRINITY_DN10164_c0_g1"
"155" "TRINITY_DN10166_c0_g1_i1" "HOG:A0585317" 585317 "Eukaryota" "TRINITY_DN10166_c0_g1"
"156" "TRINITY_DN10169_c0_g1_i1" "HOG:A0202394" 202394 "Pentapetalae" "TRINITY_DN10169_c0_g1"
"157" "TRINITY_DN1017_c0_g1_i2" "HOG:A0206022" 206022 "Pentapetalae" "TRINITY_DN1017_c0_g1"
"158" "TRINITY_DN1017_c0_g1_i4" "HOG:A0206199" 206199 "Pentapetalae" "TRINITY_DN1017_c0_g1"
"159" "TRINITY_DN1017_c0_g1_i6" "HOG:A0220384" 220384 "Magnoliopsida" "TRINITY_DN1017_c0_g1"
"160" "TRINITY_DN1017_c0_g2_i1" "HOG:A0206199" 206199 "Pentapetalae" "TRINITY_DN1017_c0_g2"
"161" "TRINITY_DN1017_c0_g2_i2" "HOG:A0206199" 206199 "Pentapetalae" "TRINITY_DN1017_c0_g2"
"162" "TRINITY_DN10171_c0_g1_i10" "HOG:A0220504" 220504 "Magnoliopsida" "TRINITY_DN10171_c0_g1"
"163" "TRINITY_DN10173_c0_g1_i1" "HOG:A0562827" 562827 "Eukaryota" "TRINITY_DN10173_c0_g1"
"164" "TRINITY_DN10174_c0_g1_i3" "HOG:A0780450" 780450 "LUCA" "TRINITY_DN10174_c0_g1"
"165" "TRINITY_DN10174_c0_g1_i4" "HOG:A0780450" 780450 "LUCA" "TRINITY_DN10174_c0_g1"
"166" "TRINITY_DN10175_c0_g1_i1" "HOG:A0221195" 221195 "Magnoliopsida" "TRINITY_DN10175_c0_g1"
"167" "TRINITY_DN10175_c0_g1_i4" "HOG:A0221195" 221195 "Magnoliopsida" "TRINITY_DN10175_c0_g1"
"168" "TRINITY_DN10175_c0_g1_i5" "HOG:A0221195" 221195 "Magnoliopsida" "TRINITY_DN10175_c0_g1"
"169" "TRINITY_DN10176_c0_g1_i11" "HOG:A0223397" 223397 "Spermatophyta" "TRINITY_DN10176_c0_g1"
"170" "TRINITY_DN10179_c0_g1_i1" "HOG:A0562749" 562749 "Eukaryota" "TRINITY_DN10179_c0_g1"
"171" "TRINITY_DN1018_c0_g1_i13" "HOG:A0566917" 566917 "Eukaryota" "TRINITY_DN1018_c0_g1"
"172" "TRINITY_DN1018_c0_g1_i14" "HOG:A0198377" 198377 "rosids" "TRINITY_DN1018_c0_g1"
"173" "TRINITY_DN10180_c0_g1_i1" "HOG:A0233752" 233752 "Embryophyta" "TRINITY_DN10180_c0_g1"
"174" "TRINITY_DN10181_c0_g1_i1" "HOG:A0562807" 562807 "Eukaryota" "TRINITY_DN10181_c0_g1"
"175" "TRINITY_DN10183_c0_g1_i1" "HOG:A0236726" 236726 "Embryophyta" "TRINITY_DN10183_c0_g1"
"176" "TRINITY_DN10183_c1_g1_i1" "HOG:A0236726" 236726 "Embryophyta" "TRINITY_DN10183_c1_g1"
"177" "TRINITY_DN10184_c0_g1_i1" "HOG:A0779781" 779781 "LUCA" "TRINITY_DN10184_c0_g1"
"178" "TRINITY_DN10186_c0_g1_i1" "HOG:A0237729" 237729 "Streptophyta" "TRINITY_DN10186_c0_g1"
"179" "TRINITY_DN10187_c0_g1_i1" "HOG:A0562187" 562187 "Eukaryota" "TRINITY_DN10187_c0_g1"
"180" "TRINITY_DN10187_c0_g1_i3" "HOG:A0562187" 562187 "Eukaryota" "TRINITY_DN10187_c0_g1"
"181" "TRINITY_DN10188_c0_g1_i13" "HOG:A0757233" 757233 "Bacteria" "TRINITY_DN10188_c0_g1"
"182" "TRINITY_DN10189_c0_g1_i1" "HOG:A0237191" 237191 "Streptophyta" "TRINITY_DN10189_c0_g1"
"183" "TRINITY_DN10190_c0_g1_i1" "HOG:A0206387" 206387 "Pentapetalae" "TRINITY_DN10190_c0_g1"
"184" "TRINITY_DN10192_c0_g1_i1" "HOG:A0203448" 203448 "Pentapetalae" "TRINITY_DN10192_c0_g1"
"185" "TRINITY_DN10193_c0_g1_i1" "HOG:A0202925" 202925 "Pentapetalae" "TRINITY_DN10193_c0_g1"
"186" "TRINITY_DN10194_c0_g1_i10" "HOG:A0573801" 573801 "Eukaryota" "TRINITY_DN10194_c0_g1"
"187" "TRINITY_DN10197_c0_g1_i1" "HOG:A0780123" 780123 "LUCA" "TRINITY_DN10197_c0_g1"
"188" "TRINITY_DN10198_c0_g1_i11" "HOG:A0223341" 223341 "Spermatophyta" "TRINITY_DN10198_c0_g1"
"189" "TRINITY_DN10198_c1_g1_i1" "HOG:A0223341" 223341 "Spermatophyta" "TRINITY_DN10198_c1_g1"
"190" "TRINITY_DN10198_c1_g2_i1" "HOG:A0168330" 168330 "asterids" "TRINITY_DN10198_c1_g2"
"191" "TRINITY_DN10198_c1_g2_i2" "HOG:A0223341" 223341 "Spermatophyta" "TRINITY_DN10198_c1_g2"
"192" "TRINITY_DN102_c0_g1_i3" "HOG:A0202378" 202378 "Pentapetalae" "TRINITY_DN102_c0_g1"
"193" "TRINITY_DN1020_c0_g1_i1" "HOG:A0222108" 222108 "Magnoliopsida" "TRINITY_DN1020_c0_g1"
"194" "TRINITY_DN10201_c0_g1_i1" "HOG:A0574726" 574726 "Eukaryota" "TRINITY_DN10201_c0_g1"
"195" "TRINITY_DN10203_c0_g1_i1" "HOG:A0563152" 563152 "Eukaryota" "TRINITY_DN10203_c0_g1"
"196" "TRINITY_DN10204_c0_g1_i1" "HOG:A0567987" 567987 "Eukaryota" "TRINITY_DN10204_c0_g1"
"197" "TRINITY_DN10205_c0_g1_i2" "HOG:A0785668" 785668 "LUCA" "TRINITY_DN10205_c0_g1"
"198" "TRINITY_DN10209_c0_g1_i1" "HOG:A0568419" 568419 "Eukaryota" "TRINITY_DN10209_c0_g1"
"199" "TRINITY_DN1021_c0_g1_i1" "HOG:A0220821" 220821 "Magnoliopsida" "TRINITY_DN1021_c0_g1"
"200" "TRINITY_DN1021_c0_g1_i10" "HOG:A0220821" 220821 "Magnoliopsida" "TRINITY_DN1021_c0_g1"
"201" "TRINITY_DN1021_c0_g1_i12" "HOG:A0207383" 207383 "Pentapetalae" "TRINITY_DN1021_c0_g1"
"202" "TRINITY_DN1021_c1_g1_i3" "HOG:A0198391" 198391 "rosids" "TRINITY_DN1021_c1_g1"
"203" "TRINITY_DN10210_c0_g1_i1" "HOG:A0566720" 566720 "Eukaryota" "TRINITY_DN10210_c0_g1"
"204" "TRINITY_DN10211_c0_g1_i1" "HOG:A0232754" 232754 "Tracheophyta" "TRINITY_DN10211_c0_g1"
"205" "TRINITY_DN10213_c0_g1_i1" "HOG:A0238839" 238839 "Viridiplantae" "TRINITY_DN10213_c0_g1"
"206" "TRINITY_DN10215_c0_g1_i1" "HOG:A0564015" 564015 "Eukaryota" "TRINITY_DN10215_c0_g1"
"207" "TRINITY_DN10216_c0_g1_i1" "HOG:A0219966" 219966 "Magnoliopsida" "TRINITY_DN10216_c0_g1"
"208" "TRINITY_DN10217_c0_g1_i1" "HOG:A0570537" 570537 "Eukaryota" "TRINITY_DN10217_c0_g1"
"209" "TRINITY_DN10217_c0_g1_i12" "HOG:A0570537" 570537 "Eukaryota" "TRINITY_DN10217_c0_g1"
"210" "TRINITY_DN10218_c0_g1_i1" "HOG:A0237812" 237812 "Streptophyta" "TRINITY_DN10218_c0_g1"
"211" "TRINITY_DN1022_c0_g1_i12" "HOG:A0167651" 167651 "asterids" "TRINITY_DN1022_c0_g1"
"212" "TRINITY_DN10220_c0_g1_i1" "HOG:A0223868" 223868 "Spermatophyta" "TRINITY_DN10220_c0_g1"
"213" "TRINITY_DN10220_c0_g1_i2" "HOG:A0223868" 223868 "Spermatophyta" "TRINITY_DN10220_c0_g1"
"214" "TRINITY_DN10223_c0_g1_i10" "HOG:A0211667" 211667 "Mesangiospermae" "TRINITY_DN10223_c0_g1"
