"transcript" "Ej_gall_rep1_TranscriptAbundance" "Ej_gall_rep2_TranscriptAbundance" "Ej_gall_rep3_TranscriptAbundance" "Ej_leaf_rep1_TranscriptAbundance" "Ej_leaf_rep2_TranscriptAbundance" "Ej_leaf_rep3_TranscriptAbundance" "hog" "id" "phylostrata" "gene" "mean"
"23" "TRINITY_DN10466_c0_g2_i1" 4.788 4.48 4.36 4.38 3.722 4.07 "HOG:A0555011" 555011 "Opisthokonta" "TRINITY_DN10466_c0_g2" 4.3
"24" "TRINITY_DN10466_c0_g2_i1" 4.788 4.48 4.36 4.38 3.722 4.07 "HOG:A0211657" 211657 "Mesangiospermae" "TRINITY_DN10466_c0_g2" 4.3
"25" "TRINITY_DN10505_c0_g1_i1" 1.33 0.909 2.073 2.514 1.256 3.729 "HOG:A0198016" 198016 "rosids" "TRINITY_DN10505_c0_g1" 1.9685
"26" "TRINITY_DN10505_c0_g1_i4" 3.57 7.666 2.757 4.936 7.957 4.789 "HOG:A0167584" 167584 "asterids" "TRINITY_DN10505_c0_g1" 5.27916666666667
"27" "TRINITY_DN1055_c1_g1_i11" 94.052 25.127 80.338 67.424 43.893 33.103 "HOG:A0174416" 174416 "fabids" "TRINITY_DN1055_c1_g1" 57.3228333333333
"28" "TRINITY_DN1055_c1_g1_i12" 170.164 65.206 193.844 134.801 99.178 92.338 "HOG:A0584271" 584271 "Eukaryota" "TRINITY_DN1055_c1_g1" 125.921833333333
"29" "TRINITY_DN10592_c0_g1_i1" 0.356 0.1 0 0.347 0.576 0.32 "HOG:A0562259" 562259 "Eukaryota" "TRINITY_DN10592_c0_g1" 0.283166666666667
"30" "TRINITY_DN10592_c0_g1_i5" 0.562 0.563 0.211 0.379 0.973 0.529 "HOG:A0781930" 781930 "LUCA" "TRINITY_DN10592_c0_g1" 0.536166666666667
"31" "TRINITY_DN10617_c0_g1_i1" 0 1.192 1.017 0.676 1.009 0.767 "HOG:A0167705" 167705 "asterids" "TRINITY_DN10617_c0_g1" 0.776833333333333
"32" "TRINITY_DN10617_c0_g1_i8" 2.037 2.831 2.831 1.829 2.878 2.278 "HOG:A0232748" 232748 "Tracheophyta" "TRINITY_DN10617_c0_g1" 2.44733333333333
"33" "TRINITY_DN10645_c0_g1_i10" 18.705 17.408 18.217 15.122 14.332 16.152 "HOG:A0202819" 202819 "Pentapetalae" "TRINITY_DN10645_c0_g1" 16.656
"34" "TRINITY_DN10726_c0_g1_i1" 1.801 1.97 0.902 2.184 1.302 3.55 "HOG:A0215817" 215817 "Mesangiospermae" "TRINITY_DN10726_c0_g1" 1.9515
"35" "TRINITY_DN10726_c0_g1_i2" 1.957 1.195 2.108 1.905 2.246 0 "HOG:A0166967" 166967 "lamiids" "TRINITY_DN10726_c0_g1" 1.5685
"36" "TRINITY_DN10726_c0_g1_i4" 0 0 3.022 0 0 0 "HOG:A0208486" 208486 "Pentapetalae" "TRINITY_DN10726_c0_g1" 0.503666666666667
"37" "TRINITY_DN10791_c0_g1_i1" 0 0 0.308 0 0.193 0 "HOG:A0562361" 562361 "Eukaryota" "TRINITY_DN10791_c0_g1" 0.0835
"38" "TRINITY_DN10791_c0_g1_i1" 0 0 0.308 0 0.193 0 "HOG:A0644997" 644997 "Actinobacteria" "TRINITY_DN10791_c0_g1" 0.0835
"39" "TRINITY_DN10793_c0_g2_i2" 0 0 0 0.391 0.733 0 "HOG:A0168073" 168073 "asterids" "TRINITY_DN10793_c0_g2" 0.187333333333333
"40" "TRINITY_DN10793_c0_g2_i2" 0 0 0 0.391 0.733 0 "HOG:A0234415" 234415 "Embryophyta" "TRINITY_DN10793_c0_g2" 0.187333333333333
"41" "TRINITY_DN1080_c1_g1_i1" 1.718 1.254 1.694 1.52 1.645 1.716 "HOG:A0234257" 234257 "Embryophyta" "TRINITY_DN1080_c1_g1" 1.59116666666667
"42" "TRINITY_DN1080_c1_g1_i2" 3.793 2.25 5.032 5.448 0 5.987 "HOG:A0167506" 167506 "asterids" "TRINITY_DN1080_c1_g1" 3.75166666666667
"43" "TRINITY_DN10828_c0_g1_i1" 0.487 1.278 0 0.51 1.566 0.212 "HOG:A0206033" 206033 "Pentapetalae" "TRINITY_DN10828_c0_g1" 0.6755
"44" "TRINITY_DN10828_c0_g1_i10" 0.407 0.446 0.485 0.287 0.336 0.311 "HOG:A0199924" 199924 "rosids" "TRINITY_DN10828_c0_g1" 0.378666666666667
"45" "TRINITY_DN10838_c0_g1_i18" 0.545 0.359 0.053 0.193 0.312 0.638 "HOG:A0167911" 167911 "asterids" "TRINITY_DN10838_c0_g1" 0.35
"46" "TRINITY_DN10838_c0_g1_i19" 0.818 0.744 0 0.85 0.157 0 "HOG:A0174098" 174098 "fabids" "TRINITY_DN10838_c0_g1" 0.428166666666667
"47" "TRINITY_DN10839_c0_g1_i2" 3.105 3.679 1.125 2.335 1.529 0.903 "HOG:A0235603" 235603 "Embryophyta" "TRINITY_DN10839_c0_g1" 2.11266666666667
"48" "TRINITY_DN10839_c0_g1_i3" 1.132 0.938 1.188 1.293 2.577 1.192 "HOG:A0167793" 167793 "asterids" "TRINITY_DN10839_c0_g1" 1.38666666666667
"49" "TRINITY_DN10855_c2_g1_i1" 0 0.19 0.267 0.893 1.249 0.616 "HOG:A0435547" 435547 "Schizophora" "TRINITY_DN10855_c2_g1" 0.535833333333333
"50" "TRINITY_DN10855_c2_g1_i4" 1.535 0.793 0.929 0.746 0 0.784 "HOG:A0200097" 200097 "rosids" "TRINITY_DN10855_c2_g1" 0.797833333333333
"51" "TRINITY_DN1087_c0_g2_i1" 3.478 5.751 5.793 2.843 3.682 4.891 "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN1087_c0_g2" 4.40633333333333
"52" "TRINITY_DN1087_c0_g2_i5" 4.896 5.31 4.944 6.51 7.416 8.05 "HOG:A0203125" 203125 "Pentapetalae" "TRINITY_DN1087_c0_g2" 6.18766666666667
"53" "TRINITY_DN10874_c0_g1_i1" 4.533 4.347 2.425 6.08 6.938 4.295 "HOG:A0575107" 575107 "Eukaryota" "TRINITY_DN10874_c0_g1" 4.76966666666667
"54" "TRINITY_DN10874_c0_g1_i1" 4.533 4.347 2.425 6.08 6.938 4.295 "HOG:A0748151" 748151 "Proteobacteria" "TRINITY_DN10874_c0_g1" 4.76966666666667
"55" "TRINITY_DN10912_c0_g1_i1" 0 0.399 0 0 0.382 0 "HOG:A0202533" 202533 "Pentapetalae" "TRINITY_DN10912_c0_g1" 0.130166666666667
"56" "TRINITY_DN10912_c0_g1_i6" 1.679 1.727 2.21 1 0.471 2.096 "HOG:A0199758" 199758 "rosids" "TRINITY_DN10912_c0_g1" 1.5305
"57" "TRINITY_DN10936_c0_g1_i3" 1.871 5.765 0 4.43 1.698 0 "HOG:A0757206" 757206 "Bacteria" "TRINITY_DN10936_c0_g1" 2.294
"58" "TRINITY_DN10980_c1_g1_i1" 1.964 2.2 2.615 2.852 2.299 2.541 "HOG:A0168398" 168398 "asterids" "TRINITY_DN10980_c1_g1" 2.41183333333333
"59" "TRINITY_DN10980_c1_g1_i4" 0 0 0 0 0 0 "HOG:A0174938" 174938 "fabids" "TRINITY_DN10980_c1_g1" 0
"60" "TRINITY_DN10981_c0_g1_i1" 1.793 2.539 5.027 0.72 0.562 1.994 "HOG:A0238594" 238594 "Viridiplantae" "TRINITY_DN10981_c0_g1" 2.10583333333333
"61" "TRINITY_DN10981_c0_g1_i1" 1.793 2.539 5.027 0.72 0.562 1.994 "HOG:A0206723" 206723 "Pentapetalae" "TRINITY_DN10981_c0_g1" 2.10583333333333
"62" "TRINITY_DN10982_c0_g1_i2" 18.376 9.385 9.6 2.069 1.746 0.486 "HOG:A0220537" 220537 "Magnoliopsida" "TRINITY_DN10982_c0_g1" 6.94366666666667
"63" "TRINITY_DN10982_c0_g1_i6" 2.024 2.235 1.754 4.763 3.258 3.162 "HOG:A0237610" 237610 "Streptophyta" "TRINITY_DN10982_c0_g1" 2.866
"64" "TRINITY_DN11168_c0_g1_i2" 2.165 2.373 2.447 1.871 2.775 2.339 "HOG:A0202744" 202744 "Pentapetalae" "TRINITY_DN11168_c0_g1" 2.32833333333333
"65" "TRINITY_DN11168_c0_g1_i5" 0.571 0.246 0 0.436 0 0 "HOG:A0198481" 198481 "rosids" "TRINITY_DN11168_c0_g1" 0.208833333333333
"66" "TRINITY_DN11186_c0_g1_i13" 0 0.731 0 0.101 0.858 0.295 "HOG:A0211728" 211728 "Mesangiospermae" "TRINITY_DN11186_c0_g1" 0.330833333333333
"67" "TRINITY_DN11186_c0_g1_i22" 0.134 0.082 0.167 0 0.081 0.237 "HOG:A0204942" 204942 "Pentapetalae" "TRINITY_DN11186_c0_g1" 0.116833333333333
"68" "TRINITY_DN11194_c0_g1_i1" 0.38 4.108 0.59 1.208 1.992 0.574 "HOG:A0203435" 203435 "Pentapetalae" "TRINITY_DN11194_c0_g1" 1.47533333333333
"69" "TRINITY_DN11194_c0_g1_i5" 0.884 0 0.223 0.564 0 0.101 "HOG:A0174445" 174445 "fabids" "TRINITY_DN11194_c0_g1" 0.295333333333333
"70" "TRINITY_DN11202_c0_g1_i1" 0.297 0.525 1.321 0.555 0 0.282 "HOG:A0215171" 215171 "Mesangiospermae" "TRINITY_DN11202_c0_g1" 0.496666666666667
"71" "TRINITY_DN11202_c0_g1_i1" 0.297 0.525 1.321 0.555 0 0.282 "HOG:A0164771" 164771 "Solanaceae" "TRINITY_DN11202_c0_g1" 0.496666666666667
"72" "TRINITY_DN11333_c0_g1_i11" 2.873 2.476 1.853 4.611 2.045 1.798 "HOG:A0220466" 220466 "Magnoliopsida" "TRINITY_DN11333_c0_g1" 2.60933333333333
"73" "TRINITY_DN11333_c0_g1_i9" 0.445 0.54 0 0.604 0 0.418 "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN11333_c0_g1" 0.3345
"74" "TRINITY_DN11337_c0_g1_i1" 3.327 3.28 2.709 2.19 2.437 2.248 "HOG:A0211715" 211715 "Mesangiospermae" "TRINITY_DN11337_c0_g1" 2.6985
"75" "TRINITY_DN11337_c0_g1_i1" 3.327 3.28 2.709 2.19 2.437 2.248 "HOG:A0234470" 234470 "Embryophyta" "TRINITY_DN11337_c0_g1" 2.6985
"76" "TRINITY_DN11389_c0_g1_i1" 1.469 0.573 0 1.447 0 0 "HOG:A0238360" 238360 "Streptophyta" "TRINITY_DN11389_c0_g1" 0.5815
"77" "TRINITY_DN11389_c0_g1_i3" 0.543 0.259 0.882 0 0 0 "HOG:A0232255" 232255 "Tracheophyta" "TRINITY_DN11389_c0_g1" 0.280666666666667
"78" "TRINITY_DN11482_c0_g1_i5" 0.77 0.798 0.412 0.895 0.259 0.208 "HOG:A0167701" 167701 "asterids" "TRINITY_DN11482_c0_g1" 0.557
"79" "TRINITY_DN11482_c0_g1_i7" 0.178 0.649 0.294 0.341 0.434 0.281 "HOG:A0547075" 547075 "Eumetazoa" "TRINITY_DN11482_c0_g1" 0.362833333333333
"80" "TRINITY_DN11520_c0_g1_i15" 3.628 2.298 8.356 0.409 2.904 4.493 "HOG:A0200020" 200020 "rosids" "TRINITY_DN11520_c0_g1" 3.68133333333333
"81" "TRINITY_DN11523_c0_g1_i1" 4.508 3.88 3.391 3.855 4.026 3.447 "HOG:A0785870" 785870 "LUCA" "TRINITY_DN11523_c0_g1" 3.85116666666667
"82" "TRINITY_DN11523_c0_g1_i2" 0 2.637 2.099 0 0 0.328 "HOG:A0569025" 569025 "Eukaryota" "TRINITY_DN11523_c0_g1" 0.844
"83" "TRINITY_DN11525_c0_g1_i1" 0.323 0.655 0.081 1.375 0.685 0.213 "HOG:A0234664" 234664 "Embryophyta" "TRINITY_DN11525_c0_g1" 0.555333333333333
"84" "TRINITY_DN11525_c0_g1_i1" 0.323 0.655 0.081 1.375 0.685 0.213 "HOG:A0562211" 562211 "Eukaryota" "TRINITY_DN11525_c0_g1" 0.555333333333333
"85" "TRINITY_DN11562_c0_g1_i1" 2.582 4.598 2.653 8.927 12.437 3.385 "HOG:A0167866" 167866 "asterids" "TRINITY_DN11562_c0_g1" 5.76366666666667
"86" "TRINITY_DN11574_c0_g1_i1" 0.284 0 0.721 0 0.128 0.707 "HOG:A0167698" 167698 "asterids" "TRINITY_DN11574_c0_g1" 0.306666666666667
"87" "TRINITY_DN11574_c0_g1_i31" 0.584 0 1.245 0.454 0.445 0 "HOG:A0223307" 223307 "Spermatophyta" "TRINITY_DN11574_c0_g1" 0.454666666666667
"88" "TRINITY_DN11588_c0_g1_i1" 1.737 0.422 2.597 3.416 1.013 0.895 "HOG:A0203038" 203038 "Pentapetalae" "TRINITY_DN11588_c0_g1" 1.68
"89" "TRINITY_DN11588_c0_g1_i11" 0.847 0.777 0 1.542 0.496 0.4 "HOG:A0757475" 757475 "Bacteria" "TRINITY_DN11588_c0_g1" 0.677
"90" "TRINITY_DN11704_c0_g1_i1" 0 0 0 0 0 0 "HOG:A0224351" 224351 "Spermatophyta" "TRINITY_DN11704_c0_g1" 0
"91" "TRINITY_DN11704_c0_g1_i1" 0 0 0 0 0 0 "HOG:A0231819" 231819 "Tracheophyta" "TRINITY_DN11704_c0_g1" 0
"92" "TRINITY_DN11745_c0_g1_i1" 1.018 0.34 0.072 0.543 0.12 0.132 "HOG:A0198481" 198481 "rosids" "TRINITY_DN11745_c0_g1" 0.370833333333333
"93" "TRINITY_DN11745_c0_g1_i2" 4.095 3.598 5.433 3.158 3.424 4.081 "HOG:A0554959" 554959 "Opisthokonta" "TRINITY_DN11745_c0_g1" 3.96483333333333
"94" "TRINITY_DN11801_c0_g1_i1" 1.208 1.46 1.732 1.698 1.339 1.206 "HOG:A0235532" 235532 "Embryophyta" "TRINITY_DN11801_c0_g1" 1.4405
"95" "TRINITY_DN11801_c0_g1_i1" 1.208 1.46 1.732 1.698 1.339 1.206 "HOG:A0562359" 562359 "Eukaryota" "TRINITY_DN11801_c0_g1" 1.4405
"96" "TRINITY_DN11870_c0_g1_i1" 1.48 0.426 1.249 1.354 0.661 1.491 "HOG:A0167499" 167499 "asterids" "TRINITY_DN11870_c0_g1" 1.11016666666667
"97" "TRINITY_DN11870_c0_g1_i1" 1.48 0.426 1.249 1.354 0.661 1.491 "HOG:A0563490" 563490 "Eukaryota" "TRINITY_DN11870_c0_g1" 1.11016666666667
"98" "TRINITY_DN11920_c0_g1_i1" 0 0.616 0.583 0 1.979 1.849 "HOG:A0757196" 757196 "Bacteria" "TRINITY_DN11920_c0_g1" 0.837833333333333
"99" "TRINITY_DN11920_c0_g1_i4" 0 0.385 0.466 0 0.339 0.335 "HOG:A0168451" 168451 "asterids" "TRINITY_DN11920_c0_g1" 0.254166666666667
"100" "TRINITY_DN1195_c2_g1_i2" 14.006 9.902 13.794 9.206 4.673 4.103 "HOG:A0167588" 167588 "asterids" "TRINITY_DN1195_c2_g1" 9.28066666666667
"101" "TRINITY_DN1195_c2_g1_i3" 15.339 9.235 12.502 8.28 5.365 3.082 "HOG:A0199660" 199660 "rosids" "TRINITY_DN1195_c2_g1" 8.96716666666667
"102" "TRINITY_DN12043_c0_g1_i13" 0.395 0 0 0 0 0 "HOG:A0786425" 786425 "LUCA" "TRINITY_DN12043_c0_g1" 0.0658333333333333
"103" "TRINITY_DN12043_c0_g1_i13" 0.395 0 0 0 0 0 "HOG:A0562462" 562462 "Eukaryota" "TRINITY_DN12043_c0_g1" 0.0658333333333333
"104" "TRINITY_DN12116_c2_g1_i2" 0.684 0.751 0.294 0.19 0 0.049 "HOG:A0167527" 167527 "asterids" "TRINITY_DN12116_c2_g1" 0.328
"105" "TRINITY_DN12116_c2_g1_i4" 4.164 6.486 6.677 2.032 1.336 2.071 "HOG:A0198081" 198081 "rosids" "TRINITY_DN12116_c2_g1" 3.79433333333333
"106" "TRINITY_DN12132_c0_g1_i1" 0.112 0.161 0.053 0.125 0.305 0.236 "HOG:A0786040" 786040 "LUCA" "TRINITY_DN12132_c0_g1" 0.165333333333333
"107" "TRINITY_DN12132_c0_g1_i1" 0.112 0.161 0.053 0.125 0.305 0.236 "HOG:A0238036" 238036 "Streptophyta" "TRINITY_DN12132_c0_g1" 0.165333333333333
"108" "TRINITY_DN12177_c0_g1_i5" 4.604 4.377 3.488 4.381 2.914 4.404 "HOG:A0366062" 366062 "Dikarya" "TRINITY_DN12177_c0_g1" 4.028
"109" "TRINITY_DN12211_c0_g1_i2" 1.19 1.97 2.431 1.089 1.332 1.763 "HOG:A0233671" 233671 "Embryophyta" "TRINITY_DN12211_c0_g1" 1.62916666666667
"110" "TRINITY_DN12253_c0_g2_i1" 0.935 0.712 0.753 0 0 0 "HOG:A0198723" 198723 "rosids" "TRINITY_DN12253_c0_g2" 0.4
"111" "TRINITY_DN12253_c0_g2_i8" 0 0 0.298 0.322 1.342 1.354 "HOG:A0167525" 167525 "asterids" "TRINITY_DN12253_c0_g2" 0.552666666666667
"112" "TRINITY_DN12277_c0_g1_i11" 2.583 0 6.11 1.287 0 3.09 "HOG:A0214541" 214541 "Mesangiospermae" "TRINITY_DN12277_c0_g1" 2.17833333333333
"113" "TRINITY_DN12277_c0_g1_i13" 0.785 0 0.804 0 0 0.376 "HOG:A0223290" 223290 "Spermatophyta" "TRINITY_DN12277_c0_g1" 0.3275
"114" "TRINITY_DN12277_c0_g1_i13" 0.785 0 0.804 0 0 0.376 "HOG:A0174087" 174087 "fabids" "TRINITY_DN12277_c0_g1" 0.3275
"115" "TRINITY_DN12321_c0_g1_i10" 1.03 3.814 0.928 1.193 3.919 0.844 "HOG:A0562846" 562846 "Eukaryota" "TRINITY_DN12321_c0_g1" 1.95466666666667
"116" "TRINITY_DN12321_c0_g1_i4" 0 3.65 0.903 0 2.273 1.055 "HOG:A0238628" 238628 "Viridiplantae" "TRINITY_DN12321_c0_g1" 1.3135
"117" "TRINITY_DN12321_c1_g1_i1" 0 0 0.659 0 0 3.412 "HOG:A0306639" 306639 "Saccharomycetaceae" "TRINITY_DN12321_c1_g1" 0.6785
"118" "TRINITY_DN12321_c1_g1_i2" 6.391 6.854 10.395 10.122 20.66 9.355 "HOG:A0431893" 431893 "Drosophila" "TRINITY_DN12321_c1_g1" 10.6295
"119" "TRINITY_DN12412_c0_g1_i1" 3.509 0 0 0.72 0 0 "HOG:A0167641" 167641 "asterids" "TRINITY_DN12412_c0_g1" 0.704833333333333
"120" "TRINITY_DN12412_c0_g1_i3" 2.288 0 0.974 0.778 0.646 0.97 "HOG:A0206410" 206410 "Pentapetalae" "TRINITY_DN12412_c0_g1" 0.942666666666666
"121" "TRINITY_DN12426_c0_g1_i1" 0 0.173 0.162 0.048 0.053 0.261 "HOG:A0202398" 202398 "Pentapetalae" "TRINITY_DN12426_c0_g1" 0.116166666666667
"122" "TRINITY_DN12426_c0_g1_i4" 3.104 2.684 1.937 1.058 1.281 4.554 "HOG:A0174087" 174087 "fabids" "TRINITY_DN12426_c0_g1" 2.43633333333333
"123" "TRINITY_DN12441_c0_g1_i1" 0.616 0 0 0 0 0 "HOG:A0213856" 213856 "Mesangiospermae" "TRINITY_DN12441_c0_g1" 0.102666666666667
"124" "TRINITY_DN12522_c0_g1_i1" 0.997 1.087 0.631 0.393 0.179 0.248 "HOG:A0168079" 168079 "asterids" "TRINITY_DN12522_c0_g1" 0.589166666666667
"125" "TRINITY_DN12522_c0_g1_i1" 0.997 1.087 0.631 0.393 0.179 0.248 "HOG:A0206480" 206480 "Pentapetalae" "TRINITY_DN12522_c0_g1" 0.589166666666667
"126" "TRINITY_DN12634_c0_g1_i1" 0.665 0.778 0.413 0.453 0.494 0.359 "HOG:A0570491" 570491 "Eukaryota" "TRINITY_DN12634_c0_g1" 0.527
"127" "TRINITY_DN12634_c0_g1_i1" 0.665 0.778 0.413 0.453 0.494 0.359 "HOG:A0238147" 238147 "Streptophyta" "TRINITY_DN12634_c0_g1" 0.527
"128" "TRINITY_DN12634_c0_g1_i2" 0.532 0.672 0.474 0.771 0.398 0 "HOG:A0235033" 235033 "Embryophyta" "TRINITY_DN12634_c0_g1" 0.4745
"129" "TRINITY_DN12663_c1_g1_i1" 2.192 2.453 2.33 2.189 3.131 2.475 "HOG:A0234159" 234159 "Embryophyta" "TRINITY_DN12663_c1_g1" 2.46166666666667
"130" "TRINITY_DN12663_c1_g1_i1" 2.192 2.453 2.33 2.189 3.131 2.475 "HOG:A0211953" 211953 "Mesangiospermae" "TRINITY_DN12663_c1_g1" 2.46166666666667
"131" "TRINITY_DN1282_c0_g1_i1" 7.163 5.095 6.804 4.573 2.973 4.875 "HOG:A0556322" 556322 "Opisthokonta" "TRINITY_DN1282_c0_g1" 5.24716666666667
"132" "TRINITY_DN1282_c0_g1_i1" 7.163 5.095 6.804 4.573 2.973 4.875 "HOG:A0562594" 562594 "Eukaryota" "TRINITY_DN1282_c0_g1" 5.24716666666667
"133" "TRINITY_DN12848_c0_g1_i1" 0 0 0.277 0.928 0 0 "HOG:A0563638" 563638 "Eukaryota" "TRINITY_DN12848_c0_g1" 0.200833333333333
"134" "TRINITY_DN12848_c0_g1_i2" 5.814 1.985 3.402 7.009 2.134 3.083 "HOG:A0554823" 554823 "Opisthokonta" "TRINITY_DN12848_c0_g1" 3.9045
"135" "TRINITY_DN12875_c0_g1_i9" 0 0 0 0 1.362 0 "HOG:A0216199" 216199 "Mesangiospermae" "TRINITY_DN12875_c0_g1" 0.227
"136" "TRINITY_DN12901_c0_g1_i1" 0 0.569 0.566 0 0.241 0 "HOG:A0168236" 168236 "asterids" "TRINITY_DN12901_c0_g1" 0.229333333333333
"137" "TRINITY_DN12901_c0_g1_i5" 0.135 0 0.233 0.124 0.403 0 "HOG:A0220392" 220392 "Magnoliopsida" "TRINITY_DN12901_c0_g1" 0.149166666666667
"138" "TRINITY_DN1293_c0_g1_i1" 0.384 0.176 0.592 0.659 0.278 1.531 "HOG:A0239562" 239562 "Viridiplantae" "TRINITY_DN1293_c0_g1" 0.603333333333333
"139" "TRINITY_DN1293_c0_g1_i1" 0.384 0.176 0.592 0.659 0.278 1.531 "HOG:A0233577" 233577 "Embryophyta" "TRINITY_DN1293_c0_g1" 0.603333333333333
"140" "TRINITY_DN12938_c0_g1_i6" 1.854 1.104 2.832 1.009 0.641 2.866 "HOG:A0198435" 198435 "rosids" "TRINITY_DN12938_c0_g1" 1.71766666666667
"141" "TRINITY_DN12949_c1_g1_i1" 0.097 0 0.026 0.071 0 0.073 "HOG:A0168745" 168745 "asterids" "TRINITY_DN12949_c1_g1" 0.0445
"142" "TRINITY_DN12949_c1_g1_i2" 0.772 0.645 1.265 1.544 0.209 1.16 "HOG:A0207267" 207267 "Pentapetalae" "TRINITY_DN12949_c1_g1" 0.9325
"143" "TRINITY_DN13023_c0_g1_i6" 2.173 0.164 1.755 1.357 1.066 1.258 "HOG:A0431182" 431182 "Drosophila" "TRINITY_DN13023_c0_g1" 1.2955
"144" "TRINITY_DN13039_c0_g1_i4" 0.126 1.754 1.228 0 1.048 0.912 "HOG:A0167022" 167022 "lamiids" "TRINITY_DN13039_c0_g1" 0.844666666666667
"145" "TRINITY_DN13039_c0_g1_i6" 0.527 0 0.899 0.612 0 0 "HOG:A0168493" 168493 "asterids" "TRINITY_DN13039_c0_g1" 0.339666666666667
