ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
258359_s_at,2.41E-06,2.01E-09,-24.6698209,12.3024369,-4.1940225,AT3G14420///AT3G14415,peroxisomal (S)-2-hydroxy-acid oxidase GLO1///peroxisomal (S)-2-hydroxy-acid oxidase GLO2
251858_at,3.01E-06,2.71E-09,23.8341065,12.0371759,3.621645,PIP2;5,putative aquaporin PIP2-5
245330_at,3.01E-06,2.77E-09,23.7689694,12.0159687,2.334225,AT4G14930,survival protein SurE-like phosphatase/nucleotidase
250070_at,3.05E-06,3.02E-09,23.5345356,11.9389862,2.915445,AT5G17980,C2 calcium/lipid-binding and phosphoribosyltransferase C-terminal domain-containing protein
259009_at,3.05E-06,3.17E-09,23.4053337,11.8961157,5.4334625,PYK10,beta-glucosidase 23
266469_at,3.05E-06,3.33E-09,23.2702421,11.8509492,2.496445,MYB14,myb domain protein 14
250464_at,3.05E-06,3.34E-09,23.2662084,11.8495952,4.075055,AT5G10040,hypothetical protein
254608_at,3.37E-06,3.84E-09,22.8901198,11.7219531,2.410525,NIP1;2,NOD26-like intrinsic protein 1;2
262629_at,3.44E-06,4.07E-09,-22.7404962,11.6703925,-3.00646,ACD32.1,alpha-crystallin domain 32.1
262612_at,3.83E-06,4.95E-09,-22.2321674,11.4918145,-2.4274975,PQL2,photosynthetic NDH subcomplex L2
254200_at,3.83E-06,4.98E-09,22.2142278,11.4854143,2.43528,AT4G24110,hypothetical protein
259040_at,3.83E-06,5.04E-09,22.1831593,11.4743141,3.155265,GSTU8,glutathione S-transferase TAU 8
267262_at,3.88E-06,5.28E-09,-22.0684283,11.433146,-4.053675,SNG1,sinapoylglucose:malate sinapoyltransferase
246228_at,3.90E-06,5.47E-09,21.9781855,11.4005679,4.6273375,AT4G36430,peroxidase 49
264845_at,4.01E-06,5.95E-09,-21.7615408,11.3216418,-2.3201575,THM1,thioredoxin M1
259033_at,4.01E-06,5.97E-09,21.754137,11.3189265,1.56421,AT3G09405,pectinacetylesterase family protein
247816_at,4.28E-06,6.61E-09,-21.5009083,11.2253291,-2.2321175,AT5G58260,NADH dehydrogenase-like complex N
264846_at,4.28E-06,6.85E-09,21.4116443,11.1919958,2.7223025,AT2G17850,rhodanese-like domain-containing protein 17
253332_at,4.28E-06,6.94E-09,-21.3795978,11.1799852,-2.36473,AT4G33420,probable peroxidase
259765_at,4.28E-06,7.13E-09,-21.3128985,11.1549127,-4.0155325,AT1G64370,hypothetical protein
253911_at,4.29E-06,7.41E-09,-21.2172623,11.1187863,-3.60254,AT4G27300,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1
261930_at,4.29E-06,7.52E-09,21.1816787,11.1052914,3.3459175,AT1G22440,alcohol dehydrogenase-like 2
267567_at,4.29E-06,7.72E-09,21.1189016,11.0814125,3.7664025,CYP71A13,"cytochrome P450, family 71, subfamily A, polypeptide 13"
254153_at,4.70E-06,8.65E-09,-20.8400932,10.9742548,-2.05329,PWD,"phosphoglucan, water dikinase"
252092_at,4.77E-06,8.99E-09,-20.7485663,10.9386788,-3.04772,SSL4,strictosidine synthase-like 4
256149_at,5.10E-06,9.83E-09,-20.5345436,10.8547075,-2.06199,IDD7,indeterminate(ID)-domain 7 protein
262518_at,5.40E-06,1.07E-08,20.3428994,10.7785736,3.4709575,GSTU24,glutathione S-transferase TAU 24
260557_at,5.44E-06,1.11E-08,20.2549193,10.7433193,4.22388,AT2G43610,chitinase family protein
265699_at,5.44E-06,1.12E-08,-20.2237904,10.7307997,-2.3710125,AT2G03550,probable carboxylesterase 7
258223_at,5.57E-06,1.18E-08,-20.1053273,10.6829339,-4.7265475,PIFI,post-illumination chlorophyll fluorescence increase protein
252327_at,5.57E-06,1.22E-08,-20.0304003,10.6524767,-3.4852825,AT3G48740,bidirectional sugar transporter SWEET11
264757_at,5.57E-06,1.24E-08,19.9894008,10.6357506,2.48722,AT1G61360,G-type lectin S-receptor-like serine/threonine-protein kinase
261420_at,5.57E-06,1.24E-08,-19.9810068,10.6323209,-2.720995,KCS3,3-ketoacyl-CoA synthase 3
260869_at,5.63E-06,1.28E-08,19.9113006,10.6037703,4.641125,AT1G43800,acyl-[acyl-carrier-protein] desaturase 6
257952_at,5.75E-06,1.34E-08,19.8153691,10.5642743,2.6116525,AT3G21770,peroxidase 30
256168_at,5.78E-06,1.37E-08,-19.762122,10.5422494,-2.7286075,AT1G51805,leucine-rich repeat protein kinase family protein
245929_at,5.95E-06,1.44E-08,19.6521505,10.4965274,2.15586,AT5G24760,alcohol dehydrogenase-like 6
259481_at,6.07E-06,1.49E-08,19.5684325,10.461508,1.878465,GLP4,germin-like protein 4
254833_s_at,6.33E-06,1.58E-08,-19.431591,10.4038672,-2.77193,AT4G12290///AT4G12280,copper amine oxidase family protein///copper amine oxidase family protein
248154_at,6.34E-06,1.61E-08,19.3891697,10.3858969,2.3243725,AT5G54400,S-adenosyl-L-methionine-dependent methyltransferase-like protein
252353_at,6.44E-06,1.67E-08,-19.3092357,10.3519039,-1.8100775,AT3G48200,hypothetical protein
262288_at,6.44E-06,1.69E-08,-19.2788635,10.3389425,-2.452495,CRR23,NAD(P)H dehydrogenase-like complex L
255719_at,6.50E-06,1.74E-08,-19.2193708,10.313481,-2.7437775,AT1G32080,plastidal glycolate/glycerate translocator 1
245363_at,6.55E-06,1.78E-08,19.1656965,10.2904269,2.41939,AT4G15120,VQ motif-containing protein
247357_at,6.84E-06,1.91E-08,-19.0065999,10.2216258,-2.0249625,AT5G63710,leucine-rich repeat protein kinase family protein
248566_s_at,6.84E-06,1.92E-08,-19.0016004,10.2194524,-3.654455,FRO7///FRO6,ferric reduction oxidase 7///ferric reduction oxidase 6
258398_at,6.92E-06,1.97E-08,-18.9398205,10.1925377,-1.9892575,TRX-M4,thioredoxin M4
259431_at,7.15E-06,2.07E-08,18.8362281,10.1471669,2.55018,PIP1C,aquaporin PIP1-3
265998_at,7.24E-06,2.13E-08,-18.7746074,10.1200348,-3.972405,ALDH11A3,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
266979_at,7.38E-06,2.20E-08,-18.7010359,10.0874992,-1.9909175,PPL2,PsbP-like protein 2
258623_at,7.44E-06,2.25E-08,18.6523811,10.0658973,2.46715,AT3G02790,hypothetical protein
260408_at,7.90E-06,2.43E-08,18.4864034,9.9916917,3.6843375,TH8,thioredoxin H8
267316_at,7.90E-06,2.46E-08,18.4591214,9.9794177,2.052065,PHB,homeobox-leucine zipper protein ATHB-14
262704_at,8.28E-06,2.61E-08,18.3294588,9.9207839,2.024675,ASL9,ASYMMETRIC LEAVES 2-like 9
248329_at,8.33E-06,2.67E-08,-18.2821407,9.8992625,-2.6604475,AT5G52780,hypothetical protein
251986_at,8.33E-06,2.70E-08,-18.2579466,9.8882327,-2.3015675,AT3G53310,B3 domain-containing protein REM20
249384_at,8.38E-06,2.76E-08,18.2164413,9.8692702,2.446015,AT5G39890,hypothetical protein
246076_at,1.03E-05,3.43E-08,-17.7572426,9.6559804,-2.79317,SPS1F,sucrose phosphate synthase 1F
260155_at,1.08E-05,3.65E-08,-17.6276484,9.594602,-2.537785,AT1G52870,peroxisomal membrane Mpv17/PMP22 family protein
254460_at,1.10E-05,3.76E-08,-17.5684448,9.5663849,-2.277475,RP1,"pyruvate, phosphate dikinase regulatory protein 1"
254396_at,1.10E-05,3.81E-08,17.5416273,9.5535665,4.0430575,NRT1.8,nitrate transporter 1.8
264001_at,1.11E-05,3.93E-08,17.4793098,9.5236907,2.7205125,AT2G22420,peroxidase
252876_at,1.11E-05,3.97E-08,-17.4589672,9.513911,-1.7433675,AT4G39970,haloacid dehalogenase-like hydrolase family protein
259596_at,1.11E-05,4.03E-08,17.4254728,9.4977796,2.37242,GH3.17,indole-3-acetic acid-amido synthetase GH3.17
253828_at,1.11E-05,4.05E-08,17.4172163,9.4937976,2.0408675,SLAH2,SLAC1 homologue 2
245127_at,1.15E-05,4.23E-08,-17.3308814,9.4520263,-1.9830375,MHX,magnesium/proton exchanger
252463_at,1.15E-05,4.32E-08,-17.2873157,9.4308554,-3.2340425,AT3G47070,hypothetical protein
249817_at,1.15E-05,4.33E-08,17.2808771,9.4277213,2.682545,AT5G23820,MD-2-related lipid recognition domain-containing protein
245998_at,1.16E-05,4.44E-08,17.2301417,9.4029769,2.5305475,SUS1,sucrose synthase 1
251143_at,1.29E-05,4.97E-08,-17.0053935,9.292335,-1.93199,SQD2,sulfoquinovosyldiacylglycerol 2
262988_at,1.29E-05,5.05E-08,-16.9760252,9.2777519,-2.3157825,GGT1,glutamate:glyoxylate aminotransferase
255809_at,1.29E-05,5.10E-08,-16.9557716,9.2676777,-2.255465,AT4G10300,cupin domain-containing protein
256299_at,1.33E-05,5.29E-08,16.8838661,9.231799,4.0551525,EXPA1,expansin A1
250090_at,1.33E-05,5.46E-08,16.8199588,9.1997627,2.4762675,GAD,glutamate decarboxylase 1
264953_at,1.33E-05,5.46E-08,16.8190099,9.1992859,2.1973575,ADH1,alcohol dehydrogenase 1
260435_at,1.33E-05,5.47E-08,16.8172626,9.198408,2.020865,MYB62,R2R3-MYB transcription family
267265_at,1.39E-05,5.78E-08,-16.707221,9.1429043,-3.1377775,SCPL13,serine carboxypeptidase-like 13
261788_at,1.40E-05,6.02E-08,-16.6281215,9.1027469,-2.376295,NDF1,NAD(P)H dehydrogenase subunit 48
267169_at,1.40E-05,6.03E-08,-16.6268398,9.1020944,-1.6180625,AT2G37540,Rossmann-fold NAD(P)-binding domain-containing protein
246007_at,1.40E-05,6.03E-08,-16.625119,9.1012183,-1.439395,FTRA2,ferredoxin/thioredoxin reductase subunit A (variable subunit) 2
267518_at,1.41E-05,6.14E-08,16.5922017,9.0844386,2.10091,AT2G30500,Kinase interacting (KIP1-like) family protein
259161_at,1.41E-05,6.16E-08,-16.5844722,9.0804929,-3.64309,CA1,carbonic anhydrase 1
247492_at,1.42E-05,6.29E-08,16.5444478,9.060028,1.8098325,AT5G61890,ethylene-responsive transcription factor ERF114
256754_at,1.43E-05,6.37E-08,-16.5182886,9.0466218,-2.590325,CHUP1,protein CHUP1
256112_at,1.43E-05,6.47E-08,16.4883781,9.0312633,1.79218,RABA1b,Ras-related protein RABA1b
245173_at,1.45E-05,6.59E-08,16.4528398,9.0129736,1.49792,HRE2,ethylene-responsive transcription factor ERF071
248230_at,1.47E-05,6.82E-08,16.3883014,8.9796433,2.144095,AT5G53830,VQ motif-containing protein
254687_at,1.47E-05,6.85E-08,-16.3795493,8.9751119,-5.41669,CYP83A1,cytochrome P450 83A1
254226_at,1.50E-05,7.02E-08,16.3336931,8.9513242,2.47778,AT4G23690,dirigent protein 6
247440_at,1.52E-05,7.21E-08,-16.282254,8.9245498,-3.6407275,AT5G62680,glucosinolate transporter-2
254101_at,1.55E-05,7.48E-08,-16.2108586,8.8872281,-1.8940075,AMY1,alpha-amylase 1
245061_at,1.55E-05,7.50E-08,-16.2054123,8.8843735,-3.0380525,RCA,ribulose bisphosphate carboxylase/oxygenase activase
253617_at,1.55E-05,7.55E-08,16.1942027,8.8784945,3.14003,AT4G30410,protein IBH1-LIKE 1
249866_at,1.60E-05,7.86E-08,-16.1187346,8.8387941,-3.7007425,MAM1,methylthioalkylmalate synthase 1
267430_at,1.63E-05,8.08E-08,-16.0660429,8.8109502,-1.802065,EDA3,embryo sac development arrest 3 protein
255645_at,1.63E-05,8.23E-08,-16.0305639,8.7921438,-2.8223825,AT4G00880,SAUR-like auxin-responsive protein
263410_at,1.63E-05,8.24E-08,-16.028396,8.7909932,-2.19364,AT2G04039,hypothetical protein
252882_at,1.64E-05,8.36E-08,16.0024658,8.7772164,3.2292725,AT4G39675,hypothetical protein
256873_at,1.68E-05,8.62E-08,-15.943926,8.7460213,-1.2345175,CYP71B35,cytochrome P450 71B35
255127_at,1.69E-05,8.81E-08,-15.9035714,8.7244416,-2.466755,AT4G08300,nodulin MtN21 /EamA-like transporter family protein
251762_at,1.69E-05,8.85E-08,-15.8944153,8.7195368,-3.0239,SBPASE,"Sedoheptulose-1,7-bisphosphatase"
261492_at,1.69E-05,9.00E-08,15.8634672,8.7029346,1.796895,SBH2,sphingoid base hydroxylase 2
252939_at,1.69E-05,9.12E-08,15.8398597,8.6902458,1.314095,AT4G39230,NmrA-like negative transcriptional regulator family protein
260968_at,1.69E-05,9.14E-08,-15.8355098,8.6879054,-2.21129,AT1G12250,Pentapeptide repeat-containing protein
251706_at,1.69E-05,9.15E-08,-15.8335992,8.6868772,-1.3664125,AT3G56620,nodulin MtN21-like transporter family protein
246949_at,1.69E-05,9.16E-08,-15.830357,8.6851321,-1.9858925,CYP71B13,cytochrome P450 71B13
257872_at,1.73E-05,9.54E-08,-15.7555496,8.6447558,-2.0552175,PGP16,ABC transporter B family member 16
259625_at,1.73E-05,9.63E-08,-15.7379857,8.6352446,-3.156645,GAPB,glyceraldehyde-3-phosphate dehydrogenase B
250284_at,1.73E-05,9.65E-08,15.7338489,8.6330028,1.3847525,CRN,inactive leucine-rich repeat receptor-like protein kinase CORYNE
260060_at,1.77E-05,9.96E-08,-15.6769002,8.6020732,-2.374435,ALPHA DOX2,alpha dioxygenase
257467_at,1.78E-05,1.00E-07,15.6598861,8.5928082,3.2995975,LBD4,LOB domain-containing protein 4
255621_at,1.80E-05,1.03E-07,-15.618867,8.5704249,-2.848765,AT4G01390,TRAF-like family protein
260028_at,1.82E-05,1.04E-07,15.5909708,8.555165,1.7001175,AT1G29980,hypothetical protein
249797_at,1.87E-05,1.08E-07,-15.5246534,8.5187649,-1.5628525,AT5G23750,Remorin family protein
251928_at,1.89E-05,1.10E-07,-15.4883486,8.4987646,-3.35905,AT3G53980,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
266636_at,1.99E-05,1.17E-07,-15.3824795,8.440142,-2.947465,GDCH,glycine decarboxylase complex protein H
249519_at,2.01E-05,1.19E-07,-15.3502668,8.422216,-1.207675,APE1///AT5G38650,protein ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT///Proteasome maturation factor UMP1
252411_at,2.06E-05,1.23E-07,-15.2957418,8.3917781,-1.758285,PEX11B,peroxisomal membrane protein 11B
260007_at,2.12E-05,1.27E-07,-15.2313842,8.3556962,-5.05643,AT1G67870,glycine-rich protein
263676_at,2.21E-05,1.34E-07,-15.1415536,8.3050503,-3.155005,CRB,chloroplast stem-loop binding protein
263750_at,2.31E-05,1.42E-07,-15.0406883,8.2477866,-1.800725,AT2G21530,SMAD/FHA domain-containing protein
251744_at,2.31E-05,1.42E-07,-15.0397421,8.2472474,-1.4566625,AT3G56010,hypothetical protein
259058_at,2.38E-05,1.47E-07,-14.9706485,8.2077741,-2.395225,CYP89A9,"cytochrome P450, family 87, subfamily A, polypeptide 9"
264365_s_at,2.39E-05,1.49E-07,14.9548375,8.1987132,2.6880725,AT1G03230///AT1G03220,aspartyl protease-like protein///aspartyl protease-like protein
253590_at,2.40E-05,1.51E-07,14.9317815,8.1854814,2.045355,HHP2,heptahelical transmembrane protein2
246673_at,2.52E-05,1.59E-07,-14.8348118,8.1295845,-1.360525,RPS1,small subunit ribosomal protein S1
259981_at,2.54E-05,1.61E-07,-14.8119424,8.1163435,-1.581675,AT1G76450,photosystem II reaction center PsbP family protein
251157_at,2.62E-05,1.68E-07,-14.7455057,8.0777506,-2.7140525,CSP41A,chloroplast stem-loop binding protein-41
267233_s_at,2.63E-05,1.70E-07,-14.723866,8.0651392,-1.322395,HOL2///HOL1,putative thiol methyltransferase 1///thiocyanate methyltransferase 1
245035_at,2.65E-05,1.73E-07,14.6858641,8.0429431,4.216385,ARD3,acireductone dioxygenase 3
266141_at,2.65E-05,1.74E-07,14.6837914,8.0417307,2.97268,PDF2.1,defensin-like protein 4
261335_at,2.65E-05,1.74E-07,-14.6773215,8.0379449,-2.96222,AT1G44800,bidirectional amino acid transporter SIAR1
251221_at,2.66E-05,1.76E-07,-14.6610728,8.0284293,-4.478,AT3G62550,drought responsive ATP-binding motif containing protein
253387_at,2.70E-05,1.80E-07,-14.6217456,8.0053507,-2.836455,GLDP1,glycine dehydrogenase [decarboxylating] 2
257021_at,2.70E-05,1.81E-07,-14.6081889,7.9973795,-5.624885,BCAT4,branched-chain aminotransferase4
250054_at,2.74E-05,1.85E-07,-14.5774223,7.9792593,-2.96773,CAX7,calcium exchanger 7
266716_at,2.75E-05,1.87E-07,-14.5590327,7.9684087,-1.69585,PSI-P,photosystem I P subunit
263761_at,2.75E-05,1.88E-07,-14.5459063,7.9606545,-4.0646475,FBA1,fructose-bisphosphate aldolase 1
250408_at,2.75E-05,1.89E-07,-14.5379672,7.9559609,-2.5324575,CIPK5,CBL-interacting protein kinase 5
255403_at,2.81E-05,1.95E-07,-14.4857279,7.9250078,-2.14692,DFL2,auxin-responsive GH3 family protein
264299_s_at,2.83E-05,1.97E-07,14.465387,7.9129227,3.6192575,AT1G78860///AT1G78850,curculin-like (mannose-binding) lectin family protein///curculin-like (mannose-binding) lectin family protein
247637_at,2.84E-05,1.99E-07,-14.447039,7.9020057,-1.9802475,HDS,4-hydroxy-3-methylbut-2-enyl diphosphate synthase
250293_s_at,2.84E-05,2.00E-07,14.4387952,7.8970959,1.7994075,AT5G13370///AT5G13360,auxin-responsive GH3 family protein///auxin-responsive GH3 family protein
257583_at,2.90E-05,2.06E-07,14.3917767,7.8690342,1.7366175,PMI2,plastid movement impaired 2 protein
260916_at,2.91E-05,2.09E-07,-14.3685041,7.8551081,-1.4930025,AT1G02475,SRPBCC ligand-binding domain-containing protein
262728_at,2.91E-05,2.09E-07,-14.3651318,7.8530881,-2.4589925,CLV1,receptor protein kinase CLAVATA1
250493_at,2.97E-05,2.15E-07,14.3214963,7.8269044,1.2550225,AT5G09800,ARM repeat superfamily protein
255567_at,3.03E-05,2.20E-07,-14.2754054,7.799154,-1.4963975,AT4G01150,protein CURVATURE THYLAKOID 1A
260297_at,3.06E-05,2.24E-07,14.2507771,7.7842862,1.9469425,AT1G80280,alpha/beta-Hydrolases superfamily protein
261286_at,3.06E-05,2.26E-07,14.2322576,7.773088,1.702855,AT1G35780,hypothetical protein
260267_at,3.06E-05,2.30E-07,-14.2036548,7.7557618,-3.708735,KCS6,3-ketoacyl-CoA synthase 6
247024_at,3.06E-05,2.30E-07,14.2029341,7.7553248,2.1620625,AT5G66985,hypothetical protein
255812_at,3.06E-05,2.34E-07,-14.1762878,7.7391493,-2.04353,HKT1,sodium transporter HKT1
247069_at,3.06E-05,2.35E-07,14.1663942,7.733135,2.506585,sks17,protein SKU5 similar 17
261948_at,3.06E-05,2.36E-07,-14.1616923,7.7302752,-2.3160425,AT1G64680,hypothetical protein
245951_at,3.06E-05,2.36E-07,14.1610118,7.7298612,2.163275,ASP2,aspartate aminotransferase
263674_at,3.06E-05,2.36E-07,-14.1602917,7.7294232,-1.21031,AT2G04790,hypothetical protein
248132_at,3.06E-05,2.36E-07,-14.1595438,7.7289682,-1.0432775,SGP1,monomeric G protein SGP1
256835_at,3.10E-05,2.41E-07,-14.1267514,7.7089914,-2.0101475,APS1,ATP sulfurylase 1
248153_at,3.12E-05,2.43E-07,-14.111478,7.6996701,-2.5918275,CNGC4,cyclic nucleotide-gated ion channel 4
249490_s_at,3.12E-05,2.45E-07,14.0980305,7.6914542,4.7079,AT5G39180///AT5G39150///AT5G39120///AT5G39110,germin-like protein subfamily 1 member 19///germin-like protein subfamily 1 member 17///germin-like protein subfamily 1 member 15///germin-like protein subfamily 1 member 14
258161_at,3.14E-05,2.49E-07,-14.0728255,7.6760322,-2.125265,AT3G17930,protein DEFECTIVE ACCUMULATION OF CYTOCHROME B6/F COMPLEX
259546_at,3.14E-05,2.49E-07,-14.0725083,7.675838,-1.49591,AT1G35350,phosphate transporter PHO1-8
259594_at,3.15E-05,2.51E-07,-14.0561112,7.6657891,-1.6017625,AT1G28140,hypothetical protein
267076_at,3.15E-05,2.54E-07,-14.0397376,7.6557422,-3.561265,AT2G41090,calmodulin-like protein 10
262575_at,3.15E-05,2.54E-07,14.0357683,7.6533046,1.5373525,PDR7,ABC transporter G family member 35
257026_at,3.15E-05,2.56E-07,14.0277571,7.6483829,3.8478675,AT3G19200,hypothetical protein
265440_at,3.16E-05,2.59E-07,-14.006977,7.6356023,-1.3575825,pEARLI4,phospholipase-like protein (PEARLI 4) domain-containing protein
266642_at,3.16E-05,2.59E-07,-14.0034567,7.6334352,-1.1442375,AT2G35410,RNA-binding (RRM/RBD/RNP motifs) family protein
261133_at,3.22E-05,2.65E-07,-13.9671445,7.6110472,-1.73796,AT1G19715,Mannose-binding lectin superfamily protein
245671_at,3.22E-05,2.67E-07,-13.9573872,7.6050208,-2.3180525,PUP1,purine permease 1
262878_at,3.23E-05,2.71E-07,-13.9329678,7.5899191,-1.957965,NDF2,NDH-dependent cyclic electron flow 1
254274_at,3.23E-05,2.71E-07,13.9315697,7.5890536,1.341255,AT4G22770,AT hook motif DNA-binding family protein
252929_at,3.23E-05,2.72E-07,-13.9241267,7.5844445,-4.60325,FBA2,fructose-bisphosphate aldolase 2
247444_at,3.24E-05,2.74E-07,13.914438,7.5784408,2.30733,HIPL2,HIPL2 protein
256681_at,3.25E-05,2.77E-07,13.8967117,7.567445,1.812295,SPP2,sucrose-phosphatase 2
259599_at,3.27E-05,2.80E-07,13.8778211,7.5557106,1.7795725,SCPL45,serine carboxypeptidase-like 45
249710_at,3.33E-05,2.87E-07,-13.8397046,7.5319816,-1.87909,GS2,glutamine synthetase 2
253823_at,3.33E-05,2.89E-07,-13.8271819,7.5241706,-1.3685,AT4G28030,GCN5-related N-acetyltransferase (GNAT) family protein
245321_at,3.33E-05,2.89E-07,-13.8243693,7.5224152,-1.6628925,AT4G15545,hypothetical protein
263668_at,3.36E-05,2.94E-07,-13.7965704,7.505045,-2.9570525,AT1G04350,1-aminocyclopropane-1-carboxylate oxidase-like 6
255786_at,3.36E-05,2.95E-07,-13.7931527,7.5029069,-3.1352075,CLH1,chlorophyllase 1
253278_at,3.40E-05,3.00E-07,13.7658104,7.4857814,1.8753875,AT4G34220,leucine-rich repeat protein kinase family protein
251287_at,3.43E-05,3.05E-07,13.7364278,7.4673376,2.2661525,AT3G61820,aspartyl protease
267152_at,3.43E-05,3.05E-07,-13.7356372,7.4668408,-1.753165,AT2G31040,ATP synthase protein I-related protein
251353_at,3.43E-05,3.06E-07,-13.7303739,7.4635323,-1.59873,AT3G61080,protein kinase superfamily protein
263495_at,3.43E-05,3.08E-07,-13.7190933,7.456437,-1.8310025,COR15B,cold-regulated protein 15b
259735_at,3.45E-05,3.14E-07,13.6927802,7.4398623,2.0122125,AT1G64405,hypothetical protein
253073_at,3.45E-05,3.14E-07,13.6900949,7.438169,3.5496125,CYP81F4,"cytochrome P450, family 81, subfamily F, polypeptide 4"
261422_at,3.45E-05,3.15E-07,-13.6869394,7.4361787,-2.258715,NDF6,NDH dependent flow 6 protein
252130_at,3.45E-05,3.17E-07,-13.6752407,7.4287955,-1.945085,PSBO2,oxygen-evolving enhancer protein 1-2
266091_at,3.45E-05,3.18E-07,-13.6719832,7.4267384,-0.95386,emb1513,protein EMBRYO DEFECTIVE 1513
245208_at,3.48E-05,3.22E-07,13.6510735,7.4135222,2.9689825,LRP1,protein LATERAL ROOT PRIMORDIUM 1
253174_at,3.48E-05,3.24E-07,-13.6399395,7.406476,-3.1010025,CAT2,catalase 2
263846_at,3.48E-05,3.27E-07,-13.6252953,7.3971992,-0.9963525,SIGF,RNA polymerase sigma factor sigF
255626_at,3.48E-05,3.28E-07,-13.6217249,7.3949358,-3.8889925,AT4G00780,TRAF-like family protein
254305_at,3.48E-05,3.28E-07,-13.617523,7.3922713,-3.1509825,KT2/3,potassium channel AKT2/3
250426_at,3.48E-05,3.29E-07,13.6128727,7.3893215,1.76183,AIL6,AP2-like ethylene-responsive transcription factor AIL6
255718_at,3.49E-05,3.35E-07,-13.587007,7.3728945,-1.378495,NSI,acetyltransferase NSI
266207_at,3.49E-05,3.35E-07,-13.5864701,7.3725532,-1.2541575,AT2G27680,NAD(P)-linked oxidoreductase superfamily protein
247853_at,3.49E-05,3.35E-07,-13.5842861,7.3711646,-1.95588,PHOT2,phototropin 2
252534_at,3.58E-05,3.45E-07,-13.5367639,7.3408914,-2.951475,MYB48,transcription factor MYB48
264815_at,3.63E-05,3.52E-07,13.5039977,7.3199531,2.1515525,AT1G03620,ELMO/CED-12 family protein
256852_at,3.63E-05,3.54E-07,-13.4989028,7.3166925,-1.4298425,NUC-L2,protein NUCLEOLIN LIKE 2
250753_at,3.65E-05,3.57E-07,13.4846694,7.3075768,1.9182675,UGT76C2,cytokinin-N-glucosyltransferase 2
253024_at,3.67E-05,3.62E-07,13.4630311,7.2936992,3.064185,AT4G38080,hydroxyproline-rich glycoprotein family protein
258181_at,3.67E-05,3.65E-07,-13.4490364,7.2847114,-3.580935,AT3G21670,nitrate transporter 1.3
245861_at,3.67E-05,3.65E-07,-13.4477168,7.2838634,-1.51432,AT5G28300,trihelix transcription factor GTL2
259061_at,3.67E-05,3.66E-07,13.4428689,7.2807473,1.918035,RABA5b,RAB GTPase-like protein A5B
251906_at,3.67E-05,3.67E-07,-13.4410414,7.2795723,-1.7521925,CHX20,cation/H(+) antiporter 20
264790_at,3.71E-05,3.73E-07,13.4145413,7.2625155,2.72319,HK1,histidine kinase 1
250702_at,3.74E-05,3.77E-07,13.3952992,7.2501082,2.5752425,AT5G06730,peroxidase 54
260004_at,3.80E-05,3.85E-07,-13.3632139,7.2293779,-3.2931025,AT1G67860,hypothetical protein
