"","oma_id","level","level_name","araID","gene_id"
"102",15164173,2,"Eukaryota","ARATH00207","AT1G02130"
"103",15164174,2,"Eukaryota","ARATH00208","AT1G02140"
"104",15164176,2,"Eukaryota","ARATH00210","AT1G02145"
"105",15164179,6,"Tracheophyta","ARATH00213","AT1G02150"
"106",15164180,5,"Embryophyta","ARATH00214","AT1G02160"
"107",15164182,2,"Eukaryota","ARATH00216","AT1G02170"
"108",15164183,7,"Spermatophyta","ARATH00217","AT1G02180"
"109",15164184,5,"Embryophyta","ARATH00218","AT1G02190"
"110",15164188,5,"Embryophyta","ARATH00222","AT1G02205"
"111",15164192,13,"Brassicaceae","ARATH00226","AT1G02220"
"112",15164193,13,"Brassicaceae","ARATH00227","AT1G02230"
"113",15164195,2,"Eukaryota","ARATH00229","AT1G02260"
"114",15164196,2,"Eukaryota","ARATH00230","AT1G02270"
"115",15164198,3,"Viridiplantae","ARATH00232","AT1G02280"
"116",15164199,14,"Arabidopsis","ARATH00233","AT1G02290"
"117",15164200,2,"Eukaryota","ARATH00234","AT1G02300"
"118",15164201,2,"Eukaryota","ARATH00235","AT1G02305"
"119",15164202,1,"LUCA","ARATH00236","AT1G02310"
"120",15164205,2,"Eukaryota","ARATH00239","AT1G02330"
"121",15164206,7,"Spermatophyta","ARATH00240","AT1G02335"
"122",15164207,13,"Brassicaceae","ARATH00241","AT1G02340"
"123",15164210,2,"Eukaryota","ARATH00244","AT1G02360"
"124",15164213,9,"Mesangiospermae","ARATH00247","AT1G02370"
"125",15164214,13,"Brassicaceae","ARATH00248","AT1G02380"
"126",15164215,9,"Mesangiospermae","ARATH00249","AT1G02390"
"127",15164216,9,"Mesangiospermae","ARATH00250","AT1G02400"
"128",15164218,11,"rosids","ARATH00252","AT1G02405"
"129",15164219,2,"Eukaryota","ARATH00253","AT1G02410"
"130",15164220,7,"Spermatophyta","ARATH00254","AT1G02420"
"131",15164221,13,"Brassicaceae","ARATH00255","AT1G02430"
"132",15164224,13,"Brassicaceae","ARATH00258","AT1G02440"
"133",15164225,13,"Brassicaceae","ARATH00259","AT1G02450"
"134",15164226,8,"Magnoliopsida","ARATH00260","AT1G02460"
"135",15164227,2,"Eukaryota","ARATH00261","AT1G02470"
"136",15164229,4,"Streptophyta","ARATH00263","AT1G02475"
"137",15164231,1,"LUCA","ARATH00265","AT1G02500"
"138",15164232,11,"rosids","ARATH00266","AT1G02510"
"139",15164233,2,"Eukaryota","ARATH00267","AT1G02520"
"140",15164234,2,"Eukaryota","ARATH00268","AT1G02530"
"141",15164237,12,"malvids","ARATH00271","AT1G02550"
"142",15164238,3,"Viridiplantae","ARATH00272","AT1G02560"
"143",15164239,10,"Pentapetalae","ARATH00273","AT1G02570"
"144",15164240,10,"Pentapetalae","ARATH00274","AT1G02575"
"145",15164241,2,"Eukaryota","ARATH00275","AT1G02580"
"146",15164244,9,"Mesangiospermae","ARATH00278","AT1G02610"
"147",15164248,2,"Eukaryota","ARATH00282","AT1G02630"
"148",15164250,2,"Eukaryota","ARATH00284","AT1G02640"
"149",15164251,5,"Embryophyta","ARATH00285","AT1G02650"
"150",15164253,6,"Tracheophyta","ARATH00287","AT1G02660"
"151",15164261,2,"Eukaryota","ARATH00295","AT1G02680"
"152",15164263,2,"Eukaryota","ARATH00297","AT1G02690"
"153",15164264,10,"Pentapetalae","ARATH00298","AT1G02700"
"154",15164266,14,"Arabidopsis","ARATH00300","AT1G02710"
"155",15164267,2,"Eukaryota","ARATH00301","AT1G02720"
"156",15164268,9,"Mesangiospermae","ARATH00302","AT1G02730"
"157",15164269,2,"Eukaryota","ARATH00303","AT1G02740"
"158",15164270,11,"rosids","ARATH00304","AT1G02750"
"159",15164273,1,"LUCA","ARATH00307","AT1G02780"
"160",15164274,9,"Mesangiospermae","ARATH00308","AT1G02790"
"161",15164275,2,"Eukaryota","ARATH00309","AT1G02800"
"162",15164276,9,"Mesangiospermae","ARATH00310","AT1G02810"
"163",15164277,7,"Spermatophyta","ARATH00311","AT1G02813"
"164",15164278,7,"Spermatophyta","ARATH00312","AT1G02816"
"165",15164279,10,"Pentapetalae","ARATH00313","AT1G02820"
"166",15164280,2,"Eukaryota","ARATH00314","AT1G02830"
"167",15164281,2,"Eukaryota","ARATH00315","AT1G02840"
"168",15164287,1,"LUCA","ARATH00321","AT1G02850"
"169",15164290,4,"Streptophyta","ARATH00324","AT1G02860"
"170",15164292,3,"Viridiplantae","ARATH00326","AT1G02870"
"171",15164294,2,"Eukaryota","ARATH00328","AT1G02880"
"172",15164299,4,"Streptophyta","ARATH00333","AT1G02890"
"173",15164300,9,"Mesangiospermae","ARATH00334","AT1G02900"
"174",15164302,3,"Viridiplantae","ARATH00336","AT1G02910"
"175",15164303,2,"Eukaryota","ARATH00337","AT1G02920"
"176",15164304,2,"Eukaryota","ARATH00338","AT1G02930"
"177",15164307,2,"Eukaryota","ARATH00341","AT1G02940"
"178",15164309,2,"Eukaryota","ARATH00343","AT1G02950"
"179",15164315,11,"rosids","ARATH00349","AT1G02960"
"180",15164318,5,"Embryophyta","ARATH00352","AT1G02970"
"181",15164321,13,"Brassicaceae","ARATH00355","AT1G02990"
"182",15164324,5,"Embryophyta","ARATH00358","AT1G03000"
"183",15164326,4,"Streptophyta","ARATH00360","AT1G03010"
"184",15164328,10,"Pentapetalae","ARATH00362","AT1G03020"
"185",15164329,1,"LUCA","ARATH00363","AT1G03030"
"186",15164332,8,"Magnoliopsida","ARATH00366","AT1G03040"
"187",15164334,8,"Magnoliopsida","ARATH00368","AT1G03050"
"188",15164335,9,"Mesangiospermae","ARATH00369","AT1G03055"
"189",15164338,2,"Eukaryota","ARATH00372","AT1G03060"
"190",15164341,2,"Eukaryota","ARATH00375","AT1G03070"
"191",15164342,8,"Magnoliopsida","ARATH00376","AT1G03080"
"192",15164343,2,"Eukaryota","ARATH00377","AT1G03090"
"193",15164346,10,"Pentapetalae","ARATH00380","AT1G03103"
"194",15164348,5,"Embryophyta","ARATH00382","AT1G03110"
"195",15164349,7,"Spermatophyta","ARATH00383","AT1G03120"
"196",15164351,2,"Eukaryota","ARATH00385","AT1G03130"
"197",15164352,2,"Eukaryota","ARATH00386","AT1G03140"
"198",15164353,2,"Eukaryota","ARATH00387","AT1G03150"
"199",15164355,3,"Viridiplantae","ARATH00389","AT1G03160"
"200",15164359,13,"Brassicaceae","ARATH00393","AT1G03170"
"201",15164360,3,"Viridiplantae","ARATH00394","AT1G03180"
"202",15164363,2,"Eukaryota","ARATH00397","AT1G03190"
"203",15164365,1,"LUCA","ARATH00399","AT1G03210"
"204",15164367,7,"Spermatophyta","ARATH00401","AT1G03220"
"205",15164368,7,"Spermatophyta","ARATH00402","AT1G03230"
"206",15164373,4,"Streptophyta","ARATH00407","AT1G03250"
"207",15164374,2,"Eukaryota","ARATH00408","AT1G03260"
"208",15164375,2,"Eukaryota","ARATH00409","AT1G03270"
"209",15164376,3,"Viridiplantae","ARATH00410","AT1G03280"
"210",15164379,13,"Brassicaceae","ARATH00413","AT1G03290"
"211",15164380,11,"rosids","ARATH00414","AT1G03300"
"212",15164381,4,"Streptophyta","ARATH00415","AT1G03310"
"213",15164382,13,"Brassicaceae","ARATH00416","AT1G03320"
"214",15164384,2,"Eukaryota","ARATH00418","AT1G03330"
"215",15164385,13,"Brassicaceae","ARATH00419","AT1G03340"
"216",15164386,11,"rosids","ARATH00420","AT1G03350"
"217",15164387,2,"Eukaryota","ARATH00421","AT1G03360"
"218",15164391,6,"Tracheophyta","ARATH00425","AT1G03380"
"219",15164392,6,"Tracheophyta","ARATH00426","AT1G03390"
"220",15164399,5,"Embryophyta","ARATH00433","AT1G03430"
"221",15164400,5,"Embryophyta","ARATH00434","AT1G03440"
"222",15164401,2,"Eukaryota","ARATH00435","AT1G03445"
"223",15164405,2,"Eukaryota","ARATH00439","AT1G03457"
"224",15164406,8,"Magnoliopsida","ARATH00440","AT1G03470"
"225",15164407,1,"LUCA","ARATH00441","AT1G03475"
"226",15164408,14,"Arabidopsis","ARATH00442","AT1G03490"
"227",15164409,11,"rosids","ARATH00443","AT1G03495"
"228",15164410,8,"Magnoliopsida","ARATH00444","AT1G03510"
"229",15164412,5,"Embryophyta","ARATH00446","AT1G03520"
"230",15164413,13,"Brassicaceae","ARATH00447","AT1G03530"
"231",15164414,8,"Magnoliopsida","ARATH00448","AT1G03540"
"232",15164415,2,"Eukaryota","ARATH00449","AT1G03550"
"233",15164422,8,"Magnoliopsida","ARATH00456","AT1G03560"
"234",15164423,7,"Spermatophyta","ARATH00457","AT1G03590"
"235",15164424,4,"Streptophyta","ARATH00458","AT1G03600"
"236",15164426,7,"Spermatophyta","ARATH00460","AT1G03610"
"237",15164427,5,"Embryophyta","ARATH00461","AT1G03620"
"238",15164431,2,"Eukaryota","ARATH00465","AT1G03630"
"239",15164432,2,"Eukaryota","ARATH00466","AT1G03650"
"240",15164435,10,"Pentapetalae","ARATH00469","AT1G03680"
"241",15164437,2,"Eukaryota","ARATH00471","AT1G03687"
"242",15164438,5,"Embryophyta","ARATH00472","AT1G03700"
"243",15164439,13,"Brassicaceae","ARATH00473","AT1G03710"
"244",15164441,13,"Brassicaceae","ARATH00475","AT1G03720"
"245",15164442,8,"Magnoliopsida","ARATH00476","AT1G03730"
"246",15164445,2,"Eukaryota","ARATH00479","AT1G03750"
"247",15164446,10,"Pentapetalae","ARATH00480","AT1G03760"
"248",15164450,7,"Spermatophyta","ARATH00484","AT1G03770"
"249",15164453,5,"Embryophyta","ARATH00487","AT1G03780"
"250",15164455,13,"Brassicaceae","ARATH00489","AT1G03790"
"251",15164456,13,"Brassicaceae","ARATH00490","AT1G03800"
"252",15164457,2,"Eukaryota","ARATH00491","AT1G03810"
"253",15164458,12,"malvids","ARATH00492","AT1G03820"
"254",15164461,10,"Pentapetalae","ARATH00495","AT1G03840"
"255",15164465,13,"Brassicaceae","ARATH00499","AT1G03850"
"256",15164466,2,"Eukaryota","ARATH00500","AT1G03860"
"257",15164468,8,"Magnoliopsida","ARATH00502","AT1G03870"
"258",15164469,4,"Streptophyta","ARATH00503","AT1G03880"
"259",15164470,4,"Streptophyta","ARATH00504","AT1G03890"
"260",15164474,2,"Eukaryota","ARATH00508","AT1G03910"
"261",15164477,2,"Eukaryota","ARATH00511","AT1G03920"
"262",15164478,2,"Eukaryota","ARATH00512","AT1G03930"
"263",15164479,11,"rosids","ARATH00513","AT1G03940"
"264",15164480,2,"Eukaryota","ARATH00514","AT1G03950"
"265",15164484,2,"Eukaryota","ARATH00518","AT1G03960"
"266",15164486,10,"Pentapetalae","ARATH00520","AT1G03970"
"267",15164487,5,"Embryophyta","ARATH00521","AT1G03980"
"268",15164491,10,"Pentapetalae","ARATH00525","AT1G03982"
"269",15164492,2,"Eukaryota","ARATH00526","AT1G03990"
"270",15164493,11,"rosids","ARATH00527","AT1G04000"
"271",15164494,2,"Eukaryota","ARATH00528","AT1G04010"
"272",15164495,2,"Eukaryota","ARATH00529","AT1G04020"
"273",15164497,8,"Magnoliopsida","ARATH00531","AT1G04030"
"274",15164498,8,"Magnoliopsida","ARATH00532","AT1G04040"
"275",15164499,10,"Pentapetalae","ARATH00533","AT1G04050"
"276",15164501,5,"Embryophyta","ARATH00535","AT1G04070"
"277",15164507,13,"Brassicaceae","ARATH00541","AT1G04100"
"278",15164509,1,"LUCA","ARATH00543","AT1G04110"
"279",15164511,2,"Eukaryota","ARATH00545","AT1G04120"
"280",15164513,2,"Eukaryota","ARATH00547","AT1G04130"
"281",15164515,3,"Viridiplantae","ARATH00549","AT1G04140"
"282",15164518,3,"Viridiplantae","ARATH00552","AT1G04160"
"283",15164520,1,"LUCA","ARATH00554","AT1G04170"
"284",15164521,2,"Eukaryota","ARATH00555","AT1G04180"
"285",15164524,2,"Eukaryota","ARATH00558","AT1G04200"
"286",15164526,4,"Streptophyta","ARATH00560","AT1G04210"
"287",15164527,2,"Eukaryota","ARATH00561","AT1G04220"
"288",15164528,6,"Tracheophyta","ARATH00562","AT1G04230"
"289",15164531,9,"Mesangiospermae","ARATH00565","AT1G04240"
"290",15164532,13,"Brassicaceae","ARATH00566","AT1G04250"
"291",15164533,11,"rosids","ARATH00567","AT1G04260"
"292",15164534,1,"LUCA","ARATH00568","AT1G04270"
"293",15164536,5,"Embryophyta","ARATH00570","AT1G04280"
"294",15164538,2,"Eukaryota","ARATH00572","AT1G04290"
"295",15164544,9,"Mesangiospermae","ARATH00578","AT1G04300"
"296",15164546,13,"Brassicaceae","ARATH00580","AT1G04310"
"297",15164547,10,"Pentapetalae","ARATH00581","AT1G04330"
"298",15164548,4,"Streptophyta","ARATH00582","AT1G04340"
"299",15164549,11,"rosids","ARATH00583","AT1G04350"
"300",15164550,8,"Magnoliopsida","ARATH00584","AT1G04360"
"301",15164551,10,"Pentapetalae","ARATH00585","AT1G04370"
"302",15164553,11,"rosids","ARATH00587","AT1G04380"
"303",15164554,5,"Embryophyta","ARATH00588","AT1G04390"
"304",15164555,1,"LUCA","ARATH00589","AT1G04400"
"305",15164556,2,"Eukaryota","ARATH00590","AT1G04410"
"306",15164557,2,"Eukaryota","ARATH00591","AT1G04420"
"307",15164558,5,"Embryophyta","ARATH00592","AT1G04430"
"308",15164559,10,"Pentapetalae","ARATH00593","AT1G04440"
"309",15164560,13,"Brassicaceae","ARATH00594","AT1G04445"
"310",15164562,13,"Brassicaceae","ARATH00596","AT1G04450"
"311",15164564,3,"Viridiplantae","ARATH00598","AT1G04470"
"312",15164565,1,"LUCA","ARATH00599","AT1G04480"
"313",15164566,9,"Mesangiospermae","ARATH00600","AT1G04490"
"314",15164568,10,"Pentapetalae","ARATH00602","AT1G04500"
"315",15164571,2,"Eukaryota","ARATH00605","AT1G04510"
"316",15164573,8,"Magnoliopsida","ARATH00607","AT1G04520"
"317",15164574,10,"Pentapetalae","ARATH00608","AT1G04530"
"318",15164575,10,"Pentapetalae","ARATH00609","AT1G04540"
"319",15164576,11,"rosids","ARATH00610","AT1G04550"
"320",15164578,6,"Tracheophyta","ARATH00612","AT1G04555"
"321",15164579,4,"Streptophyta","ARATH00613","AT1G04560"
"322",15164580,8,"Magnoliopsida","ARATH00614","AT1G04570"
"323",15164582,2,"Eukaryota","ARATH00616","AT1G04580"
"324",15164584,13,"Brassicaceae","ARATH00618","AT1G04590"
"325",15164585,3,"Viridiplantae","ARATH00619","AT1G04600"
"326",15164586,2,"Eukaryota","ARATH00620","AT1G04610"
"327",15164587,2,"Eukaryota","ARATH00621","AT1G04620"
"328",15164589,2,"Eukaryota","ARATH00623","AT1G04630"
"329",15164591,2,"Eukaryota","ARATH00625","AT1G04640"
"330",15164592,12,"malvids","ARATH00626","AT1G04645"
"331",15164593,4,"Streptophyta","ARATH00627","AT1G04650"
"332",15164595,13,"Brassicaceae","ARATH00629","AT1G04660"
"333",15164596,10,"Pentapetalae","ARATH00630","AT1G04670"
"334",15164597,5,"Embryophyta","ARATH00631","AT1G04680"
"335",15164598,2,"Eukaryota","ARATH00632","AT1G04690"
"336",15164600,10,"Pentapetalae","ARATH00634","AT1G04700"
"337",15164601,1,"LUCA","ARATH00635","AT1G04710"
"338",15164603,2,"Eukaryota","ARATH00637","AT1G04730"
"339",15164604,2,"Eukaryota","ARATH00638","AT1G04750"
"340",15164606,2,"Eukaryota","ARATH00640","AT1G04760"
"341",15164607,9,"Mesangiospermae","ARATH00641","AT1G04770"
"342",15164609,2,"Eukaryota","ARATH00643","AT1G04780"
"343",15164610,10,"Pentapetalae","ARATH00644","AT1G04790"
"344",15164611,13,"Brassicaceae","ARATH00645","AT1G04800"
"345",15164612,2,"Eukaryota","ARATH00646","AT1G04810"
"346",15164613,2,"Eukaryota","ARATH00647","AT1G04820"
"347",15164614,2,"Eukaryota","ARATH00648","AT1G04830"
"348",15164617,10,"Pentapetalae","ARATH00651","AT1G04840"
"349",15164618,2,"Eukaryota","ARATH00652","AT1G04850"
"350",15164620,2,"Eukaryota","ARATH00654","AT1G04860"
"351",15164621,2,"Eukaryota","ARATH00655","AT1G04870"
"352",15164623,6,"Tracheophyta","ARATH00657","AT1G04880"
"353",15164624,13,"Brassicaceae","ARATH00658","AT1G04890"
"354",15164626,2,"Eukaryota","ARATH00660","AT1G04900"
"355",15164627,5,"Embryophyta","ARATH00661","AT1G04910"
"356",15164628,4,"Streptophyta","ARATH00662","AT1G04920"
"357",15164630,8,"Magnoliopsida","ARATH00664","AT1G04930"
"358",15164633,5,"Embryophyta","ARATH00667","AT1G04945"
"359",15164636,5,"Embryophyta","ARATH00670","AT1G04940"
"360",15164637,2,"Eukaryota","ARATH00671","AT1G04950"
"361",15164639,4,"Streptophyta","ARATH00673","AT1G04960"
"362",15164640,2,"Eukaryota","ARATH00674","AT1G04970"
"363",15164642,2,"Eukaryota","ARATH00676","AT1G04980"
"364",15164644,7,"Spermatophyta","ARATH00678","AT1G04985"
"365",15164645,10,"Pentapetalae","ARATH00679","AT1G04990"
"366",15164649,2,"Eukaryota","ARATH00683","AT1G05000"
"367",15164652,14,"Arabidopsis","ARATH00686","AT1G05005"
"368",15164653,9,"Mesangiospermae","ARATH00687","AT1G05010"
"369",15164654,13,"Brassicaceae","ARATH00688","AT1G05020"
"370",15164656,2,"Eukaryota","ARATH00690","AT1G05030"
"371",15164658,13,"Brassicaceae","ARATH00692","AT1G05040"
"372",15164660,2,"Eukaryota","ARATH00694","AT1G05055"
"373",15164661,4,"Streptophyta","ARATH00695","AT1G05060"
"374",15164662,13,"Brassicaceae","ARATH00696","AT1G05065"
"375",15164663,5,"Embryophyta","ARATH00697","AT1G05070"
"376",15164664,13,"Brassicaceae","ARATH00698","AT1G05080"
"377",15164669,8,"Magnoliopsida","ARATH00703","AT1G05100"
"378",15164670,2,"Eukaryota","ARATH00704","AT1G05120"
"379",15164673,1,"LUCA","ARATH00707","AT1G05140"
"380",15164674,4,"Streptophyta","ARATH00708","AT1G05150"
"381",15164675,2,"Eukaryota","ARATH00709","AT1G05160"
"382",15164676,3,"Viridiplantae","ARATH00710","AT1G05170"
"383",15164679,2,"Eukaryota","ARATH00713","AT1G05180"
"384",15164681,1,"LUCA","ARATH00715","AT1G05190"
"385",15164684,5,"Embryophyta","ARATH00718","AT1G05200"
"386",15164686,9,"Mesangiospermae","ARATH00720","AT1G05205"
"387",15164687,3,"Viridiplantae","ARATH00721","AT1G05210"
"388",15164688,3,"Viridiplantae","ARATH00722","AT1G05220"
"389",15164692,10,"Pentapetalae","ARATH00726","AT1G05240"
"390",15164693,10,"Pentapetalae","ARATH00727","AT1G05250"
"391",15164694,8,"Magnoliopsida","ARATH00728","AT1G05260"
"392",15164695,2,"Eukaryota","ARATH00729","AT1G05270"
"393",15164697,10,"Pentapetalae","ARATH00731","AT1G05280"
"394",15164698,13,"Brassicaceae","ARATH00732","AT1G05290"
"395",15164699,13,"Brassicaceae","ARATH00733","AT1G05291"
"396",15164700,2,"Eukaryota","ARATH00734","AT1G05300"
"397",15164702,5,"Embryophyta","ARATH00736","AT1G05310"
"398",15164705,13,"Brassicaceae","ARATH00739","AT1G05330"
"399",15164706,10,"Pentapetalae","ARATH00740","AT1G05340"
"400",15164707,2,"Eukaryota","ARATH00741","AT1G05350"
"401",15164708,2,"Eukaryota","ARATH00742","AT1G05360"
"402",15164710,5,"Embryophyta","ARATH00744","AT1G05370"
"403",15164711,10,"Pentapetalae","ARATH00745","AT1G05380"
"404",15164712,8,"Magnoliopsida","ARATH00746","AT1G05385"
"405",15164716,7,"Spermatophyta","ARATH00750","AT1G05410"
"406",15164718,8,"Magnoliopsida","ARATH00752","AT1G05420"
"407",15164719,7,"Spermatophyta","ARATH00753","AT1G05430"
"408",15164720,6,"Tracheophyta","ARATH00754","AT1G05440"
"409",15164721,13,"Brassicaceae","ARATH00755","AT1G05450"
"410",15164725,10,"Pentapetalae","ARATH00759","AT1G05470"
"411",15164726,13,"Brassicaceae","ARATH00760","AT1G05490"
"412",15164728,2,"Eukaryota","ARATH00762","AT1G05500"
"413",15164729,1,"LUCA","ARATH00763","AT1G05510"
"414",15164730,2,"Eukaryota","ARATH00764","AT1G05520"
"415",15164731,8,"Magnoliopsida","ARATH00765","AT1G05530"
"416",15164732,13,"Brassicaceae","ARATH00766","AT1G05540"
"417",15164734,13,"Brassicaceae","ARATH00768","AT1G05550"
"418",15164738,8,"Magnoliopsida","ARATH00772","AT1G05560"
"419",15164740,2,"Eukaryota","ARATH00774","AT1G05570"
"420",15164741,10,"Pentapetalae","ARATH00775","AT1G05575"
"421",15164742,10,"Pentapetalae","ARATH00776","AT1G05577"
"422",15164743,12,"malvids","ARATH00777","AT1G05580"
"423",15164745,2,"Eukaryota","ARATH00779","AT1G05590"
"424",15164746,7,"Spermatophyta","ARATH00780","AT1G05600"
"425",15164747,8,"Magnoliopsida","ARATH00781","AT1G05610"
"426",15164749,14,"Arabidopsis","ARATH00783","AT1G05615"
"427",15164750,2,"Eukaryota","ARATH00784","AT1G05620"
"428",15164754,4,"Streptophyta","ARATH00788","AT1G05630"
"429",15164756,8,"Magnoliopsida","ARATH00790","AT1G05650"
"430",15164757,8,"Magnoliopsida","ARATH00791","AT1G05660"
"431",15164760,10,"Pentapetalae","ARATH00794","AT1G05680"
